Solution_ID,Element_ID,ElementType,DCR
1,1,Column,0.20560024888348338
1,2,Column,0.18821379476558908
1,3,Column,0.1976169065283682
1,4,Column,0.20128588403638645
1,5,Column,0.1730941222456174
1,6,Column,0.23204392286944908
1,7,Column,0.28208680416307136
1,8,Column,0.1866524303807189
1,9,Column,0.19184969094972634
1,10,Column,0.1270522848089237
1,11,Column,0.22821412539662958
1,12,Column,0.19327062717289373
1,13,Column,0.18532512360630202
1,14,Column,0.10251717789285812
1,15,Column,0.21055082802633754
1,16,Column,0.11801072588476527
1,17,Column,0.1129962232980342
1,18,Column,0.12613436673659095
1,19,Column,0.13166542635410444
1,20,Column,0.15291954375487304
1,21,Column,0.33889331843150844
1,22,Column,0.34928436366480586
1,23,Column,0.12983069811507117
1,24,Column,0.13236056771287738
1,25,Column,0.2567877477874378
1,26,Column,0.20704866828208332
1,27,Column,0.1517365899828695
1,28,Column,0.11654554173257115
1,29,Column,0.11242476102279007
1,30,Column,0.1354167341771125
1,31,Column,0.13027814669681548
1,32,Column,0.0665570674895449
1,33,Column,0.06678413201757943
1,34,Column,0.08905197844116514
1,35,Column,0.09483935696212
1,36,Column,0.11520825492479482
1,37,Column,0.11646823568501527
1,38,Column,0.0942551400011648
1,39,Column,0.13300952830936538
1,40,Column,0.0888151875272063
1,41,Column,0.11013684281134097
1,42,Column,0.0915115576332282
1,43,Column,0.09411927880072724
1,44,Column,0.06598660359476913
1,45,Column,0.08986096058783213
1,46,Column,0.0911052637105133
1,47,Column,0.08222995683771427
1,48,Column,0.08215745676298461
1,49,Column,0.10479677692445509
1,50,Column,0.08092671557879456
1,51,Column,0.04650743416672452
1,52,Column,0.043489731052292056
1,53,Column,0.08583814762790816
1,54,Column,0.07808701248544007
1,55,Column,0.05967604556669231
1,56,Column,0.04858387950276054
1,57,Column,0.0806635815094191
1,58,Column,0.08373753535180857
1,59,Column,0.06727599743718707
1,60,Column,0.07368137531760466
1,61,Beam,0.2840600759966926
1,62,Beam,0.27804492523592883
1,63,Beam,0.2842240457798219
1,64,Beam,0.31101464526475037
1,65,Beam,0.31014679526150385
1,66,Beam,0.3109009445628358
1,67,Beam,0.20324802323344818
1,68,Beam,0.2854363574437381
1,69,Beam,0.2862008580852873
1,70,Beam,0.21245845590757337
1,71,Beam,0.21267868826862818
1,72,Beam,0.27217178391470503
1,73,Beam,0.17364356964721706
1,74,Beam,0.3532605282191883
1,75,Beam,0.2361237926013
1,76,Beam,0.12111189584240024
1,77,Beam,0.35321435124121076
1,78,Beam,0.23660052576493948
1,79,Beam,0.2284217976163459
1,80,Beam,0.2723776040601438
1,81,Beam,0.17326633251617596
1,82,Beam,0.1679826185472635
1,83,Beam,0.282854305401357
1,84,Beam,0.33585055677295794
1,85,Beam,0.3306881992876444
1,86,Beam,0.3420490543606291
1,87,Beam,0.38474618763109847
1,88,Beam,0.3851085451684382
1,89,Beam,0.25411347183211574
1,90,Beam,0.36778153016301113
1,91,Beam,0.36731780716452056
1,92,Beam,0.298039742967559
1,93,Beam,0.2985240263862689
1,94,Beam,0.21182263937854723
1,95,Beam,0.1357517630853576
1,96,Beam,0.35390119481739735
1,97,Beam,0.2368451991540899
1,98,Beam,0.15485950754086622
1,99,Beam,0.353865201608014
1,100,Beam,0.23497300369010665
1,101,Beam,0.29569968566979693
1,102,Beam,0.2727983658605799
1,103,Beam,0.17299475668921507
1,104,Beam,0.21706798426781374
1,105,Beam,0.2730780231584091
1,106,Beam,0.2694740185232518
1,107,Beam,0.27383781791160494
1,108,Beam,0.5594358159084358
1,109,Beam,0.5552777919463493
1,110,Beam,0.4726005199074045
1,111,Beam,0.3487078300624108
1,112,Beam,0.5220881309480667
1,113,Beam,0.44565983718916297
1,114,Beam,0.2849843837671555
1,115,Beam,0.25299791796925064
1,116,Beam,0.18632034513472384
1,117,Beam,0.16073673848594364
1,118,Beam,0.4621023523404795
1,119,Beam,0.3173942537449054
1,120,Beam,0.2145257686321198
1,121,Beam,0.46200882171917756
1,122,Beam,0.31587052760320494
1,123,Beam,0.4181802342237544
1,124,Beam,0.18622378174072168
1,125,Beam,0.12392196364488352
1,126,Beam,0.15528304061076503
1,127,Beam,0.2640795518589977
1,128,Beam,0.30645919148553397
1,129,Beam,0.30361823789546505
1,130,Beam,0.46659809140677033
1,131,Beam,0.5541555882189858
1,132,Beam,0.5535294694934747
1,133,Beam,0.3031398079097695
1,134,Beam,0.5191754862005219
1,135,Beam,0.5182571302391423
1,136,Beam,0.24411273816874826
1,137,Beam,0.24431643350811644
1,138,Beam,0.18610316094795695
1,139,Beam,0.12392165025117119
1,140,Beam,0.5946404809121884
1,141,Beam,0.3154373935221912
1,142,Beam,0.16310766684265599
1,143,Beam,0.5943174057819542
1,144,Beam,0.3159155497529311
1,145,Beam,0.3178593861609091
1,146,Beam,0.23996078518716318
1,147,Beam,0.160208969663972
1,148,Beam,0.1553186415138144
2,1,Column,0.23900592485143848
2,2,Column,0.2458157588516456
2,3,Column,0.25627392467439347
2,4,Column,0.26425934099924525
2,5,Column,0.1965512812565961
2,6,Column,0.20988038777506668
2,7,Column,0.2752005333064804
2,8,Column,0.18330021778816935
2,9,Column,0.23601102881354458
2,10,Column,0.2394583029082891
2,11,Column,0.19203005940082352
2,12,Column,0.18265455436182168
2,13,Column,0.22180769903534145
2,14,Column,0.2076923083724906
2,15,Column,0.2313340603458768
2,16,Column,0.15670914429555624
2,17,Column,0.13188271512964023
2,18,Column,0.134064896809743
2,19,Column,0.1771031924322254
2,20,Column,0.15146409018305607
2,21,Column,0.2586497221653797
2,22,Column,0.1943282335608158
2,23,Column,0.1561708621298257
2,24,Column,0.17177823110404805
2,25,Column,0.1619923774639357
2,26,Column,0.1419651296164656
2,27,Column,0.14617654060389806
2,28,Column,0.16228921382841274
2,29,Column,0.1058116507152521
2,30,Column,0.16925155428052951
2,31,Column,0.0806140567356551
2,32,Column,0.09478809471611924
2,33,Column,0.09580434621501306
2,34,Column,0.08814570064404639
2,35,Column,0.07803134439225083
2,36,Column,0.15339420257587302
2,37,Column,0.15058465767176984
2,38,Column,0.07199655767033741
2,39,Column,0.08779667871881071
2,40,Column,0.11783151418909361
2,41,Column,0.13629429783377187
2,42,Column,0.07815568088426408
2,43,Column,0.08188338350958635
2,44,Column,0.0810419140487538
2,45,Column,0.07675828765134086
2,46,Column,0.08403424236411237
2,47,Column,0.04379548180758155
2,48,Column,0.04970315478241701
2,49,Column,0.0857060075405165
2,50,Column,0.05029050048246667
2,51,Column,0.16275311251871974
2,52,Column,0.16237706078808717
2,53,Column,0.0490962700972562
2,54,Column,0.09262777017270253
2,55,Column,0.12926719031143527
2,56,Column,0.12618413400298897
2,57,Column,0.04474185566938695
2,58,Column,0.04953073806262447
2,59,Column,0.034861023302232744
2,60,Column,0.0774254985503261
2,61,Beam,0.21657939192096903
2,62,Beam,0.2165111595008168
2,63,Beam,0.21643496173875934
2,64,Beam,0.2858410331332007
2,65,Beam,0.2861078485733157
2,66,Beam,0.2859970441584508
2,67,Beam,0.12398700321972884
2,68,Beam,0.2588505507878277
2,69,Beam,0.25897127997704306
2,70,Beam,0.14729257892528747
2,71,Beam,0.14733549436363477
2,72,Beam,0.24432470176653065
2,73,Beam,0.2388035073899452
2,74,Beam,0.3428771382910623
2,75,Beam,0.2857358778816157
2,76,Beam,0.1838908324461372
2,77,Beam,0.34299434651542965
2,78,Beam,0.2868168463075469
2,79,Beam,0.2471572400272322
2,80,Beam,0.244347263079748
2,81,Beam,0.23752194436462584
2,82,Beam,0.19744391009323978
2,83,Beam,0.1741006308925682
2,84,Beam,0.21647974781376103
2,85,Beam,0.21790196892711422
2,86,Beam,0.22500840605656466
2,87,Beam,0.28729760778818775
2,88,Beam,0.2879365647619983
2,89,Beam,0.10115855922857019
2,90,Beam,0.2590935353582734
2,91,Beam,0.2607013996291783
2,92,Beam,0.18476117976261933
2,93,Beam,0.18484898937430919
2,94,Beam,0.21448862678047337
2,95,Beam,0.239645444110655
2,96,Beam,0.37257424730731925
2,97,Beam,0.3082469404597519
2,98,Beam,0.23956621667003014
2,99,Beam,0.3702711202376497
2,100,Beam,0.30587083066349646
2,101,Beam,0.3226738604423608
2,102,Beam,0.2550525713395453
2,103,Beam,0.260207229333992
2,104,Beam,0.24868921978141117
2,105,Beam,0.13473759850840406
2,106,Beam,0.13141098037751317
2,107,Beam,0.13451487564289386
2,108,Beam,0.36679608360733074
2,109,Beam,0.363584023371118
2,110,Beam,0.28316118986696365
2,111,Beam,0.15572980421554586
2,112,Beam,0.3291772385547429
2,113,Beam,0.25627314125711986
2,114,Beam,0.14195382513331742
2,115,Beam,0.11592555436778648
2,116,Beam,0.24019526358309481
2,117,Beam,0.27066294736054247
2,118,Beam,0.3984012276575938
2,119,Beam,0.363588400645854
2,120,Beam,0.289883487399853
2,121,Beam,0.3955223174730386
2,122,Beam,0.35832046278311486
2,123,Beam,0.40145551171402105
2,124,Beam,0.2334951773643669
2,125,Beam,0.2517657622511
2,126,Beam,0.23377708267444136
2,127,Beam,0.13241213628394627
2,128,Beam,0.1626781765912251
2,129,Beam,0.1626333288013201
2,130,Beam,0.28254421595395124
2,131,Beam,0.3637182756517036
2,132,Beam,0.3649283681979042
2,133,Beam,0.12103269525765603
2,134,Beam,0.3280473710415671
2,135,Beam,0.3296647979806657
2,136,Beam,0.11424868100745793
2,137,Beam,0.11395292397429457
2,138,Beam,0.20431009228061944
2,139,Beam,0.20572394075693703
2,140,Beam,0.4621767405946527
2,141,Beam,0.3356294633878556
2,142,Beam,0.22919580631983852
2,143,Beam,0.46043562219039763
2,144,Beam,0.33616145143395504
2,145,Beam,0.3205809929517712
2,146,Beam,0.22178545524055132
2,147,Beam,0.21589685450262125
2,148,Beam,0.19283835400674237
3,1,Column,0.11960032691018663
3,2,Column,0.21036093813913725
3,3,Column,0.2203183502321515
3,4,Column,0.1219466168742404
3,5,Column,0.23755725541398962
3,6,Column,0.269727256842974
3,7,Column,0.21963725249728197
3,8,Column,0.20342360154843284
3,9,Column,0.0962965203711577
3,10,Column,0.11255025451820974
3,11,Column,0.21786554639680952
3,12,Column,0.18475177424227718
3,13,Column,0.12739682067602842
3,14,Column,0.1778635814711737
3,15,Column,0.11073334211623898
3,16,Column,0.10123048038841743
3,17,Column,0.14511050463024242
3,18,Column,0.14210127163548042
3,19,Column,0.1052171948073751
3,20,Column,0.12874807929347984
3,21,Column,0.21912926181263576
3,22,Column,0.23650950059952677
3,23,Column,0.1490024494573582
3,24,Column,0.05863938047881347
3,25,Column,0.13717588259683058
3,26,Column,0.19669849199124861
3,27,Column,0.13793795659477853
3,28,Column,0.09500285894081151
3,29,Column,0.14215668145458601
3,30,Column,0.09632730469851246
3,31,Column,0.0714295071001514
3,32,Column,0.13758789702789234
3,33,Column,0.1355287260669635
3,34,Column,0.07327245027307348
3,35,Column,0.11406764996326514
3,36,Column,0.14662157796128825
3,37,Column,0.14787890146505323
3,38,Column,0.1113454222345752
3,39,Column,0.05448935604742865
3,40,Column,0.13912885302111855
3,41,Column,0.13820200877089872
3,42,Column,0.10572316976925675
3,43,Column,0.0751002157420086
3,44,Column,0.13917540912886325
3,45,Column,0.07270372573561133
3,46,Column,0.0500831374060572
3,47,Column,0.09368460834202635
3,48,Column,0.09343302290789282
3,49,Column,0.05715396696567757
3,50,Column,0.11109921527017616
3,51,Column,0.17523625405794738
3,52,Column,0.16447475153622895
3,53,Column,0.1187226862291354
3,54,Column,0.047914186080166024
3,55,Column,0.2134290257082563
3,56,Column,0.162439838874403
3,57,Column,0.11194496477197324
3,58,Column,0.034891483717798204
3,59,Column,0.0584916798404308
3,60,Column,0.03447985328737134
3,61,Beam,0.22162753148806846
3,62,Beam,0.22374372534258866
3,63,Beam,0.22181516628210796
3,64,Beam,0.29492460936059345
3,65,Beam,0.2950197004103079
3,66,Beam,0.29500774514077377
3,67,Beam,0.1835866069856409
3,68,Beam,0.27668838744891594
3,69,Beam,0.2766691016771557
3,70,Beam,0.19424595406034315
3,71,Beam,0.19410350232917845
3,72,Beam,0.12626119756888693
3,73,Beam,0.08530685145741045
3,74,Beam,0.31212391934275974
3,75,Beam,0.1983792409618696
3,76,Beam,0.10138144913920134
3,77,Beam,0.31221970633890733
3,78,Beam,0.19886982947640983
3,79,Beam,0.1919485846458194
3,80,Beam,0.1261965520183826
3,81,Beam,0.08467595024300975
3,82,Beam,0.0853055047884406
3,83,Beam,0.2730533417148351
3,84,Beam,0.28160517883627
3,85,Beam,0.29001551050399604
3,86,Beam,0.29628266978282586
3,87,Beam,0.3343252397863303
3,88,Beam,0.3411276190166185
3,89,Beam,0.21588196878186705
3,90,Beam,0.3156020659667307
3,91,Beam,0.3226444692914878
3,92,Beam,0.2778796771082871
3,93,Beam,0.27786145327249856
3,94,Beam,0.10173373191081916
3,95,Beam,0.07078108565768264
3,96,Beam,0.31462185060357883
3,97,Beam,0.1987745432042944
3,98,Beam,0.12858103630560586
3,99,Beam,0.3145620254453634
3,100,Beam,0.1980466318246725
3,101,Beam,0.2485652775373063
3,102,Beam,0.12581407618310214
3,103,Beam,0.08563379864139302
3,104,Beam,0.10479012595699616
3,105,Beam,0.25659165492489633
3,106,Beam,0.2562642138361067
3,107,Beam,0.2561943137428528
3,108,Beam,0.42123570330455407
3,109,Beam,0.41272082207269356
3,110,Beam,0.36477575081080055
3,111,Beam,0.2855026580263639
3,112,Beam,0.39068688860577516
3,113,Beam,0.34757974793412943
3,114,Beam,0.27537462308593585
