Solution_ID,Check_Type,Story,Value
1,Seismic_Drift_X,1,0.0
1,Seismic_Drift_X,2,0.0
1,Seismic_Drift_X,3,0.0
1,Seismic_Drift_X,4,0.0
1,Seismic_Drift_X,5,0.0
1,Seismic_Drift_X,6,0.0
1,Seismic_Drift_X,7,0.0
1,Seismic_Drift_X,8,0.0
1,Seismic_Drift_X,9,0.0
1,Seismic_Drift_Y,1,0.0
1,Seismic_Drift_Y,2,0.0
1,Seismic_Drift_Y,3,0.0
1,Seismic_Drift_Y,4,0.0
1,Seismic_Drift_Y,5,0.0
1,Seismic_Drift_Y,6,0.0
1,Seismic_Drift_Y,7,0.0
1,Seismic_Drift_Y,8,0.0
1,Seismic_Drift_Y,9,0.0
1,Wind_Disp_X,1,0.0009496008274498747
1,Wind_Disp_X,2,0.0030945583561521666
1,Wind_Disp_X,3,0.005632443478588432
1,Wind_Disp_X,4,0.00810326440813735
1,Wind_Disp_X,5,0.010432767285358746
1,Wind_Disp_X,6,0.012454775681487862
1,Wind_Disp_X,7,0.01414067457503404
1,Wind_Disp_X,8,0.01564314095188191
1,Wind_Disp_Y,1,0.001329860556257158
1,Wind_Disp_Y,2,0.004044630766940915
1,Wind_Disp_Y,3,0.00686934189675584
1,Wind_Disp_Y,4,0.009515004710133836
1,Wind_Disp_Y,5,0.012038986730998116
1,Wind_Disp_Y,6,0.014215148905792403
1,Wind_Disp_Y,7,0.016016142380726992
1,Wind_Disp_Y,8,0.017655174887499077
2,Seismic_Drift_X,1,0.0
2,Seismic_Drift_X,2,0.0
2,Seismic_Drift_X,3,0.0
2,Seismic_Drift_X,4,0.0
2,Seismic_Drift_X,5,0.0
2,Seismic_Drift_X,6,0.0
2,Seismic_Drift_X,7,0.0
2,Seismic_Drift_X,8,0.0
2,Seismic_Drift_X,9,0.0
2,Seismic_Drift_Y,1,0.0
2,Seismic_Drift_Y,2,0.0
2,Seismic_Drift_Y,3,0.0
2,Seismic_Drift_Y,4,0.0
2,Seismic_Drift_Y,5,0.0
2,Seismic_Drift_Y,6,0.0
2,Seismic_Drift_Y,7,0.0
2,Seismic_Drift_Y,8,0.0
2,Seismic_Drift_Y,9,0.0
2,Wind_Disp_X,1,0.0014648783115412947
2,Wind_Disp_X,2,0.004420956708279446
2,Wind_Disp_X,3,0.007561968398703595
2,Wind_Disp_X,4,0.010570185726464178
2,Wind_Disp_X,5,0.013190433319697336
2,Wind_Disp_X,6,0.015364841708763068
2,Wind_Disp_X,7,0.01691271312275246
2,Wind_Disp_X,8,0.017992497387521258
2,Wind_Disp_Y,1,0.0016784176438739474
2,Wind_Disp_Y,2,0.0049443452178754505
2,Wind_Disp_Y,3,0.008356719573700261
2,Wind_Disp_Y,4,0.011618687097536898
2,Wind_Disp_Y,5,0.014338437960442835
2,Wind_Disp_Y,6,0.016552683767012345
2,Wind_Disp_Y,7,0.018007795734020286
2,Wind_Disp_Y,8,0.019103425998472874
3,Seismic_Drift_X,1,0.0
3,Seismic_Drift_X,2,0.0
3,Seismic_Drift_X,3,0.0
3,Seismic_Drift_X,4,0.0
3,Seismic_Drift_X,5,0.0
3,Seismic_Drift_X,6,0.0
3,Seismic_Drift_X,7,0.0
3,Seismic_Drift_X,8,0.0
3,Seismic_Drift_X,9,0.0
3,Seismic_Drift_Y,1,0.0
3,Seismic_Drift_Y,2,0.0
3,Seismic_Drift_Y,3,0.0
3,Seismic_Drift_Y,4,0.0
3,Seismic_Drift_Y,5,0.0
3,Seismic_Drift_Y,6,0.0
3,Seismic_Drift_Y,7,0.0
3,Seismic_Drift_Y,8,0.0
3,Seismic_Drift_Y,9,0.0
3,Wind_Disp_X,1,0.000725430195678247
3,Wind_Disp_X,2,0.002374524047976024
3,Wind_Disp_X,3,0.0045125786362852065
3,Wind_Disp_X,4,0.0066283685921872506
3,Wind_Disp_X,5,0.008502005557085315
3,Wind_Disp_X,6,0.01023605750934896
3,Wind_Disp_X,7,0.011683321832577358
3,Wind_Disp_X,8,0.012789490256337457
3,Wind_Disp_Y,1,0.0005533974351667325
3,Wind_Disp_Y,2,0.001810290343897341
3,Wind_Disp_Y,3,0.0035674207714018282
3,Wind_Disp_Y,4,0.0055140726157781265
3,Wind_Disp_Y,5,0.007439610448267307
3,Wind_Disp_Y,6,0.009208223808248112
3,Wind_Disp_Y,7,0.01069684777175926
3,Wind_Disp_Y,8,0.011862240834519115
