gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,min_cost,avg_drift,min_drift,best_margins,hypervolume,hof_min_cost,hof_min_drift,hof_size
0,500,[1.06704545 0.00883797],[1.45530632 0.2203668 ],[5.39608522e-01 1.85248666e-05],[0.23355744 0.01023739],100.0,70.39999999999999,98561527.26684336,65479061.39078609,0.007889132323463667,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.7149463726656204,65479061.39078609,1.8524866575831103e-05,8
1,490,[1.10178056 0.00811177],[1.45530632 0.01484075],[6.13370030e-01 1.85248666e-05],[0.18888955 0.00182079],100.0,100.0,94460858.97801627,65479061.39078609,0.00811176546116902,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.715541433213653,65479061.39078609,1.8524866575831103e-05,8
2,482,[0.95462322 0.00795565],[1.43525062 0.01484075],[5.76721300e-01 1.85248666e-05],[0.16521329 0.0024883 ],100.0,100.0,85687423.02135123,62846183.13093989,0.007955651232748889,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.806836235084401,62846183.13093989,1.8524866575831103e-05,9
3,479,[0.85165892 0.0078903 ],[1.34168137 0.01739925],[5.76721300e-01 1.85248666e-05],[0.14221995 0.00310233],100.0,100.0,79609984.45291261,62846183.13093989,0.007890297183204633,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.806884800109507,62846183.13093989,1.8524866575831103e-05,9
4,481,[0.78305649 0.00754317],[1.34168137 0.01683865],[5.68039413e-01 1.85248666e-05],[0.1377151  0.00363532],100.0,100.0,75541599.19955073,62846183.13093989,0.007543174089132012,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.829245824797342,62846183.13093989,1.8524866575831103e-05,13
5,488,[0.71675356 0.00750791],[1.34168137 0.01683865],[4.96019781e-01 1.85248666e-05],[0.11641089 0.00401569],100.0,100.0,71640644.09593143,58389358.87248732,0.007507907863875478,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.009219416493069,58389358.87248732,1.8524866575831103e-05,9
6,486,[0.69251599 0.00714671],[1.34168137 0.01664851],[4.62430047e-01 1.85248666e-05],[0.13087986 0.004181  ],100.0,100.0,70182671.70156035,56267576.36385782,0.007146709173817576,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.0929221542580985,56267576.36385782,1.8524866575831103e-05,10
7,488,[0.66147125 0.00684386],[1.34168137 0.01609464],[4.30150286e-01 1.85248666e-05],[0.14066938 0.00438055],100.0,100.0,68309807.91774963,54769482.47191833,0.006843862196511746,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.1740599724604985,54769482.47191833,1.8524866575831103e-05,8
8,487,[0.62047442 0.00662477],[1.34168137 0.01653804],[3.66267491e-01 1.85248666e-05],[0.14136749 0.00470757],100.0,100.0,65877438.342705384,51143681.36529697,0.0066247663113275955,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.333068860128794,51143681.36529697,1.8524866575831103e-05,10
9,480,[0.57917147 0.00693164],[1.34168137 0.01770554],[3.66267491e-01 1.85248666e-05],[0.1412457  0.00487304],100.0,100.0,63399064.14046161,51143681.36529697,0.00693163761623678,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.3331078955900715,51143681.36529697,1.8524866575831103e-05,13
10,481,[0.55946067 0.00669626],[1.34168137 0.01817587],[3.61419525e-01 1.85248666e-05],[0.1480341  0.00504245],100.0,100.0,62226088.65131129,50611363.55191754,0.006696261977226074,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.345421894131698,50611363.55191754,1.8524866575831103e-05,14
11,486,[0.54040524 0.00665976],[1.34168137 0.01770554],[3.61419525e-01 1.85248666e-05],[0.15031024 0.00506347],100.0,100.0,61102432.5125578,50533097.12495262,0.0066597586960541995,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.345780849950585,50611363.55191754,1.8524866575831103e-05,14
12,489,[0.5138924  0.00696764],[1.34168137 0.01609407],[3.55380682e-01 1.85248666e-05],[0.15073949 0.0051244 ],100.0,100.0,59503833.07240238,49857777.333265424,0.0069676434372793776,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.361053108566503,49857777.333265424,1.8524866575831103e-05,14
13,482,[0.49882217 0.00688185],[1.34168137 0.01689352],[3.31095901e-01 1.85248666e-05],[0.15754749 0.00527529],100.0,100.0,58588801.22296227,48452830.15278011,0.006881849147185164,1.8524866575831103e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.4215021174773845,48452830.15278011,1.8524866575831103e-05,13
