gen,best_obj1,best_obj2,hypervolume,Experiment,PopSize,Tournament,Crossover,CXPB,MUTPB
0,inf,inf,0.0,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
1,inf,inf,0.0,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
2,inf,inf,0.0,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
3,inf,inf,0.0,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
4,0.4784329861450164,0.08810897911507022,4.8757993288339945,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
5,0.4459132526123569,0.06016559701008591,5.011395976298415,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
6,0.42284477444034413,0.06016559701008591,5.067337630491391,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
7,0.42284477444034413,0.06016559701008591,5.0673514014554675,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
8,0.400805836419176,0.05760606569546475,5.126044192997597,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
9,0.400805836419176,0.05760606569546475,5.126184132546256,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
10,0.3919834484718534,0.05760606569546475,5.147962953204947,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
11,0.3919834484718534,0.05760606569546475,5.147967173236219,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
12,0.37172133799293494,0.05760606569546475,5.1967369677546955,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
13,0.37172133799293494,0.05760606569546475,5.196773810348528,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
14,0.37172133799293494,0.05760606569546475,5.196796011382701,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
15,0.37172133799293494,0.05760606569546475,5.196801750620839,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
16,0.37172133799293494,0.05760606569546475,5.196809651321403,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
17,0.36046537400371903,0.05760606569546475,5.2241626205903,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
18,0.36046537400371903,0.05760606569546475,5.224162620590299,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
19,0.36046537400371903,0.05760606569546475,5.224165074585475,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
20,0.36046537400371903,0.05760606569546475,5.2241673830843265,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
21,0.36046537400371903,0.05760606569546475,5.224265134894296,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
22,0.36046537400371903,0.05760606569546475,5.2244114071116226,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
23,0.36046537400371903,0.05760606569546475,5.224411407111623,Crossover_OnePoint,100,3,OnePoint,0.8,0.2
