gen,best_obj1,best_obj2,hypervolume,Experiment,PopSize,Tournament,Crossover,CXPB,MUTPB
0,inf,inf,0.0,CXPB_0.5,100,3,OnePoint,0.5,0.2
1,inf,inf,0.0,CXPB_0.5,100,3,OnePoint,0.5,0.2
2,inf,inf,0.0,CXPB_0.5,100,3,OnePoint,0.5,0.2
3,inf,inf,0.0,CXPB_0.5,100,3,OnePoint,0.5,0.2
4,inf,inf,0.0,CXPB_0.5,100,3,OnePoint,0.5,0.2
5,inf,inf,0.0,CXPB_0.5,100,3,OnePoint,0.5,0.2
6,inf,inf,0.0,CXPB_0.5,100,3,OnePoint,0.5,0.2
7,inf,inf,0.0,CXPB_0.5,100,3,OnePoint,0.5,0.2
8,inf,inf,0.0,CXPB_0.5,100,3,OnePoint,0.5,0.2
9,0.4795306515033222,0.10397812404098292,4.841088758702703,CXPB_0.5,100,3,OnePoint,0.5,0.2
10,0.4695889028454857,0.08045401803575937,4.912602731969173,CXPB_0.5,100,3,OnePoint,0.5,0.2
11,0.4695889028454857,0.08045401803575937,4.912602731969173,CXPB_0.5,100,3,OnePoint,0.5,0.2
12,0.4695889028454857,0.08045401803575937,4.912602731969173,CXPB_0.5,100,3,OnePoint,0.5,0.2
13,0.4695889028454857,0.08045401803575937,4.912602731969173,CXPB_0.5,100,3,OnePoint,0.5,0.2
14,0.4695889028454857,0.08045401803575937,4.912602731969173,CXPB_0.5,100,3,OnePoint,0.5,0.2
15,0.4695889028454857,0.08045401803575937,4.912602731969173,CXPB_0.5,100,3,OnePoint,0.5,0.2
16,0.4695889028454857,0.08045401803575937,4.912602731969173,CXPB_0.5,100,3,OnePoint,0.5,0.2
17,0.4695889028454857,0.08045401803575937,4.912602731969173,CXPB_0.5,100,3,OnePoint,0.5,0.2
18,0.46869183281926763,0.08045401803575937,4.914798717827677,CXPB_0.5,100,3,OnePoint,0.5,0.2
19,0.46869183281926763,0.0689442074906247,4.937410216657621,CXPB_0.5,100,3,OnePoint,0.5,0.2
20,0.46869183281926763,0.0689442074906247,4.937410216657621,CXPB_0.5,100,3,OnePoint,0.5,0.2
21,0.46869183281926763,0.0689442074906247,4.937410216657621,CXPB_0.5,100,3,OnePoint,0.5,0.2
22,0.46869183281926763,0.0689442074906247,4.937775618178045,CXPB_0.5,100,3,OnePoint,0.5,0.2
23,0.45224317156008964,0.0689442074906247,4.977448052837038,CXPB_0.5,100,3,OnePoint,0.5,0.2
24,0.4491781142399267,0.061885816212609704,4.998885235882148,CXPB_0.5,100,3,OnePoint,0.5,0.2
25,0.4491781142399267,0.061885816212609704,4.999006589674004,CXPB_0.5,100,3,OnePoint,0.5,0.2
26,0.4416486256583084,0.061885816212609704,5.017303036181655,CXPB_0.5,100,3,OnePoint,0.5,0.2
27,0.4309946851668297,0.061885816212609704,5.043235439131828,CXPB_0.5,100,3,OnePoint,0.5,0.2
28,0.4309946851668297,0.061885816212609704,5.043238700521773,CXPB_0.5,100,3,OnePoint,0.5,0.2
29,0.4309946851668297,0.061885816212609704,5.0432632253050516,CXPB_0.5,100,3,OnePoint,0.5,0.2
30,0.4309946851668297,0.061885816212609704,5.0432632253050516,CXPB_0.5,100,3,OnePoint,0.5,0.2
31,0.4203513329637045,0.061885816212609704,5.0690024437308265,CXPB_0.5,100,3,OnePoint,0.5,0.2
32,0.4135518348956729,0.061885816212609704,5.085433494223812,CXPB_0.5,100,3,OnePoint,0.5,0.2
33,0.4135518348956729,0.061885816212609704,5.085433494223814,CXPB_0.5,100,3,OnePoint,0.5,0.2
34,0.40969739247222586,0.061885816212609704,5.094939737888005,CXPB_0.5,100,3,OnePoint,0.5,0.2
35,0.40969739247222586,0.061885816212609704,5.0950582727159786,CXPB_0.5,100,3,OnePoint,0.5,0.2
36,0.40358053917440617,0.061885816212609704,5.1099662136848245,CXPB_0.5,100,3,OnePoint,0.5,0.2
37,0.40358053917440617,0.061885816212609704,5.1099662136848245,CXPB_0.5,100,3,OnePoint,0.5,0.2
38,0.3804384658382972,0.061885816212609704,5.165316351252294,CXPB_0.5,100,3,OnePoint,0.5,0.2
39,0.3804384658382972,0.061885816212609704,5.165536560754473,CXPB_0.5,100,3,OnePoint,0.5,0.2
40,0.3744584461272761,0.061885816212609704,5.179919183531434,CXPB_0.5,100,3,OnePoint,0.5,0.2
41,0.3744584461272761,0.061885816212609704,5.17992518308829,CXPB_0.5,100,3,OnePoint,0.5,0.2
42,0.3744584461272761,0.061885816212609704,5.17992518308829,CXPB_0.5,100,3,OnePoint,0.5,0.2
