Parameter,Obj1_NormCostCO2,Obj2_MeanDCR,Cost,CO2,Mean_DCR
0.4,0.12670147403845122,0.2992752154334455,36449438.22516002,107289.53160119991,0.2992752154334455
0.4,0.12990678174384973,0.2814788842174744,36540096.47816003,108061.67356220001,0.2814788842174744
0.4,0.14108654127508358,0.27858417439730637,37238768.53416,109756.7160371998,0.27858417439730637
0.4,0.14328523409092744,0.27642244249427855,37514811.45608003,109728.2810678,0.27642244249427855
0.4,0.15304973794126348,0.2246075457581635,37819559.55116003,112005.93913719998,0.2246075457581635
0.4,0.15647736167281612,0.22063563808322598,37886471.386120014,112910.0151043999,0.22063563808322598
0.4,0.16094554336329275,0.21542383574986315,38279813.01716002,113289.69228519991,0.21542383574986315
0.4,0.16985581401989375,0.21346032070854742,38861186.364039995,114576.62260999989,0.21346032070854742
0.4,0.17432399571037027,0.20890583615294187,39254527.995079994,114956.2997907999,0.20890583615294187
0.4,0.19015936975568543,0.20860431113058683,40215119.76788,117432.97111719992,0.20860431113058683
0.4,0.1902087085915929,0.20591686674394544,40158876.69619999,117595.2731891999,0.20591686674394544
0.4,0.19233710553720912,0.20530898737262904,40336016.75208002,117802.81780279985,0.20530898737262904
0.4,0.20822181841843174,0.20196817362238312,41240365.45320002,120441.79120119986,0.20196817362238312
0.4,0.2115564704312753,0.19392773639164518,41463745.659799956,120908.28039720013,0.19392773639164518
0.4,0.23268453735771447,0.192870083933501,42658914.354199976,124438.4279316001,0.192870083933501
0.4,0.248648517231969,0.19052817145694848,43752151.67120004,126609.41349159999,0.19052817145694848
0.4,0.25839335418763776,0.18980663051679017,44218912.63000006,128458.08503639986,0.18980663051679017
0.4,0.2749533472432267,0.18817920665847365,44999276.49708005,131633.13023480005,0.18817920665847365
0.4,0.27826825674458655,0.18669039584392172,45173450.95700001,132221.81624040005,0.18669039584392172
0.4,0.32865805813135207,0.18565599293435872,47718437.02580001,141438.24324120022,0.18565599293435872
0.4,0.3426982911562716,0.18280607905850943,48568752.05140002,143637.75749320028,0.18280607905850943
0.4,0.37422558602446077,0.18078925943388863,50633805.72900005,148170.50358480035,0.18078925943388863
0.4,0.3929339560069789,0.17688918025848316,52100399.86160006,150230.83277640026,0.17688918025848316
