gen,best_obj1,best_obj2,hypervolume,Experiment,PopSize,Tournament,Crossover,CXPB,MUTPB
0,inf,inf,0.0,MUTPB_0.5,100,3,OnePoint,0.8,0.5
1,inf,inf,0.0,MUTPB_0.5,100,3,OnePoint,0.8,0.5
2,inf,inf,0.0,MUTPB_0.5,100,3,OnePoint,0.8,0.5
3,inf,inf,0.0,MUTPB_0.5,100,3,OnePoint,0.8,0.5
4,0.6642311022193139,0.10393239577873646,4.398626384809278,MUTPB_0.5,100,3,OnePoint,0.8,0.5
5,0.5030582957949485,0.06943440605614716,4.853697799352401,MUTPB_0.5,100,3,OnePoint,0.8,0.5
6,0.470574939618641,0.059779218422216625,4.950612180598021,MUTPB_0.5,100,3,OnePoint,0.8,0.5
7,0.470574939618641,0.059779218422216625,4.950919477499202,MUTPB_0.5,100,3,OnePoint,0.8,0.5
8,0.470574939618641,0.059779218422216625,4.950919477499202,MUTPB_0.5,100,3,OnePoint,0.8,0.5
9,0.4493368381074918,0.059779218422216625,5.003040840894732,MUTPB_0.5,100,3,OnePoint,0.8,0.5
10,0.4493368381074918,0.059779218422216625,5.003266452732263,MUTPB_0.5,100,3,OnePoint,0.8,0.5
11,0.42457649677270837,0.059779218422216625,5.062867053789748,MUTPB_0.5,100,3,OnePoint,0.8,0.5
12,0.41182982424823655,0.059779218422216625,5.093599013269959,MUTPB_0.5,100,3,OnePoint,0.8,0.5
13,0.41182982424823655,0.059779218422216625,5.093658583894796,MUTPB_0.5,100,3,OnePoint,0.8,0.5
14,0.40041793101149503,0.059779218422216625,5.121913249454761,MUTPB_0.5,100,3,OnePoint,0.8,0.5
15,0.40041793101149503,0.059779218422216625,5.121913987961897,MUTPB_0.5,100,3,OnePoint,0.8,0.5
16,0.3821845285696197,0.059779218422216625,5.165847459196172,MUTPB_0.5,100,3,OnePoint,0.8,0.5
17,0.3821845285696197,0.059779218422216625,5.166006938618515,MUTPB_0.5,100,3,OnePoint,0.8,0.5
18,0.3821845285696197,0.05572024757712282,5.175052299678707,MUTPB_0.5,100,3,OnePoint,0.8,0.5
19,0.3748048751861165,0.05572024757712282,5.1928966448539855,MUTPB_0.5,100,3,OnePoint,0.8,0.5
20,0.35740856617993055,0.05572024757712282,5.234865555896527,MUTPB_0.5,100,3,OnePoint,0.8,0.5
21,0.35740856617993055,0.05572024757712282,5.234904533619369,MUTPB_0.5,100,3,OnePoint,0.8,0.5
22,0.35740856617993055,0.05572024757712282,5.235008550788732,MUTPB_0.5,100,3,OnePoint,0.8,0.5
23,0.35073415783858797,0.05572024757712282,5.251299617749943,MUTPB_0.5,100,3,OnePoint,0.8,0.5
24,0.35073415783858797,0.05572024757712282,5.251572461579214,MUTPB_0.5,100,3,OnePoint,0.8,0.5
25,0.34252359600946414,0.054768171410880494,5.2735044754554075,MUTPB_0.5,100,3,OnePoint,0.8,0.5
26,0.34252359600946414,0.054768171410880494,5.273786734301508,MUTPB_0.5,100,3,OnePoint,0.8,0.5
27,0.34252359600946414,0.054768171410880494,5.273786734301508,MUTPB_0.5,100,3,OnePoint,0.8,0.5
28,0.32942010239164704,0.054768171410880494,5.305502789201583,MUTPB_0.5,100,3,OnePoint,0.8,0.5
29,0.32942010239164704,0.054768171410880494,5.305631469977382,MUTPB_0.5,100,3,OnePoint,0.8,0.5
30,0.3087261079018587,0.054768171410880494,5.356197716478868,MUTPB_0.5,100,3,OnePoint,0.8,0.5
31,0.3087261079018587,0.054768171410880494,5.356246917748837,MUTPB_0.5,100,3,OnePoint,0.8,0.5
32,0.3087261079018587,0.054768171410880494,5.356410176429074,MUTPB_0.5,100,3,OnePoint,0.8,0.5
33,0.3087261079018587,0.054768171410880494,5.356674565590882,MUTPB_0.5,100,3,OnePoint,0.8,0.5
34,0.2885617304459366,0.054768171410880494,5.405075635379229,MUTPB_0.5,100,3,OnePoint,0.8,0.5
35,0.2885617304459366,0.054768171410880494,5.405303135546849,MUTPB_0.5,100,3,OnePoint,0.8,0.5
36,0.28045545341893474,0.054768171410880494,5.4252148310093915,MUTPB_0.5,100,3,OnePoint,0.8,0.5
37,0.28045545341893474,0.054768171410880494,5.425235948261189,MUTPB_0.5,100,3,OnePoint,0.8,0.5
38,0.28045545341893474,0.054768171410880494,5.425531626587828,MUTPB_0.5,100,3,OnePoint,0.8,0.5
39,0.28045545341893474,0.054768171410880494,5.425597166929423,MUTPB_0.5,100,3,OnePoint,0.8,0.5
40,0.27832988595225205,0.054768171410880494,5.430740978451171,MUTPB_0.5,100,3,OnePoint,0.8,0.5
41,0.27399300263366744,0.054768171410880494,5.441166241146313,MUTPB_0.5,100,3,OnePoint,0.8,0.5
42,0.27399300263366744,0.054768171410880494,5.441271578601455,MUTPB_0.5,100,3,OnePoint,0.8,0.5
43,0.27399300263366744,0.054768171410880494,5.44154168310851,MUTPB_0.5,100,3,OnePoint,0.8,0.5
44,0.27399300263366744,0.054768171410880494,5.441587004471673,MUTPB_0.5,100,3,OnePoint,0.8,0.5
45,0.27399300263366744,0.054768171410880494,5.441587004471673,MUTPB_0.5,100,3,OnePoint,0.8,0.5
46,0.2582099518665981,0.054768171410880494,5.479426219311904,MUTPB_0.5,100,3,OnePoint,0.8,0.5
47,0.2582099518665981,0.054768171410880494,5.479432151439931,MUTPB_0.5,100,3,OnePoint,0.8,0.5
48,0.2582099518665981,0.054768171410880494,5.479432151439931,MUTPB_0.5,100,3,OnePoint,0.8,0.5
49,0.2582099518665981,0.054768171410880494,5.47943215143993,MUTPB_0.5,100,3,OnePoint,0.8,0.5
50,0.2582099518665981,0.054768171410880494,5.479441569431081,MUTPB_0.5,100,3,OnePoint,0.8,0.5
0,inf,inf,0.0,MUTPB_0.6,100,3,OnePoint,0.8,0.6
1,inf,inf,0.0,MUTPB_0.6,100,3,OnePoint,0.8,0.6
2,0.48447739023088854,0.0757997554232301,4.886030403552289,MUTPB_0.6,100,3,OnePoint,0.8,0.6
3,0.4780774216791014,0.0757997554232301,4.901420427067657,MUTPB_0.6,100,3,OnePoint,0.8,0.6
4,0.470858968560259,0.05430363609196308,4.959804609099359,MUTPB_0.6,100,3,OnePoint,0.8,0.6
5,0.44217142086899197,0.05430363609196308,5.029999015703191,MUTPB_0.6,100,3,OnePoint,0.8,0.6
6,0.39207752230472026,0.05430363609196308,5.151059331232263,MUTPB_0.6,100,3,OnePoint,0.8,0.6
7,0.39207752230472026,0.05430363609196308,5.152522718377936,MUTPB_0.6,100,3,OnePoint,0.8,0.6
8,0.3776556057415341,0.05430363609196308,5.1887769320442585,MUTPB_0.6,100,3,OnePoint,0.8,0.6
9,0.36122186377809135,0.05430363609196308,5.228453900906435,MUTPB_0.6,100,3,OnePoint,0.8,0.6
10,0.3556856568733401,0.05430363609196308,5.241810225885651,MUTPB_0.6,100,3,OnePoint,0.8,0.6
11,0.33442757962251585,0.05430363609196308,5.2933710172120705,MUTPB_0.6,100,3,OnePoint,0.8,0.6
12,0.33442757962251585,0.05430363609196308,5.293520111760207,MUTPB_0.6,100,3,OnePoint,0.8,0.6
13,0.33154270919566164,0.05430363609196308,5.300585338853032,MUTPB_0.6,100,3,OnePoint,0.8,0.6
14,0.33154270919566164,0.05430363609196308,5.300594283992114,MUTPB_0.6,100,3,OnePoint,0.8,0.6
15,0.32748671558746445,0.05430363609196308,5.310389751448327,MUTPB_0.6,100,3,OnePoint,0.8,0.6
16,0.3182581721794221,0.05430363609196308,5.333129113251407,MUTPB_0.6,100,3,OnePoint,0.8,0.6
17,0.3182581721794221,0.05430363609196308,5.333129113251408,MUTPB_0.6,100,3,OnePoint,0.8,0.6
18,0.3125837345296406,0.05430363609196308,5.346962779444017,MUTPB_0.6,100,3,OnePoint,0.8,0.6
