Parameter,Obj1_NormCostCO2,Obj2_MaxDrift,Cost,CO2,Max_Drift,Hypervolume
0.5,0.31883100649198926,0.011494661514236152,47031803.66543992,138143.66502314497,0.011494661514236152,5.439767232138956
0.5,0.32422539052573585,0.010302431808819318,47123648.34828931,139622.12640564024,0.010302431808819318,5.439767232138956
0.5,0.32484302986679625,0.01017476104144963,47281947.12882447,139410.3541379176,0.01017476104144963,5.439767232138956
0.5,0.32896716685882066,0.010155457885213019,47429483.556283295,140341.31028319136,0.010155457885213019,5.439767232138956
0.5,0.32958480619988106,0.01003849139568781,47587782.33681846,140129.53801546872,0.01003849139568781,5.439767232138956
0.5,0.3336412101626442,0.00969543196567624,47674651.852445856,141195.38357778895,0.00969543196567624,5.439767232138956
0.5,0.33497919023362777,0.009069580269084332,47679627.01966785,141607.999397964,0.009069580269084332,5.439767232138956
0.5,0.3355968295746881,0.00896131661053144,47837925.80020301,141396.22713024137,0.00896131661053144,5.439767232138956
0.5,0.33965323353745125,0.008673305313138155,47924795.31583041,142462.0726925616,0.008673305313138155,5.439767232138956
0.5,0.34699571438968035,0.008544077185207121,48340284.7957422,143725.47683275427,0.008544077185207121,5.439767232138956
0.5,0.35292775415678496,0.008540042731465832,48607636.93979329,144922.3613839524,0.008540042731465832,5.439767232138956
0.5,0.3541991840397172,0.008077730475956531,48795229.76860094,144842.94474291225,0.008077730475956531,5.439767232138956
0.5,0.3590932224219614,0.007606859244635243,49208401.7861336,145333.78114146122,0.007606859244635243,5.439767232138956
0.5,0.36021120741452417,0.007291745302109694,49045373.231985494,146109.63385768488,0.007291745302109694,5.439767232138956
0.5,0.372436375090982,0.007155816295321899,49628879.137488864,148492.38721264893,0.007155816295321899,5.439767232138956
0.5,0.3966110578927259,0.006408900749157625,51245512.77381995,152010.91430577202,0.006408900749157625,5.439767232138956
0.5,0.4074172256707893,0.0060479908197739575,52456593.49841774,152324.2887603644,0.0060479908197739575,5.439767232138956
0.5,0.492994677095073,0.006008247549283375,57014316.41457886,167783.89176045803,0.006008247549283375,5.439767232138956
0.5,0.5978059143131937,0.005935802444831948,64341493.676571734,182218.44595356783,0.005935802444831948,5.439767232138956
0.6,0.31131501526663485,0.013641723273842282,47354468.76988728,134921.7915727579,0.013641723273842282,5.458438317251876
0.6,0.3118955965991061,0.013493106967799741,47324208.47187954,135184.42663005422,0.013493106967799741,5.458438317251876
0.6,0.3123664226099579,0.012923461151730407,47225711.34389994,135588.10775377636,0.012923461151730407,5.458438317251876
0.6,0.3124229880595488,0.012922046236738104,47225182.67414286,135607.45729651692,0.012922046236738104,5.458438317251876
0.6,0.3130035693920201,0.012843642718585865,47194922.37613512,135870.09235381323,0.012843642718585865,5.458438317251876
0.6,0.31670054653645185,0.012770334972490678,47382805.74982787,136561.18966592452,0.012770334972490678,5.458438317251876
0.6,0.31675711198604284,0.012768947563620493,47382277.080070786,136580.53920866508,0.012768947563620493,5.458438317251876
0.6,0.3218524768057163,0.011772933928533874,47849144.7338047,136996.94064963522,0.011772933928533874,5.458438317251876
0.6,0.32290388414903926,0.011669650921024564,47720387.30781736,137663.25683065364,0.011669650921024564,5.458438317251876
0.6,0.32296044959863024,0.011668394931747123,47719858.63806028,137682.6063733942,0.011668394931747123,5.458438317251876
0.6,0.3242197278952273,0.01126400654061864,48068676.662904516,137183.61414072485,0.01126400654061864,5.458438317251876
0.6,0.32474711935566997,0.01082659523257893,47969650.865167834,137606.64480718752,0.01082659523257893,5.458438317251876
0.6,0.32908124328216376,0.010716475516915975,48126745.27109576,138579.72671933562,0.010716475516915975,5.458438317251876
0.6,0.3291378087317547,0.010715319293715175,48126216.60133868,138599.07626207618,0.010715319293715175,5.458438317251876
0.6,0.33417660810183725,0.009959082660613131,48593612.92482968,138996.12816030576,0.009959082660613131,5.458438317251876
0.6,0.33423317355142823,0.009958009353742615,48593084.25507259,139015.47770304632,0.009958009353742615,5.458438317251876
0.6,0.3352845808947512,0.009913171456380716,48464326.82908525,139681.79388406474,0.009913171456380716,5.458438317251876
0.6,0.33534114634434214,0.009912111397746212,48463798.15932817,139701.1434268053,0.009912111397746212,5.458438317251876
0.6,0.3358710435375474,0.008552152459459183,48326924.53305688,140222.55972432037,0.008552152459459183,5.458438317251876
0.6,0.34549825621374264,0.008074947609984996,48847944.06364338,141940.34685923147,0.008074947609984996,5.458438317251876
0.6,0.3455548216633335,0.008074093299500951,48847415.39388629,141959.69640197203,0.008074093299500951,5.458438317251876
0.6,0.3604714929972589,0.00798679379813219,49822277.143736586,144189.18742236315,0.00798679379813219,5.458438317251876
0.6,0.36576767139908756,0.007493950154376187,50188417.51472476,144929.1631669582,0.007493950154376187,5.458438317251876
0.6,0.3658242368486785,0.007493163880055945,50187888.84496767,144948.51270969876,0.007493163880055945,5.458438317251876
0.6,0.39094486879255524,0.007457630009725478,51844480.09388135,148664.7990204679,0.007457630009725478,5.458438317251876
0.6,0.40017459576385833,0.00730777617639105,51955675.65786617,151312.90777975318,0.00730777617639105,5.458438317251876
0.6,0.422114668558326,0.006696289128708998,53833276.92051971,153447.99209046096,0.006696289128708998,5.458438317251876
0.6,0.45822214428253505,0.00612525535003451,55271653.18806281,161220.47599169766,0.00612525535003451,5.458438317251876
0.6,0.6310924969188458,0.005897733375665316,66930470.59700954,186127.1862589974,0.005897733375665316,5.458438317251876
0.7,0.2708074798133171,0.012940605881903804,44589234.72299113,129171.44044954366,0.012940605881903804,5.560230674657969
0.7,0.2809945291671111,0.012465084050864939,45337130.811202206,130482.25090306487,0.012465084050864939,5.560230674657969
0.7,0.2873513926056122,0.009049944151674667,45343350.542903215,132487.53652918036,0.009049944151674667,5.560230674657969
0.7,0.28894494700064594,0.009015181211905502,45343508.41830401,132993.8397290522,0.009015181211905502,5.560230674657969
0.7,0.29496056412521376,0.008887942265910997,45753092.7546792,133850.5606678573,0.008887942265910997,5.560230674657969
0.7,0.2975384419594062,0.008807119003196437,46091246.63111429,133798.34698270157,0.008807119003196437,5.560230674657969
0.7,0.29913199635444,0.008760056827783816,46091404.50651509,134304.65018257342,0.008760056827783816,5.560230674657969
0.7,0.300347320954684,0.008653525176521794,46166044.63437016,134498.63677283775,0.008653525176521794,5.560230674657969
0.7,0.3115414603983654,0.008582653460741241,46836090.926811196,136330.4086697911,0.008582653460741241,5.560230674657969
0.7,0.3137612883996498,0.008574573603075642,46782631.73534976,137174.10026792073,0.008574573603075642,5.560230674657969
0.7,0.3154600425074555,0.006795767166674566,46794649.90538234,137683.27311450627,0.006795767166674566,5.560230674657969
0.7,0.32306921402705713,0.0066835106771405,47204392.11715833,139046.2972531832,0.0066835106771405,5.560230674657969
0.7,0.3353939967460107,0.006653848057799251,48066906.40987647,140741.31550024034,0.006653848057799251,5.560230674657969
0.7,0.3408950325225242,0.00652569069147044,48217765.66902198,142101.52310967346,0.00652569069147044,5.560230674657969
0.7,0.3534306662926434,0.006510090101069523,49067956.62915095,143895.36183699348,0.006510090101069523,5.560230674657969
0.7,0.36486263786875284,0.006395188128825898,49746228.09709366,145781.5501450712,0.006395188128825898,5.560230674657969
0.7,0.37722754109415246,0.006363554331080854,50676726.80899058,147314.03103293575,0.006363554331080854,5.560230674657969
0.7,0.39797276967412387,0.006245761980822273,51818017.120839976,150967.72853861863,0.006245761980822273,5.560230674657969
0.7,0.4058525553043806,0.006193950034021844,51946901.68566365,153140.97958780132,0.006193950034021844,5.560230674657969
0.7,0.4132708987645298,0.006193668470736636,52460653.67460222,154175.140808626,0.006193668470736636,5.560230674657969
0.7,0.43937251552550793,0.0061351134471704875,54306929.608827114,157714.2624871724,0.0061351134471704875,5.560230674657969
0.7,0.4735787260535492,0.006114687344854506,56527440.24863652,162865.49459449697,0.006114687344854506,5.560230674657969
0.7,0.4835279262709713,0.006092481179739753,56978004.141472824,164867.33227563978,0.006092481179739753,5.560230674657969
0.7,0.49113709779057413,0.005931330232760481,57387746.35324881,166230.35641431712,0.005931330232760481,5.560230674657969
0.7,0.6481313798710582,0.005534818758469689,66698433.44154814,192143.42013948283,0.005534818758469689,5.560230674657969
0.8,0.2947173442921106,0.012965621130462249,45605046.40169031,134154.95352622686,0.012965621130462249,5.498893843140586
0.8,0.29519982878756457,0.012701809141534879,45246930.20376892,135231.75748919838,0.012701809141534879,5.498893843140586
0.8,0.29525037549271294,0.012637472497606798,45309081.50497919,135087.5758235458,0.012637472497606798,5.498893843140586
0.8,0.2981369090645919,0.012518518562284075,45714809.712462924,134959.26963149125,0.012518518562284075,5.498893843140586
0.8,0.2996361350923211,0.010582854289822165,45859430.97055346,135063.08664583036,0.010582854289822165,5.498893843140586
0.8,0.30623494165740955,0.009816140738227544,46027045.95199911,136729.15394164,0.009816140738227544,5.498893843140586
0.8,0.32172989881995917,0.00970884965444718,46899862.166424416,139405.64501293583,0.00970884965444718,5.498893843140586
0.8,0.32514946359244035,0.009685157764044433,47009625.47719703,140209.96111820018,0.009685157764044433,5.498893843140586
