Parameter,Obj1_NormCostCO2,Obj2_MaxDrift,Cost,CO2,Max_Drift,Hypervolume
100,0.21123437394962669,0.1031691628338868,41571628.63449021,120525.3777587351,0.1031691628338868,5.606971658089382
100,0.2126116289985039,0.1030949842021558,41594114.64766876,120900.12704286304,0.1030949842021558,5.606971658089382
100,0.21689643454668245,0.10142785209995911,41883080.245596446,121494.47986794455,0.10142785209995911,5.606971658089382
100,0.21827368959555962,0.10129466006679493,41905566.258774996,121869.22915207248,0.10129466006679493,5.606971658089382
100,0.22090821422652118,0.08772420028685514,42163207.39775029,122025.97517705387,0.08772420028685514,5.606971658089382
100,0.22657027482357694,0.08705270363085103,42474659.00885653,122995.07728626332,0.08705270363085103,5.606971658089382
100,0.22794752987245412,0.08702425082247241,42497145.02203508,123369.82657039125,0.08702425082247241,5.606971658089382
100,0.2319534725285943,0.08166679539918274,42704449.032355875,124089.52801426787,0.08166679539918274,5.606971658089382
100,0.23761553312565006,0.08080288100725576,43015900.643462114,125058.63012347731,0.08080288100725576,5.606971658089382
100,0.2443981277896845,0.0743871333438748,43388840.566886924,126219.90753117354,0.0743871333438748,5.606971658089382
100,0.2457753828385617,0.07401913575484799,43411326.580065474,126594.65681530147,0.07401913575484799,5.606971658089382
100,0.2583628124178472,0.0675039276875381,44033299.936247535,128932.85796067315,0.0675039276875381,5.606971658089382
100,0.2660390280755882,0.06523129268563435,44707572.838538356,129588.9886538835,0.06523129268563435,5.606971658089382
100,0.28915339470704404,0.06144018057485001,45816967.53829823,133968.07625106428,0.06144018057485001,5.606971658089382
100,0.30193632769723333,0.06123233815843338,46925525.816155516,135097.98596927302,0.06123233815843338,5.606971658089382
100,0.3159010123253959,0.055749104375093755,47569985.18551613,137810.9363987726,0.055749104375093755,5.606971658089382
100,0.340145604896049,0.054474646220446746,49151126.959720366,141314.6166616302,0.054474646220446746,5.606971658089382
100,0.34410881699174756,0.054183885215898626,49249419.36591637,142305.35293906918,0.054183885215898626,5.606971658089382
100,0.35411028952421186,0.05261452171683536,49795586.32908098,144027.56709112987,0.05261452171683536,5.606971658089382
100,0.4515086074520134,0.04883680341324192,55569409.5798534,159611.69798509846,0.04883680341324192,5.606971658089382
200,0.219683357719839,0.11288825794364972,41851688.7479048,122453.46126024639,0.11288825794364972,5.585109105827016
200,0.22358562181417027,0.10868738083570517,42203502.49931147,122763.41429645514,0.10868738083570517,5.585109105827016
200,0.2249294328199583,0.1073547612224513,42149363.67430099,123327.60273569291,0.1073547612224513,5.585109105827016
200,0.22515972217188335,0.10655335513337848,42059712.250125155,123634.0351431184,0.10655335513337848,5.585109105827016
200,0.22627045176736393,0.10480177764706546,42329272.95715215,123280.12831668327,0.10480177764706546,5.585109105827016
200,0.23151652686748322,0.09992327047635029,42626947.88354834,124154.2697921298,0.09992327047635029,5.585109105827016
200,0.2317468162194083,0.0992505844505978,42537296.459372506,124460.70219955528,0.0992505844505978,5.585109105827016
200,0.2345693767468478,0.09815802058955711,42703898.63045764,124914.20423698945,0.09815802058955711,5.585109105827016
200,0.23680571174791598,0.09071709458260213,42736654.16756997,125532.51095830822,0.09071709458260213,5.585109105827016
200,0.24093826519417227,0.08713288311296759,42998816.494800806,126148.89640194246,0.08713288311296759,5.585109105827016
200,0.24205178684803524,0.08702546395313432,43034329.09396616,126406.65243375475,0.08702546395313432,5.585109105827016
