gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,min_cost,avg_drift,min_drift,best_margins,hypervolume,hof_min_cost,hof_min_drift,hof_size
0,500,[0.8886547  0.43886964],[1.28304388 2.20896587],[0.40782395 0.30282195],[0.22493563 0.11544066],100.0,40.8,88161648.2834256,56576562.10131717,0.008232327516240279,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.319468002126615,56576562.10131717,0.006166750557251402,10
1,482,[0.89530633 0.44786105],[1.2343937  0.88713051],[0.38077621 0.30282195],[0.20081692 0.09570737],100.0,52.2,85774474.05204378,56576562.10131717,0.008607164404626604,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.328733796046235,56576562.10131717,0.006166750557251402,13
2,488,[0.87258985 0.46064827],[1.2343937  0.89410859],[0.48155244 0.30833753],[0.18913234 0.09776064],100.0,76.2,81585129.3430352,56576562.10131717,0.009113241864129387,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.3496870839686705,56576562.10131717,0.006166750557251402,9
3,480,[0.84378596 0.46614859],[1.22379679 0.89410859],[0.44086037 0.30833753],[0.18380524 0.10209766],100.0,100.0,77472614.77024151,54079375.96128531,0.009322971860427597,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.4449174647639405,54079375.96128531,0.006166750557251402,12
4,482,[0.77792288 0.45569764],[1.22379679 0.85790097],[0.44086037 0.30833753],[0.18326666 0.09051873],100.0,100.0,73574875.47428873,53934182.42460175,0.009113952705002665,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.476746938895019,53934182.42460175,0.006166750557251402,9
5,492,[0.73914277 0.45021826],[1.22379679 0.85790097],[0.42802567 0.30833753],[0.19938545 0.09601454],100.0,100.0,71288845.53880607,53201753.18319603,0.009004365153666285,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.509777073073106,53201753.18319603,0.006166750557251402,9
6,487,[0.69319458 0.45237572],[1.22379679 0.87054028],[0.41380224 0.30833753],[0.20563373 0.10014102],100.0,100.0,68574758.07483737,52187021.122894324,0.009047514454454696,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.53849284954536,52187021.122894324,0.006166750557251402,14
7,487,[0.64623526 0.45494551],[1.22379679 0.87054028],[0.34659165 0.30833753],[0.20427012 0.10466924],100.0,100.0,65806777.20404588,48213931.772078626,0.0090989102641185,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.671138748212632,48213931.772078626,0.006166750557251402,14
8,481,[0.6130115  0.46010672],[1.22379679 0.87054028],[0.34659165 0.30833753],[0.20889599 0.11341777],100.0,100.0,63885726.43623007,48213931.772078626,0.009202134477687437,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.678593327039855,48213931.772078626,0.006166750557251402,12
9,481,[0.57779667 0.46378195],[1.22379679 0.88003335],[0.34659165 0.30833753],[0.20564906 0.11201472],100.0,100.0,61817330.00801098,48213931.772078626,0.009275638927021266,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.681289383684429,48213931.772078626,0.006166750557251402,15
10,480,[0.54965989 0.46812158],[1.22379679 0.92148456],[0.31497507 0.30833753],[0.19893783 0.11575713],100.0,100.0,60174539.97305907,46772306.67391225,0.009362431604012504,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.742388143923919,46772306.67391225,0.006166750557251402,20
11,486,[0.53275486 0.47393357],[1.22379679 0.94148849],[0.30788585 0.30833753],[0.20566969 0.12265289],100.0,100.0,59162287.50537964,46181908.23724766,0.009478671445653087,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.763189987836818,46181908.23724766,0.006166750557251402,20
12,492,[0.51415387 0.48118181],[1.22379679 0.94148849],[0.30572777 0.30833753],[0.21337668 0.12376214],100.0,100.0,58061895.33200952,45955034.85348025,0.009623636154079641,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.774818306734908,46055475.32403773,0.006166750557251402,16
13,484,[0.48465707 0.48750284],[1.16610737 0.94479839],[0.27259042 0.30833753],[0.19970644 0.12620517],100.0,100.0,56298141.13244183,43903089.1237974,0.009750056774055011,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.8355941342813695,43903089.1237974,0.006166750557251402,19
14,487,[0.46724699 0.48771051],[1.16610737 0.95948654],[0.27259042 0.30833753],[0.19108248 0.12768142],100.0,100.0,55262525.22344684,43903089.1237974,0.009754210237233028,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.8405268357086095,43903089.1237974,0.006166750557251402,17
15,486,[0.46149183 0.48358859],[1.16610737 0.98260821],[0.24831133 0.30833753],[0.1950138  0.12735347],100.0,100.0,54899910.58389106,42291832.89774795,0.009671771842666899,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.884865402195175,42291832.89774795,0.006166750557251402,16
16,488,[0.45362333 0.48619701],[1.16610737 0.98260821],[0.24831133 0.30833753],[0.19973326 0.13240502],100.0,100.0,54409322.95841838,42291832.89774795,0.009723940121567456,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.88913329199399,42291832.89774795,0.006166750557251402,20
17,486,[0.44781596 0.48604697],[1.16610737 0.98260821],[0.24831133 0.30833753],[0.20346182 0.13481239],100.0,100.0,54051064.14100143,42291832.89774795,0.0097209393435374,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.895892953856822,42291832.89774795,0.006166750557251402,17
18,490,[0.44341314 0.48460756],[1.16610737 0.98260821],[0.24831133 0.30833753],[0.20657138 0.13952676],100.0,100.0,53773995.43114371,42291832.89774795,0.009692151132806642,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.899182993557874,42291832.89774795,0.006166750557251402,17
19,488,[0.42999267 0.47984699],[1.16610737 0.99312604],[0.21809552 0.30833753],[0.20869571 0.12718288],100.0,100.0,52966122.55620641,40636767.52603958,0.009596939781423505,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.957101068205727,40636767.52603958,0.006166750557251402,20
20,486,[0.42106385 0.48532774],[1.16610737 0.99312604],[0.20970182 0.30833753],[0.21215982 0.13654433],100.0,100.0,52417402.7710608,40277481.55133245,0.00970655483399755,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.972027176328786,40277481.55133245,0.006166750557251402,20
21,487,[0.41635177 0.47741087],[1.16610737 0.97226582],[0.20970182 0.30833753],[0.21510998 0.12614194],100.0,100.0,52150144.01060802,40131076.56380596,0.009548217452596817,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.977129229691748,40131076.56380596,0.006166750557251402,22
22,479,[0.41426195 0.47101306],[1.16610737 0.97226582],[0.20250538 0.30833753],[0.21730675 0.12329289],100.0,100.0,52023092.46680018,39497612.23806875,0.00942026114580668,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.993828587785387,39497612.23806875,0.006166750557251402,20
23,486,[0.40581909 0.47426864],[1.16610737 0.97226582],[0.19395163 0.30833753],[0.22094742 0.12421106],100.0,100.0,51536476.94351263,39053536.147920996,0.00948537286219517,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.00955542428489,39053536.147920996,0.006166750557251402,23
24,488,[0.39908073 0.47517846],[1.16610737 0.97226582],[0.18774292 0.30833753],[0.2203589  0.12687553],100.0,100.0,51146283.88960054,38806907.72260655,0.009503569191696454,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.02307248922366,38806907.72260655,0.006166750557251402,20
25,476,[0.372694   0.48744508],[1.16610737 0.97226582],[0.18774292 0.30833753],[0.2118776  0.13114859],100.0,100.0,49584678.02632661,38750884.031793244,0.009748901549292045,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.026464044304682,38750884.031793244,0.006166750557251402,23
26,489,[0.36817007 0.48714132],[1.16610737 0.96595213],[0.18261712 0.30833753],[0.21449089 0.12940244],100.0,100.0,49314031.513213485,38350281.08717256,0.00974282649609194,0.006166750557251402,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.036893270840621,38487759.87713003,0.006166750557251402,28
