gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,min_cost,avg_drift,min_drift,best_margins,hypervolume,hof_min_cost,hof_min_drift,hof_size
0,500,[0.90336373 0.78312243],[1.26905147 1.764901  ],[0.40677794 0.58992597],[0.21113365 0.14119005],100.0,4.0,109392612.72391799,94070563.25462773,0.014752225865984986,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.0972561673621546,94610353.748198,0.011868220809231896,5
1,470,[0.92220358 0.76576632],[1.26905147 1.28513878],[0.50190957 0.58992597],[0.17565752 0.10362772],100.0,4.3999999999999995,108915187.8510877,94070563.25462773,0.014620184164872586,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.1085470792933876,94610353.748198,0.011868220809231896,5
2,486,[0.9280063  0.76262021],[1.26905147 1.32803749],[0.51499409 0.58992597],[0.15799469 0.09697358],100.0,4.8,107906330.01027016,93024474.33975254,0.014767581258332892,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.1257835443054596,93024474.33975254,0.011868220809231896,6
3,485,[0.90030871 0.78049649],[1.26905147 1.32803749],[0.51499409 0.58992597],[0.16588075 0.10575111],100.0,5.2,106740952.6278686,90129879.53649686,0.01489867884886386,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.202763286411084,90129879.53649686,0.011868220809231896,8
4,485,[0.83212573 0.81107999],[1.25149028 1.32803749],[0.54199924 0.59341104],[0.13774384 0.11074976],100.0,6.800000000000001,103689697.78563158,82542422.2499447,0.014899384692149367,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.40106613261906,82542422.2499447,0.011868220809231896,6
5,477,[0.81276698 0.81444091],[1.25149028 1.1872396 ],[0.57297614 0.59341104],[0.1329559  0.10246504],100.0,8.799999999999999,100056577.41600448,80331607.56483309,0.015261530513708411,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.477772168657015,80331607.56483309,0.011868220809231896,6
6,491,[0.79189823 0.82192081],[1.25149028 1.1872396 ],[0.56728493 0.57919921],[0.12558914 0.10115479],100.0,10.0,98307565.99342565,80331607.56483309,0.015425770564553933,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.4788868734010725,80331607.56483309,0.011868220809231896,7
7,486,[0.7764051 0.8243321],[1.25149028 1.19610397],[0.57019917 0.57919921],[0.11716294 0.09890329],100.0,13.200000000000001,95509722.95305069,78380770.09855972,0.015827644626162995,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.519722527507053,78380770.09855972,0.011868220809231896,8
8,484,[0.76396485 0.82831615],[1.18546313 1.21613623],[0.58470761 0.57919921],[0.11112356 0.09909031],100.0,15.8,93630060.97582363,76967291.68412636,0.016019110758836663,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.5515451529620354,76967291.68412636,0.011868220809231896,8
9,482,[0.74104071 0.83755187],[1.18066317 1.14916289],[0.54263747 0.57919921],[0.10860253 0.09647257],100.0,21.2,90963988.63727498,74574378.89688921,0.016181941315966702,0.011868220809231896,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,3.622022216930717,74574378.89688921,0.011868220809231896,9
