Solution_ID,Check_Type,Story,Value
1,Seismic_Drift_X,1,0.004511321314706857
1,Seismic_Drift_X,2,0.00950902756086675
1,Seismic_Drift_X,3,0.01009808323705941
1,Seismic_Drift_X,4,0.009303465730414382
1,Seismic_Drift_Y,1,3.6988084196460675e-05
1,Seismic_Drift_Y,2,3.2315120580868476e-05
1,Seismic_Drift_Y,3,0.00012994115453785407
1,Seismic_Drift_Y,4,3.8695782500817914e-05
1,Wind_Disp_X,1,0.00033053924376037904
1,Wind_Disp_X,2,0.000963364372665741
1,Wind_Disp_X,3,0.0016251377115685454
1,Wind_Disp_X,4,0.0022162867980796926
1,Wind_Disp_Y,1,0.0003331410900277101
1,Wind_Disp_Y,2,0.0009984915180943973
1,Wind_Disp_Y,3,0.0015659046013245309
1,Wind_Disp_Y,4,0.0021908432172084323
2,Seismic_Drift_X,1,0.00424092607097222
2,Seismic_Drift_X,2,0.008785536444449685
2,Seismic_Drift_X,3,0.009448198202667513
2,Seismic_Drift_X,4,0.008960145146251364
2,Seismic_Drift_Y,1,1.762188439361838e-07
2,Seismic_Drift_Y,2,4.5705785250089924e-05
2,Seismic_Drift_Y,3,0.00012503819773276674
2,Seismic_Drift_Y,4,3.239264396959167e-05
2,Wind_Disp_X,1,0.00024976876017399524
2,Wind_Disp_X,2,0.0007087180284773349
2,Wind_Disp_X,3,0.0011867553340887947
2,Wind_Disp_X,4,0.0016239296755805512
2,Wind_Disp_Y,1,0.00026718656989329736
2,Wind_Disp_Y,2,0.0007757843705212674
2,Wind_Disp_Y,3,0.001166623243262637
2,Wind_Disp_Y,4,0.0015672469449005766
3,Seismic_Drift_X,1,0.0027841393741119117
3,Seismic_Drift_X,2,0.00712601026328579
3,Seismic_Drift_X,3,0.008422620614497958
3,Seismic_Drift_X,4,0.007845202588685487
3,Seismic_Drift_Y,1,8.169225850549626e-06
3,Seismic_Drift_Y,2,1.8877373970335157e-05
3,Seismic_Drift_Y,3,4.65624103504617e-05
3,Seismic_Drift_Y,4,3.736225228584406e-05
3,Wind_Disp_X,1,0.00015915924515326932
3,Wind_Disp_X,2,0.0005332287882362089
3,Wind_Disp_X,3,0.0009447296999746167
3,Wind_Disp_X,4,0.0013142324083725693
3,Wind_Disp_Y,1,0.00017237194368091013
3,Wind_Disp_Y,2,0.0005359330306653673
3,Wind_Disp_Y,3,0.0009156203460274737
3,Wind_Disp_Y,4,0.0012531383933262227
4,Seismic_Drift_X,1,0.0027425435773071184
4,Seismic_Drift_X,2,0.0069199029524897055
4,Seismic_Drift_X,3,0.007983404123781079
4,Seismic_Drift_X,4,0.00705436778120878
4,Seismic_Drift_Y,1,6.78428008271894e-06
4,Seismic_Drift_Y,2,1.5730358366035733e-05
4,Seismic_Drift_Y,3,4.3411559266271865e-05
4,Seismic_Drift_Y,4,3.577027467226526e-05
4,Wind_Disp_X,1,0.00015573244825473653
4,Wind_Disp_X,2,0.0005163792959396723
4,Wind_Disp_X,3,0.0009026032929371754
4,Wind_Disp_X,4,0.001230185402478885
4,Wind_Disp_Y,1,0.0001676267617005349
4,Wind_Disp_Y,2,0.0005174272921679229
4,Wind_Disp_Y,3,0.0008766089629067063
4,Wind_Disp_Y,4,0.001190008523167902
5,Seismic_Drift_X,1,1.8331369770267174e-06
5,Seismic_Drift_X,2,8.696007786517722e-07
5,Seismic_Drift_X,3,2.1180244334329347e-05
5,Seismic_Drift_X,4,2.5116452603745608e-05
5,Seismic_Drift_Y,1,0.0018106073172216742
5,Seismic_Drift_Y,2,0.005458850710403277
5,Seismic_Drift_Y,3,0.007452649296997427
5,Seismic_Drift_Y,4,0.007980978738715214
5,Wind_Disp_X,1,9.937974690349428e-05
5,Wind_Disp_X,2,0.00039176672172075753
5,Wind_Disp_X,3,0.0007374362646046261
5,Wind_Disp_X,4,0.0010699842211816728
5,Wind_Disp_Y,1,8.183478796059706e-05
5,Wind_Disp_Y,2,0.0003298737112449038
5,Wind_Disp_Y,3,0.0006153601401042652
5,Wind_Disp_Y,4,0.0009181698698085848
6,Seismic_Drift_X,1,3.504038048313447e-06
6,Seismic_Drift_X,2,1.1547888599026952e-05
6,Seismic_Drift_X,3,1.7929934599632864e-05
6,Seismic_Drift_X,4,2.315271329101459e-05
6,Seismic_Drift_Y,1,0.002828585477660882
6,Seismic_Drift_Y,2,0.00628743688962147
6,Seismic_Drift_Y,3,0.007230114091074096
6,Seismic_Drift_Y,4,0.007357630727868158
6,Wind_Disp_X,1,0.00017219940025496602
6,Wind_Disp_X,2,0.000519305807150478
6,Wind_Disp_X,3,0.0008850822923734757
6,Wind_Disp_X,4,0.001230416582154021
6,Wind_Disp_Y,1,0.00010992324462426661
6,Wind_Disp_Y,2,0.0003674246651972317
6,Wind_Disp_Y,3,0.0006256274492288191
6,Wind_Disp_Y,4,0.0008970548733754959
