gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,min_cost,avg_drift,min_drift,best_margins,hypervolume,hof_min_cost,hof_min_drift,hof_size
0,500,[1.06222494 0.00857234],[1.49095667 0.04666805],[4.90341624e-01 2.83260872e-05],[0.24137428 0.00278385],100.0,56.2,98988589.90778032,70498069.06505251,0.00799686667309495,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.503380570243375,70498069.06505251,2.8326087168564575e-05,5
1,490,[1.07404015 0.00838934],[1.49095667 0.0184143 ],[5.89303056e-01 2.83260872e-05],[0.20740008 0.00229349],100.0,79.4,94971304.97340026,65599093.94139143,0.008092184506793798,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.713715320745463,65599093.94139143,2.8326087168564575e-05,9
2,485,[0.98965325 0.00830001],[1.42737605 0.01620727],[5.54723728e-01 2.83260872e-05],[0.17742397 0.00251825],100.0,100.0,87786713.01937728,62687938.55325112,0.008300007388706211,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.861575111916981,62687938.55325112,2.8326087168564575e-05,9
3,486,[0.88634586 0.00814004],[1.42737605 0.01757029],[5.54723728e-01 2.83260872e-05],[0.16789394 0.00321235],100.0,100.0,81702679.09324354,62687938.55325112,0.008140042136011027,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.861608546640086,62687938.55325112,2.8326087168564575e-05,13
4,487,[0.82520183 0.00761028],[1.42737605 0.01798544],[5.54723728e-01 2.83260872e-05],[0.16476071 0.00356513],100.0,100.0,78089861.68525416,62687938.55325112,0.00761028487963637,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.862323084295422,62687938.55325112,2.8326087168564575e-05,13
5,490,[0.75822008 0.00743717],[1.42737605 0.01798544],[5.25827906e-01 2.83260872e-05],[0.13940509 0.00384789],100.0,100.0,74096531.67353007,60223811.00178746,0.0074371740191151005,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.934365915096066,60223811.00178746,2.8326087168564575e-05,12
6,489,[0.70581416 0.00725734],[1.31100196 0.01630087],[5.12323925e-01 2.83260872e-05],[0.122123   0.00423005],100.0,100.0,70958874.56435016,59497622.58744444,0.007257339015325731,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.968499629823726,59497622.58744444,2.8326087168564575e-05,12
7,486,[0.66727137 0.00700438],[1.14826387 0.01630087],[4.39927433e-01 2.83260872e-05],[0.11723076 0.00432514],100.0,100.0,68667983.6464165,54918266.53968258,0.007004380503221844,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.148922805578947,54918266.53968258,2.8326087168564575e-05,10
8,488,[0.63389125 0.00710343],[1.14826387 0.01646788],[4.39927433e-01 2.83260872e-05],[0.12568198 0.004498  ],100.0,100.0,66667917.410893604,54918266.53968258,0.007103426501564819,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.149527576582974,54918266.53968258,2.8326087168564575e-05,11
9,491,[0.60643321 0.00711719],[1.13429637 0.01691405],[3.95817197e-01 2.83260872e-05],[0.13147438 0.00453141],100.0,100.0,65021399.66592767,52404472.613995016,0.0071171862303527665,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.259385278740819,52404472.613995016,2.8326087168564575e-05,15
10,491,[0.58994775 0.00700438],[1.13429637 0.01691405],[3.91857397e-01 2.83260872e-05],[0.1408479 0.0047084],100.0,100.0,64023657.4476653,51958835.440530226,0.00700438367118133,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.269835577382855,51958835.440530226,2.8326087168564575e-05,11
11,484,[0.55984113 0.00717962],[1.13429637 0.01691405],[3.72511336e-01 2.83260872e-05],[0.14621178 0.0047816 ],100.0,100.0,62243223.28705715,51052725.99253857,0.007179623293477363,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.318043316730325,51052725.99253857,2.8326087168564575e-05,16
12,488,[0.54973861 0.0069152 ],[1.13429637 0.01699022],[3.20260254e-01 2.83260872e-05],[0.15383922 0.00480717],100.0,100.0,61623926.52485966,47666437.88886612,0.006915200188224288,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.448233632142684,47666437.88886612,2.8326087168564575e-05,20
13,486,[0.52094427 0.00708847],[1.13429637 0.01776129],[3.20260254e-01 2.83260872e-05],[0.15838381 0.00503021],100.0,100.0,59901728.956621,47666437.88886612,0.007088473732687576,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.448302248026013,47666437.88886612,2.8326087168564575e-05,16
14,486,[0.49852261 0.00721256],[1.13429637 0.01715001],[3.02751343e-01 2.83260872e-05],[0.16045252 0.00509767],100.0,100.0,58566206.592765525,46929009.277344294,0.007212562441761344,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.491911746412,46929009.277344294,2.8326087168564575e-05,17
15,481,[0.48243615 0.00727013],[1.13429637 0.01715001],[3.00052910e-01 2.83260872e-05],[0.16276812 0.00513435],100.0,100.0,57573981.531964324,46525347.72684324,0.007270126929490012,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.49901457287272,46525347.72684324,2.8326087168564575e-05,14
16,490,[0.47537557 0.00714021],[1.13429637 0.01715001],[2.67867837e-01 2.83260872e-05],[0.16699253 0.00516291],100.0,100.0,57137819.83608583,44413013.81826978,0.007140214766563321,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.579430856303838,44413013.81826978,2.8326087168564575e-05,10
17,484,[0.46045335 0.00722437],[1.13429637 0.01759837],[2.67867837e-01 2.83260872e-05],[0.17201027 0.00524142],100.0,100.0,56215737.54520345,44413013.81826978,0.007224366086722833,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.579458071850805,44413013.81826978,2.8326087168564575e-05,10
18,484,[0.44198019 0.00742037],[1.13429637 0.01759837],[2.67867837e-01 2.83260872e-05],[0.17601982 0.00534574],100.0,100.0,55078259.13853056,44413013.81826978,0.007420373625263578,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.580159104836577,44413013.81826978,2.8326087168564575e-05,9
19,480,[0.43429199 0.00737321],[1.13429637 0.01727667],[2.58389702e-01 2.83260872e-05],[0.18179266 0.00557746],100.0,100.0,54601907.69417751,44027426.51224408,0.007373209601059105,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.603725463486473,44027426.51224408,2.8326087168564575e-05,12
20,478,[0.41648456 0.00758565],[1.13429637 0.01807299],[2.44642160e-01 2.83260872e-05],[0.1819965  0.00560193],100.0,100.0,53503184.600322396,43306939.61456097,0.0075856500736209065,2.8326087168564575e-05,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,5.637911572903574,43306939.61456097,2.8326087168564575e-05,12
