gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,max_cost,min_cost,std_cost,avg_co2,max_co2,min_co2,std_co2,avg_dcr,max_dcr,min_dcr,std_dcr,best_margins,min_AM_str,min_AM_drift,min_AM_wind,min_AM_defl,min_AM_hier,min_NM_str,min_NM_drift,min_NM_wind,min_NM_defl,min_NM_hier,hof_avg_cost,hof_max_cost,hof_min_cost,hof_std_cost,hof_avg_co2,hof_max_co2,hof_min_co2,hof_std_co2,hof_avg_dcr,hof_max_dcr,hof_min_dcr,hof_std_dcr,hof_size
0,600,[0.63811234 0.34639998],[1.11897713 0.83222359],[0.18869304 0.20440719],[0.149266   0.10026711],100.0,1.3333333333333335,52662742.50275001,69122006.91076005,40875016.37068,7460671.623674165,155052.79547157997,206400.44576239988,122147.40814719998,22707.65281692564,0.27417414438224164,0.3262924910607455,0.23233005194368994,0.027820620831631265,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,49490574.57098668,55338832.34552004,40875016.37068,6220608.591521861,146348.0216214666,164740.63698239982,122147.40814719998,17867.016486910325,0.2521863680190175,0.26823064723189943,0.23233005194368994,0.014902167723577123,3
1,510,[0.62649638 0.31611379],[1.11897713 0.72735997],[0.34599076 0.20373348],[0.14621298 0.06318429],100.0,1.5,52077840.82500445,69122006.91076005,40875016.37068,7225916.986327784,153391.43275007105,206400.44576239988,122147.40814719998,21918.609673786963,0.2718173615637658,0.3262924910607455,0.23233005194368994,0.027063329363033975,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,47870825.37308004,55338832.34552004,40875016.37068,5914260.806485283,142329.52536919992,164740.63698239982,122147.40814719998,17459.8987711637,0.2511745993971827,0.26823064723189943,0.23233005194368994,0.014710817645001331,3
2,506,[0.6003509  0.31424886],[1.11897713 0.69492026],[0.30636959 0.20440719],[0.14987556 0.05802146],100.0,2.0,49070680.88910335,69122006.91076005,38463645.03392003,8169696.116808332,144733.45331696662,206400.44576239988,112463.33848359984,24316.42752930705,0.27930937074130996,0.3262924910607455,0.23233005194368994,0.02749830642121422,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,44400155.864448026,55338832.34552004,38463645.03392003,6266487.431377298,131750.55759327993,164740.63698239982,112463.33848359984,18853.537233232546,0.2681797136482625,0.29951464597789274,0.23233005194368994,0.02402474864790262,5
3,503,[0.4974421  0.34571292],[1.10337752 0.50376187],[0.30240307 0.21521082],[0.13981278 0.05382041],100.0,2.666666666666667,46512797.070647515,69122006.91076005,37112775.45184005,8364411.508800521,137368.01789634995,206400.44576239988,108512.40999559988,24708.516461711824,0.28543985195433347,0.3262924910607455,0.23233005194368994,0.026398773623092148,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42582286.59661718,55338832.34552004,37112775.45184005,6046088.771263146,126078.8228393142,164740.63698239982,108512.40999559988,18373.79330426234,0.277368051037609,0.30377142028025955,0.23233005194368994,0.02503413162620241,7
4,516,[0.43633385 0.36651332],[1.04089156 0.51080508],[0.3115989  0.21521082],[0.08161876 0.04624625],100.0,2.833333333333333,46555385.10771531,69122006.91076005,37112775.45184005,8116459.00675623,137230.30678472936,206400.44576239988,108512.40999559988,23977.110255028765,0.28550653946186916,0.3262924910607455,0.23233005194368994,0.025611961389494342,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42582286.59661718,55338832.34552004,37112775.45184005,6046088.771263146,126078.8228393142,164740.63698239982,108512.40999559988,18373.79330426234,0.277368051037609,0.30377142028025955,0.23233005194368994,0.02503413162620241,7
5,502,[0.42513133 0.36900442],[1.04089156 0.46273764],[0.30114656 0.21521082],[0.08214561 0.04285325],100.0,2.833333333333333,46555385.10771531,69122006.91076005,37112775.45184005,8116459.00675623,137230.30678472936,206400.44576239988,108512.40999559988,23977.110255028765,0.28550653946186916,0.3262924910607455,0.23233005194368994,0.025611961389494342,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42582286.59661718,55338832.34552004,37112775.45184005,6046088.771263146,126078.8228393142,164740.63698239982,108512.40999559988,18373.79330426234,0.277368051037609,0.30377142028025955,0.23233005194368994,0.02503413162620241,7
6,496,[0.41546587 0.37131933],[1.04089156 0.45765339],[0.30642325 0.21521082],[0.08119589 0.04432951],100.0,2.833333333333333,46555385.10771531,69122006.91076005,37112775.45184005,8116459.00675623,137230.30678472936,206400.44576239988,108512.40999559988,23977.110255028765,0.28550653946186916,0.3262924910607455,0.23233005194368994,0.025611961389494342,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42582286.59661718,55338832.34552004,37112775.45184005,6046088.771263146,126078.8228393142,164740.63698239982,108512.40999559988,18373.79330426234,0.277368051037609,0.30377142028025955,0.23233005194368994,0.02503413162620241,7
7,498,[0.4058987 0.37807  ],[1.04089156 0.44512989],[0.31165544 0.21521082],[0.08519447 0.04673237],100.0,2.833333333333333,46555385.10771531,69122006.91076005,37112775.45184005,8116459.00675623,137230.30678472936,206400.44576239988,108512.40999559988,23977.110255028765,0.28550653946186916,0.3262924910607455,0.23233005194368994,0.025611961389494342,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42582286.59661718,55338832.34552004,37112775.45184005,6046088.771263146,126078.8228393142,164740.63698239982,108512.40999559988,18373.79330426234,0.277368051037609,0.30377142028025955,0.23233005194368994,0.02503413162620241,7
8,498,[0.39652961 0.38621909],[1.04089156 0.44774249],[0.31785421 0.21521082],[0.08893564 0.04701129],100.0,2.833333333333333,46555385.10771531,69122006.91076005,37112775.45184005,8116459.00675623,137230.30678472936,206400.44576239988,108512.40999559988,23977.110255028765,0.28550653946186916,0.3262924910607455,0.23233005194368994,0.025611961389494342,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42582286.59661718,55338832.34552004,37112775.45184005,6046088.771263146,126078.8228393142,164740.63698239982,108512.40999559988,18373.79330426234,0.277368051037609,0.30377142028025955,0.23233005194368994,0.02503413162620241,7
9,513,[0.39593434 0.38732195],[1.04089156 0.44774249],[0.31268203 0.21521082],[0.08947093 0.04562082],100.0,2.833333333333333,46555385.10771531,69122006.91076005,37112775.45184005,8116459.00675623,137230.30678472936,206400.44576239988,108512.40999559988,23977.110255028765,0.28550653946186916,0.3262924910607455,0.23233005194368994,0.025611961389494342,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42582286.59661718,55338832.34552004,37112775.45184005,6046088.771263146,126078.8228393142,164740.63698239982,108512.40999559988,18373.79330426234,0.277368051037609,0.30377142028025955,0.23233005194368994,0.02503413162620241,7
