ID,Cost,CO2,Mean_DCR,Fit1(NormCost+CO2),Fit2(Mean_DCR)
Sol #1,"28,604,992","87,210",0.4058,0.3348,0.4058
Sol #2,"28,800,012","87,234",0.4056,0.3366,0.4056
Sol #3,"28,954,012","88,038",0.4042,0.3403,0.4042
Sol #4,"28,994,226","88,301",0.4002,0.3415,0.4002
Sol #5,"29,052,026","88,169",0.3891,0.3416,0.3891
Sol #6,"29,087,093","88,912",0.3771,0.3441,0.3771
Sol #7,"29,314,350","89,365",0.3723,0.3474,0.3723
Sol #8,"29,314,350","89,365",0.3723,0.3474,0.3723
Sol #9,"29,535,553","89,310",0.3717,0.3491,0.3717
Sol #10,"29,539,619","90,181",0.3680,0.3518,0.3680
Sol #11,"29,761,563","90,133",0.3652,0.3535,0.3652
Sol #12,"29,608,831","90,644",0.3605,0.3538,0.3605
Sol #13,"30,625,451","92,729",0.3559,0.3688,0.3559
Sol #14,"31,215,019","94,345",0.3521,0.3787,0.3521
Sol #15,"31,298,051","95,080",0.3521,0.3816,0.3521
Sol #16,"31,691,069","95,938",0.3369,0.3876,0.3369
Sol #17,"33,587,766","101,873",0.3200,0.4217,0.3200
Sol #18,"37,112,775","108,512",0.3038,0.4718,0.3038
Sol #19,"38,463,645","112,463",0.2995,0.4953,0.2995
Sol #20,"38,962,451","115,287",0.2969,0.5081,0.2969
Sol #21,"39,924,658","119,301",0.2879,0.5284,0.2879
Sol #22,"40,875,016","122,147",0.2682,0.5452,0.2682
Sol #23,"47,398,627","140,101",0.2530,0.6551,0.2530
Sol #24,"55,338,832","164,741",0.2323,0.7973,0.2323
