Solution_ID,col_sec_grp_0,col_sec_grp_1,col_sec_grp_2,col_sec_grp_3,col_sec_grp_4,col_sec_grp_5,col_rot_grp_0,col_rot_grp_1,col_rot_grp_2,col_rot_grp_3,col_rot_grp_4,col_rot_grp_5,beam_sec_grp_0,beam_sec_grp_1,beam_sec_grp_2,beam_sec_grp_3
Sol #1,560,526,284,205,70,267,0,1,0,0,0,1,185,243,168,192
Sol #2,560,526,284,205,70,267,0,1,0,0,1,1,185,243,168,192
Sol #3,560,526,409,205,70,267,0,1,0,0,1,1,185,243,168,192
Sol #4,560,526,474,205,70,267,0,1,0,0,1,1,185,243,168,192
Sol #5,560,526,560,117,70,267,0,1,0,0,1,1,185,243,168,192
Sol #6,526,526,284,117,172,267,0,0,1,1,0,1,223,243,168,253
Sol #7,526,526,284,117,206,267,0,0,1,1,0,1,223,243,168,253
Sol #8,526,525,284,117,201,267,0,0,1,1,0,1,223,243,168,253
Sol #9,526,526,708,117,70,267,0,0,1,1,0,1,223,243,168,253
Sol #10,560,526,284,117,70,267,0,1,0,0,1,1,185,243,168,314
Sol #11,526,526,284,117,70,267,0,1,0,0,1,1,185,243,168,375
Sol #12,526,526,284,110,70,267,0,0,1,1,0,1,404,243,168,253
Sol #13,586,525,781,71,70,267,0,0,1,1,0,0,223,243,168,384
Sol #14,704,525,942,117,70,267,0,0,1,1,0,0,223,243,168,267
Sol #15,560,526,816,205,70,267,0,1,0,0,1,1,185,243,168,348
Sol #16,526,526,850,117,70,267,1,1,0,1,1,1,185,243,168,563
Sol #17,586,525,284,117,70,267,0,1,1,1,0,1,663,243,168,786
Sol #18,514,738,906,71,406,91,0,0,1,1,0,1,223,243,224,829
Sol #19,653,808,550,43,477,334,0,1,0,1,0,0,291,479,520,289
Sol #20,693,361,999,277,59,604,0,1,0,1,0,1,291,317,520,289
Sol #21,688,724,876,427,313,336,0,1,1,0,1,1,585,315,747,646
Sol #22,863,775,968,527,246,794,0,0,0,0,0,0,355,280,355,905
Sol #23,303,637,836,28,387,525,1,0,1,1,1,0,668,663,568,885
