Solution_ID,col_sec_grp_0,col_sec_grp_1,col_sec_grp_2,col_sec_grp_3,col_sec_grp_4,col_sec_grp_5,col_rot_grp_0,col_rot_grp_1,col_rot_grp_2,col_rot_grp_3,col_rot_grp_4,col_rot_grp_5,beam_sec_grp_0,beam_sec_grp_1,beam_sec_grp_2,beam_sec_grp_3
Sol #1,438,294,573,205,321,389,0,1,0,0,1,1,227,243,192,268
Sol #2,438,294,573,205,321,385,0,1,0,0,1,1,227,243,192,268
Sol #3,438,488,573,97,249,389,0,1,0,0,1,1,227,243,192,268
Sol #4,438,491,417,201,249,488,0,1,0,0,1,1,227,243,192,268
Sol #5,438,491,573,97,249,488,0,1,1,0,1,1,227,243,192,268
Sol #6,438,294,573,117,321,389,0,1,0,0,1,1,227,243,192,278
Sol #7,438,294,573,97,249,389,0,1,1,0,1,0,227,243,192,273
Sol #8,438,491,573,205,439,389,0,1,0,0,1,1,227,243,192,268
Sol #9,438,766,573,205,321,389,0,1,0,0,1,1,227,243,192,268
Sol #10,438,633,573,97,472,389,0,1,0,0,1,1,227,243,192,268
Sol #11,438,294,573,97,249,414,0,1,0,0,1,1,227,389,192,268
Sol #12,438,294,573,117,321,389,0,1,0,0,1,0,227,243,192,489
Sol #13,438,294,573,117,249,389,0,1,0,0,1,1,227,243,192,367
Sol #14,438,294,573,117,321,389,0,1,0,0,1,1,227,243,192,639
Sol #15,438,294,573,97,249,389,0,1,0,0,1,1,227,243,192,404
Sol #16,438,294,573,117,321,389,0,1,0,0,1,1,227,243,192,622
Sol #17,438,294,573,117,249,389,0,1,0,0,1,1,227,243,192,529
Sol #18,438,294,417,201,249,234,0,1,0,0,1,1,661,607,192,268
Sol #19,438,967,573,205,321,389,0,1,0,0,1,1,227,243,192,562
Sol #20,438,776,417,223,424,234,1,0,0,0,0,1,216,704,250,529
Sol #21,804,967,918,209,530,545,1,0,0,1,1,0,308,803,811,260
