name,b,d,h,PiM,M,rho_t,rho_c,PiVn,stirrup,stirrup_space,fck,fy,Cost,CO2,UnitWeight,dimension,PI_size,n_b,N_r,N_n,N_r_C,N_n_C
1,300,414,500,161.4857129,189.9831916,0.007621445,0.003272504,240.9101602,13.0,200,24,400,29181.50138,87.91949963,3.649356369,16,40,4,5,2,2,1
2,300,426,500,170.46186,200.5433647,0.005850252,0.002409761,290.3010299,13.0,200,24,500,26453.93316,82.55135656,3.630617504,22,50,3,2,1,1,1
3,300,439,500,173.5596001,204.1877649,0.005654553,0.002530954,371.9968255,13.0,150,24,500,29267.59629,88.14604794,3.649792906,16,40,4,4,1,2,1
4,300,417,500,174.7028629,205.5327799,0.008621451,0.003560255,174.8611019,10.0,200,24,400,27786.78789,85.10970246,3.639950423,16,40,4,6,2,3,1
5,300,429,500,181.0629176,213.0151972,0.007704434,0.003449902,179.8930761,10.0,200,24,400,26853.54999,83.27030343,3.633546211,22,50,3,3,1,2,1
6,300,401,500,186.6943883,219.6404568,0.009840726,0.004179261,168.1518031,10.0,200,24,400,28804.14178,87.10157198,3.646968015,22,50,3,4,2,2,1
7,300,414,500,192.5111627,226.4837208,0.007213154,0.003252436,355.4261059,13.0,150,27,500,30990.9436,91.53097265,3.661651066,16,40,4,5,2,2,1
8,300,429,500,198.9621799,234.0731528,0.00703745,0.003092248,205.163262,10.0,200,24,500,25828.9128,81.2577551,3.626495797,22,50,3,3,1,1,1
9,300,401,500,203.5662794,239.4897405,0.009989753,0.00431453,176.8471786,10.0,200,30,400,29069.88265,87.62352877,3.648796548,22,50,3,4,2,2,1
10,300,417,500,205.3885766,241.6336195,0.009879208,0.004609458,212.2592472,10.0,150,27,400,31344.49416,92.13158696,3.664338369,16,40,4,6,2,3,1
11,300,429,500,209.1218658,246.0257244,0.008989746,0.0040496,285.7545894,10.0,100,27,400,32437.78393,94.33421472,3.671711296,22,50,3,3,1,2,1
12,300,417,500,215.6880833,253.7506862,0.008363842,0.003379957,208.4667527,10.0,200,30,500,27361.12993,84.2736434,3.637021518,16,40,4,5,2,3,1
13,300,451,550,218.0905033,256.5770627,0.008695136,0.003565763,194.1442994,10.0,200,27,400,30097.14471,92.69221092,4.00074634,22,50,3,4,2,2,1
14,300,429,500,218.4500617,257.0000726,0.00758328,0.00304661,214.465796,10.0,200,30,500,26329.10463,82.24021039,3.629937561,22,50,3,3,1,1,1
15,300,417,500,219.3403288,258.0474457,0.011077711,0.004889307,212.2592472,10.0,150,27,400,32781.49283,94.95407796,3.674226196,16,40,4,7,2,3,1
16,300,429,500,220.4064722,259.301732,0.00759292,0.003519686,252.0610081,10.0,150,27,500,28044.89523,85.64215888,3.641657256,22,50,3,3,1,2,1
17,300,464,550,221.22445,260.2640588,0.008513033,0.004139632,270.0055902,13.0,200,24,400,34074.36425,100.5863257,4.027890013,16,40,4,6,2,3,1
18,300,479,550,225.5276474,265.3266441,0.006218851,0.002860065,276.1007791,10.0,150,24,500,28680.37929,89.94398304,3.990904063,22,50,3,3,1,2,1
19,300,467,550,228.9393763,269.3404427,0.006971754,0.002979044,228.5404727,10.0,200,27,500,28286.31808,89.14183635,3.988268952,16,40,4,5,2,3,1
20,300,464,550,228.9890602,269.3988943,0.007050277,0.003334718,547.1506109,13.0,100,24,500,38811.13371,110.0758813,4.059979042,16,40,4,5,2,3,1
