name,b,d,h,PiM,M,rho_t,rho_c,PiVn,stirrup,stirrup_space,fck,fy,Cost,CO2,UnitWeight,dimension,PI_size,n_b,N_r,N_n,N_r_C,N_n_C
1,300,414,500,159.9240349,188.1459234,0.007657725,0.003125899,295.8613281,13,150,24,400,31297.85806,92.13380084,3.66376291,16,40,4,5,2,2,1
2,300,414,500,161.4857129,189.9831916,0.007621445,0.003272504,240.9101602,13,200,24,400,29181.50138,87.91949963,3.649356369,16,40,4,5,2,2,1
3,300,417,500,167.1543095,196.6521289,0.008038132,0.003385699,273.1144122,10,100,24,400,30995.95295,91.51497883,3.661755631,16,40,4,5,2,3,1
4,300,426,500,170.46186,200.5433647,0.005850252,0.002409761,290.3010299,13,200,24,500,26453.93316,82.55135656,3.630617504,22,50,3,2,1,1,1
5,300,429,500,171.301352,201.5310024,0.005807636,0.002435245,331.5141915,10,100,24,500,27641.32285,84.91321204,3.638707384,22,50,3,2,1,1,1
6,300,439,500,173.5596001,204.1877649,0.005654553,0.002530954,371.9968255,13,150,24,500,29267.59629,88.14604794,3.649792906,16,40,4,4,1,2,1
7,300,417,500,174.7028629,205.5327799,0.008621451,0.003560255,174.8611019,10,200,24,400,27786.78789,85.10970246,3.639950423,16,40,4,6,2,3,1
8,300,426,500,176.3628476,207.485703,0.005875753,0.002707009,290.3010299,13,200,24,500,26774.42464,83.18085214,3.63282277,22,50,3,2,1,1,1
9,300,429,500,181.0629176,213.0151972,0.007704434,0.003449902,179.8930761,10,200,24,400,26853.54999,83.27030343,3.633546211,22,50,3,3,1,2,1
10,300,401,500,184.2108447,216.7186408,0.009793861,0.00399218,262.6352021,10,100,24,400,32284.6907,94.03351557,3.670657879,22,50,3,4,2,2,1
11,300,401,500,186.6943883,219.6404568,0.009840726,0.004179261,168.1518031,10,200,24,400,28804.14178,87.10157198,3.646968015,22,50,3,4,2,2,1
12,300,426,500,189.9743657,223.4992538,0.008309591,0.00373453,304.4370188,13,150,24,400,32295.47209,94.07891034,3.670666349,22,50,3,3,1,2,1
13,300,417,500,191.0374413,224.7499309,0.009665971,0.004140905,174.8611019,10,200,24,400,29366.49718,88.21249955,3.650820226,16,40,4,6,2,3,1
14,300,426,500,191.837028,225.6906212,0.006543975,0.002740261,365.7283118,13,150,27,500,29554.88946,88.69597574,3.651808706,22,50,3,3,1,1,1
15,300,414,500,192.5111627,226.4837208,0.007213154,0.003252436,355.4261059,13,150,27,500,30990.9436,91.53097265,3.661651066,16,40,4,5,2,2,1
16,300,426,500,193.0731327,227.144862,0.008200472,0.004023842,417.5249295,13,100,24,400,36642.19905,102.7242728,3.700283429,22,50,3,3,1,2,1
17,300,426,500,196.5334886,231.215869,0.006995425,0.003052328,360.9809742,13,150,24,500,30313.06645,90.18515439,3.657025637,22,50,3,3,1,1,1
18,300,429,500,198.9621799,234.0731528,0.00703745,0.003092248,205.163262,10,200,24,500,25828.9128,81.2577551,3.626495797,22,50,3,3,1,1,1
19,300,426,500,199.9726752,235.2619708,0.006540617,0.003173876,507.0882003,13,100,27,500,34149.93087,97.82906679,3.683134411,22,50,3,3,1,2,1
20,300,417,500,201.0758638,236.5598398,0.007422997,0.003214911,249.405632,1.00E+01,150,30,500,27601.45456,84.77966948,3.638582933,16,40,4,5,2,2,1
21,300,429,500,202.1385797,237.8100938,0.008684357,0.004311622,179.8930761,1.00E+01,200,24,400,28695.19157,86.88757665,3.64621834,22,50,3,3,1,2,1
22,300,401,500,203.5662794,239.4897405,0.009989753,0.00431453,176.8471786,10,200,30,400,29069.88265,87.62352877,3.648796548,22,50,3,4,2,2,1
23,300,417,500,205.3885766,241.6336195,0.009879208,0.004609458,212.2592472,10,150,27,400,31344.49416,92.13158696,3.664338369,16,40,4,6,2,3,1
24,300,414,500,208.0074836,244.7146866,0.009872421,0.004877921,300.474938,13,150,27,400,35125.8759,99.65262893,3.690103072,16,40,4,6,2,3,1
25,300,429,500,209.1218658,246.0257244,0.008989746,0.0040496,285.7545894,10,100,27,400,32437.78393,94.33421472,3.671711296,22,50,3,3,1,2,1
26,300,401,500,211.2153782,248.4886802,0.010282634,0.004732595,176.8471786,10,200,30,400,29734.42519,88.92879466,3.653369191,22,50,3,4,2,2,1
