name,h,b,PI_Pn_max,PI_Vn_z,PI_Vn_y,PI_Mn_z,PI_Mn_y,required_rebar,MainRebar_size,rho,side_rebars_top,side_rebars_bottom,side_rebars_left,side_rebars_right,spacing_h,spacing_b,Stirrup_size,Stirrup_verticle_size,fck,fy,Cover_size,aggregate,Cost,CO2,UnitWeight,PM_Volume,original_name
1,600,600,5493.279088,312.1862083,312.1862083,0,0,6,32,0.013404129,2,2,3,3,422.0,211.0,13,450,27,500,60,25,70739.67549,212.0909966,8.764110466,15881155.86,1
2,600,600,5493.279088,312.1862083,312.1862083,0,0,6,32,0.013404129,3,3,2,2,211.0,422.0,13,450,27,500,60,25,70739.67549,212.0909966,8.764110466,15881155.86,1
3,600,600,5557.725067,361.9254216,361.9254216,0,0,8,32,0.017872172,3,3,3,3,211.0,211.0,13,250,27,400,60,25,86794.20251,243.7165195,8.874330473,16654986.07,2
4,600,600,5557.725067,361.9254216,361.9254216,0,0,8,32,0.017872172,3,3,3,3,211.0,211.0,13,250,27,400,60,25,86794.20251,243.7165195,8.874330473,16654986.07,2
5,600,600,5802.637093,308.9326946,308.9326946,0,0,8,29,0.014678219,2,2,4,4,431.0,143.6666667,10,250,30,400,60,25,74592.92266,219.666857,8.790603937,17044161.34,3
6,600,600,5802.637093,308.9326946,308.9326946,0,0,8,29,0.014678219,4,4,2,2,143.6666667,431.0,10,250,30,400,60,25,74592.92266,219.666857,8.790603937,17044161.34,3
7,600,600,5920.713288,287.7151707,287.7151707,0,0,12,25,0.016362462,4,4,4,4,151.6666667,151.6666667,10,350,30,400,50,25,78092.14973,226.5085683,8.814766712,18294143.97,4
8,600,600,5920.713288,287.7151707,287.7151707,0,0,12,25,0.016362462,4,4,4,4,151.6666667,151.6666667,10,350,30,400,50,25,78092.14973,226.5085683,8.814766712,18294143.97,4
9,600,600,5892.292118,402.1590039,402.1590039,0,0,8,32,0.017872172,3,3,3,3,214.0,214.0,10,150,27,500,60,25,86683.71898,243.4966572,8.873577995,19319184.93,5
10,600,600,5892.292118,402.1590039,402.1590039,0,0,8,32,0.017872172,3,3,3,3,214.0,214.0,10,150,27,500,60,25,86683.71898,243.4966572,8.873577995,19319184.93,5
11,600,600,5850.305832,298.0657038,298.0657038,0,0,12,29,0.022017329,3,3,5,5,215.5,107.75,10,250,27,400,60,25,95121.87977,259.9889521,8.931861392,19479371.89,6
12,600,600,5850.305832,298.0657038,298.0657038,0,0,12,29,0.022017329,5,5,3,3,107.75,215.5,10,250,27,400,60,25,95121.87977,259.9889521,8.931861392,19479371.89,6
