name,h,b,PI_Pn_max,PI_Vn_z,PI_Vn_y,PI_Mn_z,PI_Mn_y,required_rebar,MainRebar_size,rho,side_rebars_top,side_rebars_bottom,side_rebars_left,side_rebars_right,spacing_h,spacing_b,Stirrup_size,Stirrup_verticle_size,fck,fy,Cover_size,aggregate,Cost,CO2,UnitWeight,PM_Volume
1,600,600,5493.279088,312.1862083,312.1862083,0,0,6,32,0.013404129,2,2,3,3,422.0,211.0,13,450,27,500,60,25,70739.67549,212.0909966,8.764110466,15881155.86
2,600,600,5557.725067,361.9254216,361.9254216,0,0,8,32,0.017872172,3,3,3,3,211.0,211.0,13,250,27,400,60,25,86794.20251,243.7165195,8.874330473,16654986.07
3,600,600,5802.637093,308.9326946,308.9326946,0,0,8,29,0.014678219,2,2,4,4,431.0,143.6666667,10,250,30,400,60,25,74592.92266,219.666857,8.790603937,17044161.34
4,600,600,5920.713288,287.7151707,287.7151707,0,0,12,25,0.016362462,4,4,4,4,151.6666667,151.6666667,10,350,30,400,50,25,78092.14973,226.5085683,8.814766712,18294143.97
5,600,600,5892.292118,402.1590039,402.1590039,0,0,8,32,0.017872172,3,3,3,3,214.0,214.0,10,150,27,500,60,25,86683.71898,243.4966572,8.873577995,19319184.93
6,600,600,5850.305832,298.0657038,298.0657038,0,0,12,29,0.022017329,3,3,5,5,215.5,107.75,10,250,27,400,60,25,95121.87977,259.9889521,8.931861392,19479371.89
7,650,600,5949.31486,314.8857078,270.3030007,0,0,10,29,0.016936407,3,3,4,4,240.5,143.6666667,10,350,27,400,60,25,86080.69525,248.2862597,9.559538398,19776966.56
8,600,600,6586.559102,390.6795359,390.6795359,0,0,8,29,0.014678219,2,2,4,4,431.0,143.6666667,10,150,35,400,60,25,77749.59496,225.9486349,8.812103288,21131870.42
9,650,600,6362.040494,435.8158244,379.4801701,0,0,6,32,0.012373042,3,3,2,2,236.0,422.0,13,300,30,500,60,25,75709.81506,228.0055743,9.487935081,21281812.63
10,600,600,6703.295313,337.1509173,337.1509173,0,0,12,25,0.016362462,4,4,4,4,149.6666667,149.6666667,13,400,35,400,50,25,79778.82034,229.8650428,8.826254228,22393417.86
11,650,650,6303.600067,683.6240095,683.6240095,0,0,8,32,0.015228359,3,3,3,3,236.0,236.0,13,100,27,400,60,25,105881.3459,294.2499347,10.44177469,22553054.91
12,600,600,6861.335362,340.774814,340.774814,0,0,8,29,0.014678219,3,3,3,3,212.5,212.5,13,450,35,500,60,25,74303.56103,219.0910274,8.788633163,23196412.39
13,700,600,6473.509356,470.1152493,360.9343544,0,0,12,25,0.014024967,5,5,3,3,138.75,227.5,10,200,27,500,50,25,86150.99111,254.5936627,10.24960191,24254258.03
14,600,600,7283.186556,445.8671826,445.8671826,0,0,6,32,0.013404129,2,2,3,3,422.0,211.0,13,200,40,400,60,25,76296.73402,223.149543,8.801958282,24701481.11
15,650,600,7050.659102,331.0443998,282.7134684,0,0,8,29,0.013549125,4,4,2,2,160.3333333,431.0,10,450,35,400,60,25,75025.48281,226.5516517,9.483524168,24841943.73
16,700,600,6759.840494,536.1244592,413.3932701,0,0,6,32,0.011489253,2,2,3,3,522.0,211.0,13,250,30,500,60,25,79929.75173,242.4272483,10.20665024,24956542.68
