name,h,b,PI_Pn_max,PI_Vn_z,PI_Vn_y,PI_Mn_z,PI_Mn_y,required_rebar,MainRebar_size,rho,side_rebars_top,side_rebars_bottom,side_rebars_left,side_rebars_right,spacing_h,spacing_b,Stirrup_size,Stirrup_verticle_size,fck,fy,Cover_size,aggregate,Cost,CO2,UnitWeight,PM_Volume
1,600,600,5493.279088,707.8390415,707.8390415,0,0,6,32,0.013404129,3,3,2,2,211,422,13,100,27,500,60,25,86299.43937,243.0549267,8.870084351,15881155.86
2,600,600,5493.279088,312.1862083,312.1862083,0,0,6,32,0.013404129,2,2,3,3,422,211,13,450,27,500,60,25,70739.67549,212.0909966,8.764110466,15881155.86
3,600,600,5557.725067,361.9254216,361.9254216,0,0,8,32,0.017872172,3,3,3,3,211,211,13,250,27,400,60,25,86794.20251,243.7165195,8.874330473,16654986.07
4,600,600,5802.637093,308.9326946,308.9326946,0,0,8,29,0.014678219,2,2,4,4,431,143.6666667,10,250,30,400,60,25,74592.92266,219.666857,8.790603937,17044161.34
5,600,600,5920.713288,287.7151707,287.7151707,0,0,12,25,0.016362462,4,4,4,4,151.6666667,151.6666667,10,350,30,400,50,25,78092.14973,226.5085683,8.814766712,18294143.97
6,600,600,5892.292118,402.1590039,402.1590039,0,0,8,32,0.017872172,3,3,3,3,214,214,10,150,27,500,60,25,86683.71898,243.4966572,8.873577995,19319184.93
7,600,600,5850.305832,298.0657038,298.0657038,0,0,12,29,0.022017329,3,3,5,5,215.5,107.75,10,250,27,400,60,25,95121.87977,259.9889521,8.931861392,19479371.89
8,600,600,5873.096333,361.9254216,361.9254216,0,0,10,32,0.022340214,3,3,4,4,211,140.6666667,13,250,27,400,60,25,99292.21207,268.2645726,8.960327877,19618677.47
9,650,600,5949.31486,345.3412046,298.0657038,0,0,10,29,0.016936407,5,5,2,2,120.25,431,10,250,27,400,60,25,87504.01624,251.1186684,9.569232302,19763828.57
10,650,600,5949.31486,314.8857078,270.3030007,0,0,10,29,0.016936407,3,3,4,4,240.5,143.6666667,10,350,27,400,60,25,86080.69525,248.2862597,9.559538398,19776966.56
11,600,600,6001.007582,334.937557,334.937557,0,0,14,25,0.019089539,4,4,5,5,149.6666667,112.25,13,400,27,500,50,25,87407,244.8479854,8.878742878,20512617.31
12,600,600,6586.559102,390.6795359,390.6795359,0,0,8,29,0.014678219,2,2,4,4,431,143.6666667,10,150,35,400,60,25,77749.59496,225.9486349,8.812103288,21131870.42
13,650,600,6362.040494,435.8158244,379.4801701,0,0,6,32,0.012373042,3,3,2,2,236,422,13,300,30,500,60,25,75709.81506,228.0055743,9.487935081,21281812.63
14,600,600,6703.295313,337.1509173,337.1509173,0,0,12,25,0.016362462,4,4,4,4,149.6666667,149.6666667,13,400,35,400,50,25,79778.82034,229.8650428,8.826254228,22393417.86
15,650,650,6303.600067,683.6240095,683.6240095,0,0,8,32,0.015228359,3,3,3,3,236,236,13,100,27,400,60,25,105881.3459,294.2499347,10.44177469,22553054.91
16,600,600,6861.335362,340.774814,340.774814,0,0,8,29,0.014678219,3,3,3,3,212.5,212.5,13,450,35,500,60,25,74303.56103,219.0910274,8.788633163,23196412.39
17,700,600,6473.509356,470.1152493,360.9343544,0,0,12,25,0.014024967,5,5,3,3,138.75,227.5,10,200,27,500,50,25,86150.99111,254.5936627,10.24960191,24254258.03
18,750,600,6525.224072,597.1592389,413.2579036,0,0,12,25,0.013089969,4,4,4,4,199.6666667,149.6666667,13,200,27,400,50,25,93751.48542,275.7426463,10.99134125,24513071.4
19,600,600,7283.186556,445.8671826,445.8671826,0,0,6,32,0.013404129,2,2,3,3,422,211,13,200,40,400,60,25,76296.73402,223.149543,8.801958282,24701481.11
20,650,600,7050.659102,331.0443998,282.7134684,0,0,8,29,0.013549125,4,4,2,2,160.3333333,431,10,450,35,400,60,25,75025.48281,226.5516517,9.483524168,24841943.73
21,700,600,6759.840494,536.1244592,413.3932701,0,0,6,32,0.011489253,2,2,3,3,522,211,13,250,30,500,60,25,79929.75173,242.4272483,10.20665024,24956542.68
22,650,650,6792.990494,324.8212893,324.8212893,0,0,6,32,0.011421269,3,3,2,2,239,478,10,450,30,500,60,25,74198.60562,231.5242675,10.2251146,25163178.4
23,700,600,6873.013353,700.0376951,550.6573502,0,0,8,29,0.012581331,4,4,2,2,175,425,13,150,30,500,60,25,89384.1193,261.1493383,10.27129162,25589879.53
24,750,600,6631.785067,448.6215396,297.1983933,0,0,8,32,0.014297737,4,4,2,2,192.6666667,428,10,250,27,400,60,25,91466.89175,271.087171,10.97607755,25679763.36
25,600,600,6653.03041,345.5670701,345.5670701,0,0,12,32,0.026808257,2,2,6,6,422,84.4,13,300,30,400,60,25,110456.5276,290.1585746,9.037241805,25687499.65
26,650,600,6737.592009,361.35301,311.6539702,0,0,10,32,0.020621736,3,3,4,4,236,140.6666667,13,400,30,400,60,25,98951.88758,273.6113269,9.647984173,25755833.4
27,650,600,6620.490221,371.9897643,322.358069,0,0,12,29,0.020323688,5,5,3,3,120.25,215.5,10,250,27,500,60,25,97768.49479,271.279716,9.639861029,26088170.19
28,750,600,6631.785067,401.6861454,260.8658743,0,0,8,32,0.014297737,2,2,4,4,578,142.6666667,10,400,27,400,60,25,89413.82168,267.0015616,10.96209458,26218927.27
29,700,650,6691.455067,416.8268914,364.4976617,0,0,8,32,0.014140619,2,2,4,4,522,157.3333333,13,350,27,400,60,25,93000.96855,275.1439839,11.10152148,26300781.27
30,650,650,6888.646366,318.2827981,318.2827981,0,0,10,29,0.015633606,5,5,2,2,120.25,481,10,400,30,400,60,25,88390.04182,259.4078594,10.32273883,26516814.45
31,600,600,7095.238653,350.1922606,350.1922606,0,0,12,29,0.022017329,5,5,3,3,107.75,215.5,10,200,35,400,60,25,96305.63188,262.3446188,8.939923649,26581608.7
32,650,600,6602.565808,379.8834463,329.8620396,0,0,16,25,0.020138414,3,3,7,7,252.5,75.83333333,10,250,27,500,50,25,97404.35279,270.5695825,9.637341574,26791324.74
33,650,650,6746.882582,379.8834463,379.8834463,0,0,14,25,0.016265642,4,4,5,5,168.3333333,126.25,10,250,27,500,50,25,92622.78815,267.7774038,10.35171256,27466174.28
34,700,600,7022.618571,406.3419198,305.4707792,0,0,12,25,0.014024967,4,4,4,4,185,151.6666667,10,350,30,500,50,25,83244.45691,248.8096596,10.22980619,27863933.1
35,750,600,7157.640494,602.6249527,413.3932701,0,0,6,32,0.010723303,3,3,2,2,286,422,13,250,30,500,60,25,82746.53112,254.0566393,10.91580883,28368318.39
36,600,600,6876.641027,424.3146188,424.3146188,0,0,22,25,0.029997847,7,7,6,6,74.83333333,89.8,13,200,30,400,50,25,123129.461,315.1471431,9.124179806,28983950.87
37,600,600,6876.641027,493.9327047,493.9327047,0,0,22,25,0.029997847,6,6,7,7,89.8,74.83333333,13,150,30,400,50,25,126602.6226,322.0587346,9.147834691,28983950.87
38,700,600,7112.75564,488.3478577,373.7123351,0,0,12,29,0.018871996,4,4,4,4,177,143.6666667,10,150,30,400,60,25,103900.6021,289.5066096,10.37159953,29398335.44
39,750,600,6910.198763,457.7426101,305.0041877,0,0,16,25,0.017453293,5,5,5,5,151.25,113.75,10,250,27,400,50,25,102697.5828,293.1511103,11.05334085,29706404.82
40,800,600,6989.805067,531.2281365,315.4160273,0,0,8,32,0.013404129,2,2,4,4,622,140.6666667,13,350,27,400,60,25,95298.66811,284.736406,11.69214905,29793035.34
41,600,600,7792.182622,457.6464526,457.6464526,0,0,12,25,0.016362462,5,5,3,3,112.25,224.5,13,250,40,500,50,25,82904.66576,236.0854752,8.847543625,29961126.47
42,700,650,7337.113353,700.0376951,623.6358896,0,0,8,29,0.011613536,3,3,3,3,262.5,237.5,13,150,30,500,60,25,92878.75162,275.1316566,11.1000626,29976628.96
43,750,600,7253.296366,411.4185239,265.7462676,0,0,10,29,0.014678219,3,3,4,4,290.5,143.6666667,10,450,30,400,60,25,90363.97805,268.8579925,10.96865916,30153537.21
44,750,650,7112.87986,498.6000631,386.8042295,0,0,10,29,0.013549125,3,3,4,4,287.5,158.3333333,13,300,27,400,60,25,98380.12763,292.3401301,11.88572297,30254505.71
45,750,650,7112.87986,413.7939077,314.8857078,0,0,10,29,0.013549125,5,5,2,2,145.25,481,10,350,27,400,60,25,94409.15601,284.4378966,11.85867762,30264201.9
46,600,600,7427.301761,308.1251977,308.1251977,0,0,12,32,0.026808257,4,4,4,4,140.6666667,140.6666667,13,500,35,400,60,25,107789.1395,284.8504723,9.019074854,30438988.82
47,700,700,7142.71486,395.8643006,395.8643006,0,0,10,29,0.013479997,5,5,2,2,132.75,531,10,250,27,400,60,25,96243.86131,288.5909601,11.92867121,30704771
48,650,600,7606.601558,354.1602118,303.7576236,0,0,8,32,0.016497389,3,3,3,3,239,214,10,400,35,500,60,25,84305.5529,244.7881067,9.547355032,30852767.37
49,650,600,7545.427084,428.6609124,371.9599603,0,0,16,25,0.020138414,7,7,3,3,83.16666667,224.5,13,300,35,400,50,25,99519.07661,274.7778829,9.65174446,31029035.99
50,600,600,7859.569785,666.5007103,666.5007103,0,0,16,25,0.021816616,4,4,6,6,149.6666667,89.8,13,100,40,400,50,25,110664.4068,290.93309,9.037678511,31708232.82
51,600,600,7859.569785,353.2193238,353.2193238,0,0,16,25,0.021816616,6,6,4,4,89.8,149.6666667,13,400,40,400,50,25,95035.17966,259.830928,8.931231529,31708232.82
52,700,650,7486.718571,448.585121,393.0719256,0,0,12,25,0.012946124,5,5,3,3,138.75,252.5,10,250,30,500,50,25,87841.22351,264.9852251,11.06608355,32347920.84
53,700,600,7769.098878,463.6416427,350.1922606,0,0,10,29,0.015726663,3,3,4,4,265.5,143.6666667,10,200,35,400,60,25,91457.69088,265.010481,10.28613401,32361664.42
54,750,600,7890.55088,498.2161342,328.4730577,0,0,6,32,0.010723303,3,3,2,2,286,422,13,400,35,400,60,25,79276.8427,247.1519593,10.8921776,32415135.17
55,800,650,7360.604072,520.7080588,356.9287029,0,0,12,25,0.011327858,5,5,3,3,162.25,249.5,13,400,27,400,50,25,93881.25593,290.0568897,12.60216481,32433070.2
56,650,600,7089.64226,385.5242155,334.937557,0,0,20,25,0.025173018,5,5,7,7,124.75,74.83333333,13,400,27,500,50,25,112952.0261,301.1151826,9.744302945,32527518.79
57,700,600,7084.367776,352.3571694,261.627156,0,0,16,29,0.025162661,4,4,6,6,177,86.2,10,400,27,400,60,25,118983.4775,318.991002,10.47576501,32653652.19
58,650,600,8119.715408,415.9316763,358.6620684,0,0,8,32,0.016497389,3,3,3,3,236,211,13,350,40,400,60,25,87205.56942,250.5591396,9.567106361,32993542.71
59,650,600,8175.657371,623.7005488,548.177685,0,0,8,29,0.013549125,3,3,3,3,240.5,215.5,10,100,40,500,60,25,84711.97289,245.827767,9.549496569,33073824.61
60,750,600,7183.376804,449.6349919,298.0657038,0,0,14,29,0.020549507,4,4,5,5,193.6666667,107.75,10,250,27,400,60,25,113326.2034,314.0222913,11.12648903,33082755.51
61,650,600,7364.068812,473.0472317,413.3932701,0,0,14,32,0.028870431,6,6,3,3,94.4,211,13,200,30,400,60,25,129209.7465,333.1784943,9.855816132,33402715.81
62,700,600,7820.511198,521.9646946,399.7739189,0,0,14,25,0.016362462,4,4,5,5,185,113.75,10,150,35,400,50,25,96039.80849,274.0752743,10.31748723,33444512.23
63,750,650,7413.877118,585.2072007,460.235566,0,0,8,32,0.013197911,3,3,3,3,286,236,13,250,27,500,60,25,98661.32007,292.9340834,11.88754482,33740723.19
64,750,600,7336.530221,585.5324361,403.3326197,0,0,12,29,0.017613863,4,4,4,4,193.6666667,143.6666667,10,150,27,500,60,25,106711.6272,301.1245494,11.08071893,33903548.08
65,800,600,7651.096366,466.8224747,265.7462676,0,0,10,29,0.01376083,5,5,2,2,157.75,431,10,450,30,400,60,25,92900.9864,279.9306391,11.67591229,33997299.49
66,650,650,7540.241428,484.4307212,484.4307212,0,0,16,25,0.018589306,5,5,5,5,124.75,124.75,13,250,30,500,50,25,103994.5839,290.2101424,10.4296981,34205138.57
67,750,600,7554.520658,732.0855774,513.9180379,0,0,8,32,0.014297737,2,2,4,4,578,142.6666667,10,100,30,500,60,25,99679.17203,287.4296088,11.03200946,34206979.74
68,700,700,7387.558763,449.7198837,449.7198837,0,0,16,25,0.016028534,7,7,3,3,91.5,274.5,13,300,27,400,50,25,108561.0251,312.8513604,12.01324093,34326325.76
69,650,600,7552.680987,528.8943425,464.2629201,0,0,12,32,0.024746084,3,3,5,5,236,105.5,13,200,30,500,60,25,116711.7369,308.6304412,9.769818728,34632481.31
70,700,700,7801.213353,598.4145359,598.4145359,0,0,8,29,0.010783998,3,3,3,3,262.5,262.5,13,200,30,500,60,25,92344.51651,281.0965287,11.90139391,34749112.29
71,750,700,7560.40486,402.5935689,352.3571694,0,0,10,29,0.012581331,4,4,3,3,193.6666667,265.5,10,400,27,400,60,25,97052.44499,297.2280417,12.73914814,34945314.03
72,700,600,7406.358177,399.4484423,300.8818416,0,0,12,32,0.022978506,3,3,5,5,261,105.5,13,500,27,500,60,25,113005.9189,307.2798633,10.43455344,35472717.92
73,650,600,7891.401761,377.4158515,324.9515931,0,0,12,32,0.024746084,4,4,4,4,159.3333333,142.6666667,10,250,35,400,60,25,111169.6808,297.6017495,9.73207309,35499923.85
74,600,600,8267.97683,422.8374097,422.8374097,0,0,16,25,0.021816616,5,5,5,5,112.25,112.25,13,300,40,500,50,25,96771.76045,263.2867238,8.943058971,35929372.05
75,650,650,8062.113653,338.4467775,338.4467775,0,0,12,29,0.018760327,5,5,3,3,120.25,240.5,10,400,35,400,60,25,98654.52038,279.5689069,10.39336755,36120989.69
76,700,600,7343.378748,352.3571694,261.627156,0,0,18,29,0.028307994,5,5,6,6,132.75,86.2,10,400,27,400,60,25,129247.956,339.1520495,10.54639374,36275335.44
77,750,650,7522.592582,489.6690454,379.8834463,0,0,14,25,0.01409689,2,2,7,7,605,84.16666667,10,250,27,500,50,25,98316.01819,292.1589316,11.88543183,36375139.14
78,650,650,8084.493134,359.017689,359.017689,0,0,10,32,0.019035449,2,2,5,5,472,118,13,500,35,400,60,25,100707.9093,283.6318101,10.40741604,36529111.27
79,600,600,7837.390626,296.1995361,296.1995361,0,0,24,25,0.032724923,8,8,6,6,65,91,10,400,35,400,50,25,123420.8437,315.5298598,9.126699262,37009719.81
80,700,600,8546.677338,445.8250851,333.0747261,0,0,12,25,0.014024967,6,6,2,2,111,455,10,300,40,400,50,25,83890.3534,250.0949936,10.23420524,37264660.78
81,700,650,8277.584507,640.6861312,567.5135695,0,0,8,32,0.014140619,3,3,3,3,261,236,13,150,35,400,60,25,101812.8756,292.679679,11.16153731,37335492.19
82,850,600,7640.405832,542.8702685,281.8707937,0,0,12,29,0.015541644,4,4,4,4,227,143.6666667,10,300,27,400,60,25,107360.2743,314.4633572,12.46508504,37560354.33
83,700,650,8277.584507,413.6077301,359.017689,0,0,8,32,0.014140619,2,2,4,4,522,157.3333333,13,500,35,400,60,25,91018.28946,271.1984525,11.08801792,37654853.33
84,750,600,8233.198878,525.9126585,350.1922606,0,0,10,29,0.014678219,2,2,5,5,581,107.75,10,200,35,400,60,25,94165.95966,276.4239359,10.99455356,37797278.34
85,650,650,7782.477857,370.3935536,370.3935536,0,0,18,25,0.020912969,5,5,6,6,126.25,101,10,300,30,500,50,25,106974.8924,295.9438214,10.45053119,37906466.81
86,650,600,8068.018204,405.0681767,350.1922606,0,0,16,29,0.02709825,5,5,5,5,120.25,107.75,10,200,35,400,60,25,119542.8578,314.0801688,9.78960065,37984346.81
87,700,600,8706.057371,582.3231173,446.9594967,0,0,8,29,0.012581331,3,3,3,3,265.5,215.5,10,150,40,500,60,25,83371.64504,249.1845145,10.23034208,38630360.47
88,900,600,7739.41486,630.4326374,298.0657038,0,0,10,29,0.012231849,2,2,5,5,731,107.75,10,250,27,400,60,25,100737.0914,307.5724879,13.10923049,38766047.67
