name,b,d,h,PiM,M,rho_t,rho_c,PiVn,stirrup,stirrup_space,fck,fy,Cost,CO2,UnitWeight,dimension,PI_size,n_b,N_r,N_n,N_r_C,N_n_C
1,200,229,300,33.3438813,39.22809565,0.005414102,0.002276598,161.1273804,10,100,21,500,11236.08399,34.33707854,1.45666657,22,50,2,1,1,1,1
2,200,239,300,39.19336903,46.10984592,0.007572991,0.00353646,217.7189931,13,100,21,400,16011.36625,43.80398766,1.489287312,16,40,2,2,1,1,1
3,200,229,300,39.95118011,47.00138837,0.008535782,0.00387575,134.1489535,10,100,21,400,12916.06728,37.63682949,1.468226347,22,50,2,1,1,1,1
4,200,226,300,40.25606245,47.36007347,0.008498694,0.004233733,205.8765374,13,100,21,400,15523.37029,42.82394533,1.485987919,22,50,1,1,1,1,1
5,200,217,300,42.51375561,50.01618308,0.010500675,0.004337434,130.4479678,10,100,27,400,13996.13293,39.77099457,1.475623571,16,40,2,3,2,1,1
6,200,226,300,44.14806842,51.93890403,0.007523281,0.003119251,254.3394921,13,100,27,500,14789.3908,41.38229436,1.480937488,22,50,1,1,1,1,1
7,200,229,300,47.38406684,55.74596098,0.009796694,0.004279064,137.6616803,10,100,27,400,13508.30874,38.80008473,1.472301494,22,50,2,2,1,1,1
8,250,242,300,48.70932972,57.30509379,0.007745187,0.003218441,148.695542,10,100,21,400,15962.82996,46.69284109,1.834015893,16,40,3,2,1,1,1
9,200,292,350,49.35443737,58.06404396,0.005068474,0.00238181,205.4550004,10,100,21,500,13789.69346,41.41012258,1.704095139,16,40,2,2,1,1,1
10,250,242,300,49.55608761,58.30127955,0.006421593,0.002630803,177.2054953,10,100,21,500,15064.3882,44.92816041,1.827833816,16,40,3,2,1,1,1
11,250,229,300,49.85753351,58.65592178,0.008463611,0.003892596,140.707765,10,100,21,400,15812.20546,46.38424439,1.83301405,22,50,2,2,1,1,1
12,250,239,300,50.30792824,59.18579793,0.007732411,0.003779027,224.5642155,13,100,21,400,19471.46931,53.67011201,1.857925763,16,40,3,2,1,1,1
13,200,279,350,52.1284282,61.32756259,0.005863836,0.002778578,196.3080312,10,100,21,500,13662.81983,41.14817632,1.703256723,22,50,2,1,1,1,1
14,200,289,350,52.17370691,61.38083166,0.005811949,0.002466523,320.8063471,13,100,21,500,17445.1094,48.67568577,1.729014962,16,40,2,2,1,1,1
15,200,292,350,54.04633245,63.58392052,0.007364095,0.003323681,171.0545608,10,100,21,400,15258.76391,44.29560762,1.714203649,16,40,2,2,1,1,1
16,300,229,300,54.88066525,64.56548853,0.007221148,0.00344608,147.2665764,10,100,21,400,17826.45605,53.39949356,2.191733583,22,50,3,2,1,1,1
17,250,276,350,57.98266027,68.21489444,0.005293655,0.002209393,314.2805549,13,100,21,500,19358.19652,55.98885485,2.144550844,22,50,2,1,1,1,1
18,350,239,300,58.13062028,68.38896503,0.004927419,0.002134629,285.8391862,13,100,21,500,23201.14722,67.13566231,2.573248997,16,40,5,2,1,1,1
19,200,289,350,60.11126765,70.71913841,0.0065154,0.002615606,325.239439,13,100,27,500,17827.9877,49.42771887,1.731649505,16,40,2,2,1,1,1
20,300,239,300,61.94133283,72.87215627,0.006450453,0.003189258,278.9939638,1.30E+01,100,21,500,21739.51646,61.19485137,2.21836181,16,40,4,2,1,1,1
21,250,239,300,61.9533809,72.88633047,0.00816547,0.003273636,276.7313925,1.30E+01,100,27,500,19437.88895,53.60415491,1.8576947,16,40,3,3,1,1,1
22,250,229,300,62.00369174,72.94551969,0.010852225,0.004443573,145.0986734,10,100,27,400,17119.83099,48.95262624,1.842011675,22,50,2,2,1,1,1
23,200,276,350,62.64023469,73.69439376,0.006925092,0.003289648,310.6092912,13,100,27,500,17274.78227,48.3195949,1.727901413,22,50,1,1,1,1,1
24,300,242,300,63.01564812,74.13605661,0.008154359,0.003940657,155.6266878,10,100,21,400,19448.35315,56.59790067,2.202859088,16,40,4,3,1,2,1
