gen,nevals,avg,std,min,valid_ratio,avg_cost,avg_co2,avg_dcr,hof_size
0,100,[0.64795905 0.29996618],[0.18193691 0.12305992],[0.34013548 0.15751821],0.0,0.0,0.0,0.0,0
1,85,[0.68420317 0.25209404],[0.15132241 0.04773433],[0.38227982 0.15751821],1.0,43962688.59231999,131219.82563879984,0.23674025977737045,1
2,85,[0.65180769 0.25402115],[0.1703397  0.04189332],[0.38227982 0.15751821],1.0,43962688.59231999,131219.82563879984,0.23674025977737045,1
3,92,[0.63354963 0.25344623],[0.16062368 0.03836642],[0.39703911 0.15751821],7.000000000000001,44343959.93096004,131727.9117309142,0.24324624064178776,7
4,84,[0.57014967 0.26127144],[0.09632683 0.03054371],[0.39703911 0.20396648],23.0,44495119.331326984,132874.83118906076,0.243655166259177,7
5,82,[0.55971377 0.25252298],[0.08241586 0.02121188],[0.39703911 0.20649531],38.0,44131145.2581116,131507.67148935774,0.2444592822162302,9
6,88,[0.56827863 0.25178254],[0.07066557 0.02056509],[0.41609798 0.20649531],45.0,44002900.8923138,131066.67850866655,0.2449359765771932,10
7,92,[0.57490285 0.25237725],[0.066965   0.01889824],[0.43015317 0.20363998],73.0,43445011.06818688,129133.30818084918,0.2479120244712279,11
8,82,[0.5593083  0.25395563],[0.06244906 0.01692122],[0.48663241 0.20363998],100.0,42010374.804392844,123623.80968893587,0.25395562827896706,9
9,86,[0.54821023 0.25517199],[0.06555204 0.01635344],[0.48428549 0.20363998],100.0,41494565.89861765,121408.9296930343,0.2551719913027604,11
10,92,[0.54160402 0.25411236],[0.06849106 0.01599713],[0.48428549 0.20363998],100.0,41130704.18360404,120250.73666230869,0.2541123587029147,12
11,86,[0.54331657 0.25267257],[0.07037758 0.01615898],[0.46965453 0.20363998],100.0,41200179.87850083,120621.0479573119,0.2526725735686433,12
12,91,[0.51719259 0.25539653],[0.06288062 0.01566808],[0.46376848 0.20363998],100.0,39692102.94214162,116236.14450163506,0.25539652678953023,18
13,85,[0.50682655 0.25665623],[0.04634761 0.01365256],[0.46376848 0.20363998],100.0,39133330.14728241,114384.44399840545,0.25665623367966794,20
