gen,nevals,avg,std,min,valid_ratio,avg_cost,avg_co2,avg_dcr,hof_size
0,100,[0.64795905 0.29996618],[0.18193691 0.12305992],[0.34013548 0.15751821],0.0,0.0,0.0,0.0,0
1,85,[0.68097135 0.25227223],[0.16474061 0.04736793],[0.38227982 0.15751821],0.0,0.0,0.0,0.0,0
2,83,[0.66326804 0.25432652],[0.1717233  0.04762787],[0.38227982 0.15751821],1.0,42503958.28275999,125290.16840439978,0.21368242493082096,1
3,84,[0.61750968 0.25297058],[0.17840821 0.04785103],[0.38746976 0.15751821],4.0,42661457.03653997,125619.14757329981,0.2233780046038637,3
4,80,[0.50596906 0.2822329 ],[0.09453718 0.04668247],[0.38746976 0.18558838],5.0,42364010.754751965,125447.03743879982,0.23160933829303737,4
5,84,[0.51468376 0.27880781],[0.08524606 0.04450328],[0.4257836  0.19281898],7.000000000000001,41694382.01446284,123284.24198822837,0.24238658340994795,5
6,84,[0.52414306 0.26323838],[0.08239404 0.03612818],[0.41448708 0.19281898],13.0,41276325.95319079,121686.22475643059,0.247600040601261,4
7,85,[0.5066006 0.2669927],[0.07017203 0.02698786],[0.43121299 0.19281898],22.0,40720826.353780024,120382.17959329071,0.25723420206483644,5
8,79,[0.50925312 0.26861132],[0.06588837 0.02745376],[0.42467452 0.19281898],30.0,40491285.008612014,119801.95019143983,0.2588921176948706,5
9,85,[0.50561271 0.27301606],[0.06011259 0.02473556],[0.42326878 0.19281898],38.0,40206392.506317906,119072.34212574718,0.2620136117645441,5
10,85,[0.51444678 0.27179157],[0.06757152 0.01922509],[0.4247471  0.19281898],61.0,39944913.66240986,118543.83467157098,0.26695129225134545,7
11,86,[0.51052226 0.26942298],[0.03814659 0.01926958],[0.43143154 0.19281898],100.0,39035752.49467442,115881.50304735506,0.2694229799654909,8
12,93,[0.49724441 0.26897086],[0.04139087 0.02128059],[0.43143154 0.19281898],100.0,38207181.78990683,113827.84508283828,0.26897085745893234,9
13,84,[0.49209979 0.26429943],[0.05530569 0.02039907],[0.43143154 0.19281898],100.0,37841580.670869224,113157.79944799989,0.2642994332820318,12
14,87,[0.48234242 0.26456668],[0.0543059  0.02020111],[0.41189387 0.19281898],100.0,37266376.94773202,111553.67790790387,0.2645666814890446,18
15,85,[0.47874488 0.26564426],[0.0564031 0.0210912],[0.41189387 0.19281898],100.0,37049625.90668442,110975.41513265588,0.26564425893804944,15
16,82,[0.46014093 0.27206336],[0.05386524 0.02207115],[0.41189387 0.19281898],100.0,35931442.09643562,107977.44108239189,0.27206335645491214,18
17,94,[0.4602501  0.27214629],[0.05323597 0.02184479],[0.41189387 0.19281898],100.0,35939761.50277322,107990.0755214639,0.27214628660589674,21
18,79,[0.44095157 0.28073137],[0.04480825 0.02042088],[0.41189387 0.19281898],100.0,34728817.733361244,105024.01310981595,0.28073136989394093,26
19,79,[0.43679612 0.28278828],[0.0434516  0.01976107],[0.41189387 0.19281898],100.0,34459541.93514364,104409.39805619192,0.28278828255333904,27
20,81,[0.43769999 0.28250057],[0.04307927 0.01964992],[0.41189387 0.19281898],100.0,34518807.848684445,104541.12709839993,0.2825005743804332,27
21,82,[0.43896577 0.2821159 ],[0.04260993 0.01950586],[0.41189387 0.19281898],100.0,34599771.17536604,104731.33219841593,0.28211590194841357,27
22,81,[0.44193635 0.28108705],[0.04142193 0.01920108],[0.41189387 0.19281898],100.0,34792060.74115804,105171.27891683593,0.2810870520036117,27
23,84,[0.44231331 0.28159446],[0.04002106 0.01857325],[0.41189387 0.19281898],100.0,34817481.07309884,105224.23440924395,0.2815944601949246,27
24,87,[0.44321718 0.28130675],[0.03949044 0.01843632],[0.42695838 0.19281898],100.0,34876746.98663964,105355.96345145191,0.28130675202201877,27
25,85,[0.44321718 0.28130675],[0.03949044 0.01843632],[0.42695838 0.19281898],100.0,34876746.98663964,105355.96345145191,0.28130675202201877,27
26,75,[0.44321718 0.28130675],[0.03949044 0.01843632],[0.42695838 0.19281898],100.0,34876746.98663964,105355.96345145191,0.28130675202201877,27
27,94,[0.43983694 0.28209096],[0.03983181 0.01859349],[0.42695838 0.19281898],100.0,34687630.812495634,104771.62397241192,0.2820909583734252,27
28,84,[0.43983694 0.28209096],[0.03983181 0.01859349],[0.42695838 0.19281898],100.0,34687630.812495634,104771.62397241192,0.2820909583734252,27
29,88,[0.43983694 0.28209096],[0.03983181 0.01859349],[0.42695838 0.19281898],100.0,34687630.812495634,104771.62397241192,0.2820909583734252,27
30,79,[0.43983694 0.28209096],[0.03983181 0.01859349],[0.42695838 0.19281898],100.0,34687630.812495634,104771.62397241192,0.2820909583734252,27
31,83,[0.43983694 0.28209096],[0.03983181 0.01859349],[0.42695838 0.19281898],100.0,34687630.812495634,104771.62397241192,0.2820909583734252,27
32,86,[0.43993513 0.2820475 ],[0.03981204 0.01858503],[0.42695838 0.19281898],100.0,34693254.009231634,104788.23259359592,0.2820475034835916,27
33,82,[0.42899202 0.28690983],[0.02023449 0.00945649],[0.42695838 0.19281898],100.0,34036068.59648844,103023.23776940793,0.2869098302105537,27
34,82,[0.42899202 0.28690983],[0.02023449 0.00945649],[0.42695838 0.19281898],100.0,34036068.59648844,103023.23776940793,0.2869098302105537,27
35,79,[0.42899202 0.28690983],[0.02023449 0.00945649],[0.42695838 0.19281898],100.0,34036068.59648844,103023.23776940793,0.2869098302105537,27
36,77,[0.42899202 0.28690983],[0.02023449 0.00945649],[0.42695838 0.19281898],100.0,34036068.59648844,103023.23776940793,0.2869098302105537,27
37,82,[0.4386353  0.28547738],[0.07302519 0.01412616],[0.41199492 0.18793727],100.0,34592801.90679564,104641.72137981193,0.2854773774484655,26
38,86,[0.43769202 0.28558438],[0.07333602 0.014172  ],[0.41199492 0.18793727],100.0,34542628.32327724,104471.32634792395,0.2855843784589361,27
39,79,[0.43926427 0.28531273],[0.07306238 0.01412872],[0.41199492 0.18793727],100.0,34629251.32500365,104746.89920589194,0.28531272795984625,26
40,71,[0.43926427 0.2852553 ],[0.07306238 0.0141197 ],[0.41199492 0.18793727],100.0,34629251.32500365,104746.89920589194,0.28525530092468687,26
41,83,[0.44234733 0.28441292],[0.07912728 0.015519  ],[0.41199492 0.18793727],100.0,34800246.91790764,105284.07913488794,0.2844129166960176,27
42,87,[0.43934875 0.28400907],[0.07209971 0.01622997],[0.41199492 0.18793727],100.0,34642342.43648443,104737.91634658397,0.28400906901262796,28
43,79,[0.42928293 0.2861396 ],[0.02041152 0.00939778],[0.42695838 0.19281898],100.0,34053109.18862844,103071.37198296793,0.2861396005668291,29
44,83,[0.42926539 0.28611543],[0.02041426 0.00939828],[0.42520422 0.19281898],100.0,34050847.88494203,103071.94862347994,0.2861154294024596,26
45,79,[0.43178478 0.28515612],[0.03029283 0.01279818],[0.42157407 0.19281898],100.0,34183421.47782003,103531.10178309993,0.28515611706935706,26
46,85,[0.43410127 0.28416556],[0.03640063 0.01490671],[0.41796377 0.19281898],100.0,34307539.420901634,103947.01626711992,0.28416556424349115,24
47,86,[0.43782695 0.28331797],[0.04445012 0.01637734],[0.41620962 0.19281898],100.0,34500311.034382835,104635.26321102794,0.2833179735680628,25
48,92,[0.43558196 0.28410619],[0.04516738 0.0169153 ],[0.41620962 0.19281898],100.0,34318046.80304043,104406.94702867592,0.2841061899362037,22
49,85,[0.43692906 0.28264436],[0.04525211 0.01667878],[0.41257947 0.19281898],100.0,34379024.74275883,104680.39555742392,0.28264436465020937,22
50,81,[0.43506568 0.2834173 ],[0.04547106 0.01744211],[0.41257947 0.19281898],100.0,34264005.37043244,104388.63661593596,0.28341729849818115,22
51,90,[0.43701131 0.28084477],[0.04482272 0.01585182],[0.40127003 0.19281898],100.0,34366199.660190836,104743.75246625276,0.28084476958061694,25
52,74,[0.43740301 0.28071875],[0.04617405 0.01648184],[0.40127003 0.19281898],100.0,34381171.82042803,104831.04277342957,0.2807187490164431,27
53,87,[0.43211671 0.28202814],[0.03349355 0.01271713],[0.41572125 0.19281898],100.0,34106335.36867365,103858.21625395592,0.28202813519639264,29
54,82,[0.4322307  0.28183877],[0.03324091 0.01258345],[0.42520422 0.19281898],100.0,34111312.19195043,103881.86878385994,0.2818387668619722,29
55,81,[0.4322307  0.28183877],[0.03324091 0.01258345],[0.42520422 0.19281898],100.0,34111312.19195043,103881.86878385994,0.2818387668619722,29
56,85,[0.43150022 0.28195504],[0.03298476 0.01257934],[0.42520422 0.19281898],100.0,34064033.38975364,103773.66749633994,0.2819550439642937,29
57,87,[0.43150022 0.28195504],[0.03298476 0.01257934],[0.42520422 0.19281898],100.0,34064033.38975364,103773.66749633994,0.2819550439642937,29
58,84,[0.43150022 0.28195504],[0.03298476 0.01257934],[0.42520422 0.19281898],100.0,34064033.38975364,103773.66749633994,0.2819550439642937,29
59,87,[0.43150022 0.28195504],[0.03298476 0.01257934],[0.42520422 0.19281898],100.0,34064033.38975364,103773.66749633994,0.2819550439642937,29
60,82,[0.43150022 0.28195504],[0.03298476 0.01257934],[0.42520422 0.19281898],100.0,34064033.38975364,103773.66749633994,0.2819550439642937,29
61,76,[0.43150022 0.28195504],[0.03298476 0.01257934],[0.42520422 0.19281898],100.0,34064033.38975364,103773.66749633994,0.2819550439642937,29
62,81,[0.43427554 0.28166145],[0.04039376 0.01284542],[0.41499468 0.19281898],100.0,34210120.294446036,104279.33555167195,0.28166145058723474,26
63,92,[0.43124258 0.2823604 ],[0.0329674  0.01307311],[0.41499468 0.19281898],100.0,34028731.43150523,103788.02727518795,0.28236039792037293,29
64,84,[0.43317962 0.28187008],[0.04345815 0.01399974],[0.41233711 0.19281898],100.0,34107908.65191684,104205.20970823195,0.2818700813702358,31
65,87,[0.42475326 0.28439024],[0.03004618 0.01206463],[0.41890456 0.19281898],100.0,33560431.667862855,102962.97178781992,0.28439023682697184,34
66,85,[0.42445611 0.28443498],[0.02991933 0.01205521],[0.41890456 0.19281898],100.0,33541505.999879654,102918.0922812919,0.2844349821664656,34
67,77,[0.42449253 0.28440639],[0.02991477 0.01205255],[0.41890456 0.19281898],100.0,33544050.549974054,102922.9590332599,0.28440639474397267,34
68,80,[0.42452895 0.28437781],[0.02991016 0.01204983],[0.41890456 0.19281898],100.0,33546595.100068454,102927.8257852279,0.2843778073214797,34
69,82,[0.42452895 0.28437781],[0.02991016 0.01204983],[0.41890456 0.19281898],100.0,33546595.100068454,102927.8257852279,0.2843778073214797,34
70,84,[0.42456537 0.28434922],[0.0299055  0.01204703],[0.41890456 0.19281898],100.0,33549139.650162853,102932.69253719591,0.28434921989898676,34
71,81,[0.42488229 0.28428793],[0.02997751 0.01204137],[0.41890456 0.19281898],100.0,33569748.89303725,102979.3607997959,0.2842879250262979,34
72,86,[0.42411745 0.28488826],[0.03007365 0.0120888 ],[0.41890456 0.19281898],100.0,33516313.341054853,102877.1590084679,0.28488826089865016,35
73,85,[0.42101874 0.28602904],[0.02103584 0.00936796],[0.41890456 0.19281898],100.0,33332847.366040457,102369.9709537119,0.28602903849794337,35
74,80,[0.42101874 0.28602904],[0.02103584 0.00936796],[0.41890456 0.19281898],100.0,33332847.366040457,102369.9709537119,0.28602903849794337,35
75,82,[0.42281839 0.285328  ],[0.02594648 0.01131553],[0.41890456 0.19281898],100.0,33443781.505192854,102652.1757985479,0.28532799728737585,35
76,81,[0.42101874 0.28602904],[0.02103584 0.00936796],[0.41890456 0.19281898],100.0,33332847.366040457,102369.9709537119,0.28602903849794337,35
77,87,[0.42181459 0.28593859],[0.02169262 0.00938216],[0.41890456 0.19281898],100.0,33385451.025818054,102484.77156198391,0.28593858594093313,36
78,86,[0.42101874 0.28602904],[0.02103584 0.00936796],[0.41890456 0.19281898],100.0,33332847.366040457,102369.9709537119,0.28602903849794337,36
79,78,[0.42101874 0.28602904],[0.02103584 0.00936796],[0.41890456 0.19281898],100.0,33332847.366040457,102369.9709537119,0.28602903849794337,36
