gen,nevals,avg,std,min,valid_ratio,avg_cost,avg_co2,avg_dcr,hof_size
0,100,[0.64795905 0.29996618],[0.18193691 0.12305992],[0.34013548 0.15751821],0.0,0.0,0.0,0.0,0
1,75,[0.66206949 0.2661689 ],[0.16540203 0.05874152],[0.32416203 0.15751821],0.0,0.0,0.0,0.0,0
2,95,[0.65144543 0.25514011],[0.16595937 0.0432057 ],[0.42803778 0.15751821],0.0,0.0,0.0,0.0,0
3,90,[0.59378675 0.26658224],[0.17076763 0.04129486],[0.37579623 0.15751821],3.0,40900051.398693375,121390.78587413316,0.2694593217558663,1
4,80,[0.50872994 0.28648735],[0.07631825 0.02580475],[0.42324724 0.20085567],5.0,45766011.678240046,135854.0854803678,0.25132978128042327,3
5,85,[0.51635734 0.28493766],[0.07876093 0.02307419],[0.42387032 0.20085567],7.000000000000001,44813632.400960065,132574.8014210627,0.25708805301595555,4
6,87,[0.52703573 0.28557848],[0.07517503 0.02430309],[0.40587177 0.20085567],8.0,44470266.95411004,131834.7899005298,0.2568232806350814,5
7,78,[0.51322249 0.29035639],[0.06908504 0.02265536],[0.43731163 0.20085567],9.0,44045113.20140005,130288.25224918204,0.25844132621898885,5
8,83,[0.51715381 0.28247766],[0.06771868 0.01674946],[0.43731163 0.20085567],12.0,42849741.31734006,126125.3048795532,0.2602613284852815,5
9,78,[0.49744915 0.280055  ],[0.07245374 0.01703698],[0.43731163 0.20085567],24.0,41578389.31897339,121675.72680227652,0.26319991099288026,6
10,81,[0.49998156 0.27981803],[0.07378153 0.01697055],[0.4242945  0.20085567],24.0,41578389.31897339,121675.72680227652,0.26319991099288026,6
11,89,[0.50016946 0.27956394],[0.07384457 0.01687822],[0.4242945  0.20085567],24.0,41578389.31897339,121675.72680227652,0.26319991099288026,6
12,80,[0.50459711 0.2781127 ],[0.07962782 0.01728949],[0.4242945  0.20085567],27.0,42002794.78622525,123024.17693538654,0.26219138670833125,6
13,84,[0.50084351 0.2768574 ],[0.07910846 0.01709781],[0.4242945  0.20085567],31.0,41669725.70135232,121904.80417884632,0.2627511262216522,6
14,86,[0.50272918 0.2766568 ],[0.07952318 0.01662747],[0.43063921 0.20085567],32.0,41926273.49875007,123034.19728781986,0.2639959521097103,6
15,82,[0.50983144 0.27625436],[0.08506125 0.01647208],[0.43063921 0.20085567],33.0,42169816.60162432,124015.86538822288,0.26509272821576796,6
16,72,[0.51424913 0.27466943],[0.08283491 0.0159391 ],[0.43059611 0.20085567],35.0,42316914.372330345,124626.61226601587,0.2646674580026764,6
17,87,[0.50526073 0.27375789],[0.08055738 0.01504719],[0.4242514  0.20085567],36.0,42213536.79347562,124244.68895678209,0.2647102657000506,6
18,76,[0.50090146 0.27388002],[0.0811763  0.01336965],[0.43059611 0.20085567],36.0,42213536.79347562,124244.68895678209,0.2647102657000506,6
19,91,[0.51304908 0.2717163 ],[0.08891023 0.01476584],[0.4341772  0.20085567],40.0,42816017.725002065,126061.88265395389,0.2625748894139141,8
20,83,[0.50908426 0.27041143],[0.0914138  0.01493042],[0.43053196 0.20085567],46.0,42089505.22022267,123755.81108046422,0.26359139005637844,10
21,80,[0.51241462 0.27022019],[0.0895372  0.01503057],[0.43053196 0.20085567],55.00000000000001,41273708.98289242,121236.46992771911,0.26495135624743343,11
22,84,[0.50652139 0.2703055 ],[0.09160934 0.01410522],[0.43053196 0.20085567],72.0,40164716.854682274,117850.35822847432,0.2670112603310528,12
23,85,[0.51076153 0.26892557],[0.08878139 0.01332157],[0.43053196 0.20085567],86.0,39539594.15856098,116007.63108761563,0.26793972072557076,14
24,86,[0.4893819 0.2680028],[0.0787311  0.01195813],[0.44770187 0.20085567],100.0,38075409.12598724,111599.83876102626,0.26800280363387885,14
25,83,[0.47711018 0.26841938],[0.06655613 0.01122974],[0.44770187 0.20085567],100.0,37387848.45274285,109481.22012639024,0.2684193843725724,11
26,85,[0.47549746 0.2696813 ],[0.06719997 0.01173088],[0.44770187 0.20085567],100.0,37269586.09254284,109281.48258071825,0.2696812957018996,14
27,79,[0.45858498 0.27268142],[0.05094803 0.01019971],[0.44770187 0.20085567],100.0,36249588.71282202,106565.89062797025,0.2726814164839262,15
