gen,nevals,avg,std,min,valid_ratio,avg_cost,avg_co2,avg_dcr,hof_size
0,800,[0.63185354 0.29748901],[0.18284603 0.1064521 ],[0.1961468  0.14968675],0.5,62987946.33733997,186857.61882070004,0.2105704367582241,2
1,674,[0.63517139 0.26883839],[0.17301034 0.05835206],[0.30534834 0.14968675],0.5,62987946.33733997,186857.61882070004,0.2105704367582241,2
2,679,[0.59642385 0.27600538],[0.18435922 0.06145397],[0.28953057 0.14968675],0.625,58100726.519231975,172677.95841703998,0.2217674137664874,3
3,685,[0.51893145 0.30057945],[0.19104232 0.06683745],[0.25267956 0.15362668],0.75,55007596.15441331,163241.48169366663,0.2310022818278398,3
4,670,[0.41925438 0.33087826],[0.10686364 0.05946265],[0.29822524 0.17250589],0.8750000000000001,52277785.95133142,155165.5331231428,0.2362439065429188,4
5,669,[0.40496331 0.33562839],[0.10535223 0.05283533],[0.27191836 0.17250589],0.8750000000000001,52277785.95133142,155165.5331231428,0.2362439065429188,4
6,673,[0.38337474 0.34887703],[0.10650405 0.05010787],[0.27191836 0.17250589],1.0,50016204.47663,148614.51505835,0.24108437507722164,5
7,674,[0.36884909 0.35585806],[0.10304221 0.04439142],[0.28499164 0.17250589],1.0,50016204.47663,148614.51505835,0.24108437507722164,5
8,662,[0.36770648 0.35501144],[0.1069119  0.04164254],[0.28177429 0.17250589],1.0,50016204.47663,148614.51505835,0.24108437507722164,5
9,685,[0.36496171 0.35538959],[0.10762415 0.04128644],[0.27779104 0.17250589],1.0,50016204.47663,148614.51505835,0.24108437507722164,5
10,656,[0.36041716 0.35777666],[0.11207711 0.0413167 ],[0.27779104 0.17250589],1.0,50016204.47663,148614.51505835,0.24108437507722164,5
11,683,[0.35900949 0.35903619],[0.11735914 0.04222747],[0.28177429 0.17250589],1.0,50016204.47663,148614.51505835,0.24108437507722164,5
12,703,[0.35666738 0.35948076],[0.12044604 0.04209831],[0.28521824 0.17250589],1.0,50016204.47663,148614.51505835,0.24108437507722164,5
13,683,[0.36051794 0.35811015],[0.12134369 0.04220852],[0.28521824 0.17250589],1.0,50016204.47663,148614.51505835,0.24108437507722164,5
14,664,[0.36189178 0.35679294],[0.1219474  0.04196317],[0.28781645 0.17250589],1.0,50016204.47663,148614.51505835,0.24108437507722164,5
15,664,[0.36621521 0.35534018],[0.12277612 0.04203439],[0.28781645 0.17250589],1.0,50016204.47663,148614.51505835,0.24108437507722164,5
16,685,[0.36868167 0.35416808],[0.12218212 0.04203442],[0.28781645 0.17250589],1.0,50016204.47663,148614.51505835,0.24108437507722164,5
17,675,[0.3735529  0.35231286],[0.12200166 0.04199054],[0.28591829 0.17250589],1.0,50016204.47663,148614.51505835,0.24108437507722164,5
18,663,[0.3682744  0.35462141],[0.12274677 0.04094938],[0.28665199 0.17250589],1.0,50016204.47663,148614.51505835,0.24108437507722164,5
19,648,[0.36961924 0.35369079],[0.12372259 0.03998882],[0.290038   0.17250589],1.0,50016204.47663,148614.51505835,0.24108437507722164,5
20,641,[0.36999492 0.35264575],[0.12401539 0.03967657],[0.28665199 0.17250589],1.0,50016204.47663,148614.51505835,0.24108437507722164,5
21,652,[0.36733081 0.35309897],[0.1270352 0.038722 ],[0.29213247 0.17250589],1.0,50016204.47663,148614.51505835,0.24108437507722164,5
22,658,[0.35820641 0.35447471],[0.12619865 0.03765215],[0.29269415 0.17250589],1.0,50016204.47663,148614.51505835,0.24108437507722164,5
23,668,[0.36201229 0.35327278],[0.12753309 0.0381324 ],[0.29269415 0.17250589],1.125,49687575.410173334,148709.31829016889,0.24662576569697803,5
24,690,[0.36630065 0.35211876],[0.12918244 0.03841815],[0.29269415 0.17250589],1.25,48813201.526072,146150.304244384,0.25207490842450797,5
25,678,[0.37064331 0.35076608],[0.13064602 0.0389426 ],[0.29269415 0.17250589],1.375,48995812.27676726,146545.95502896002,0.25410873359417996,5
26,682,[0.36974275 0.3508131 ],[0.13034927 0.03859227],[0.29793396 0.17250589],1.375,48995812.27676726,146545.95502896002,0.25410873359417996,5
27,678,[0.37525663 0.34918695],[0.13494577 0.03991215],[0.29817463 0.17250589],1.5,50738945.235616654,152010.68872914003,0.24749141486051265,5
28,683,[0.37848991 0.34811558],[0.13544803 0.0399915 ],[0.29817463 0.17250589],1.5,50738945.235616654,152010.68872914003,0.24749141486051265,5
29,696,[0.38163475 0.34697207],[0.13585983 0.04026644],[0.29817463 0.17250589],1.5,50738945.235616654,152010.68872914003,0.24749141486051265,5
30,698,[0.38576012 0.34573214],[0.13614122 0.04042708],[0.29817463 0.17250589],1.625,50146380.15224615,150603.8927090462,0.25038024769347966,5
31,665,[0.39020483 0.34430914],[0.13566403 0.04041788],[0.29898632 0.17250589],1.625,50146380.15224615,150603.8927090462,0.25038024769347966,5
32,681,[0.38846568 0.34411751],[0.13821459 0.04040562],[0.30018696 0.17250589],1.7500000000000002,49929727.23802571,149919.75218408002,0.2513537775807582,6
33,662,[0.3897289 0.3437797],[0.1411795  0.04017554],[0.30018696 0.17250589],2.125,50101585.48152,150409.54796713416,0.25513795327191513,6
34,673,[0.39485635 0.34206262],[0.14218519 0.04060382],[0.30018696 0.17250589],2.625,49737899.227318086,149759.7141409219,0.25903491540181217,6
35,660,[0.39796689 0.34092366],[0.14166775 0.0406171 ],[0.30018696 0.17250589],2.75,49585395.23876545,149483.17162276726,0.2605052477177256,6
36,670,[0.40220903 0.33951262],[0.14284714 0.04073383],[0.30123657 0.17250589],3.0,49850757.27852166,150516.94713256333,0.2604915812361504,7
37,670,[0.40580912 0.33787508],[0.143125  0.0403862],[0.30301853 0.17250589],3.125,49685453.02234558,150001.9436437216,0.2599658229496735,7
38,703,[0.40586984 0.33800305],[0.14476101 0.04047222],[0.30301853 0.17250589],3.25,49712231.586873844,150398.2959034523,0.2596365190235407,7
39,669,[0.40758598 0.33668104],[0.14493804 0.04001949],[0.30363031 0.17250589],3.375,49637709.50967555,150190.65110231406,0.2595283532424963,7
40,680,[0.40937831 0.33570182],[0.14451573 0.03971492],[0.30608047 0.17250589],3.5000000000000004,49204364.099561416,149067.5060264,0.2599804138607988,7
41,662,[0.41099785 0.33435864],[0.14444665 0.03909746],[0.30669226 0.17250589],3.6249999999999996,49121444.57052413,149070.29435576274,0.26029027780530334,7
42,641,[0.4085087  0.33544668],[0.14705988 0.03974724],[0.30669226 0.17250589],4.125,49095332.55835757,148977.43836232243,0.25857012967555026,6
43,674,[0.41114734 0.33420697],[0.14632599 0.03933543],[0.30669226 0.17250589],4.125,49095332.55835757,148977.43836232243,0.25857012967555026,6
44,673,[0.41550564 0.33233597],[0.14609561 0.03869703],[0.30996995 0.17250589],4.625,48901726.68513188,148667.24241195462,0.25967052419894443,7
45,681,[0.41438719 0.33233343],[0.14711957 0.03894897],[0.30996995 0.17250589],4.875,49116177.54233845,149497.41451504204,0.2586241264451312,7
46,658,[0.41981562 0.33037365],[0.14690867 0.03870275],[0.30996995 0.17250589],5.625,48480926.757200874,148182.12383518755,0.2611217142555319,8
47,652,[0.42031225 0.32918081],[0.14669478 0.03781882],[0.31331145 0.17250589],6.0,48255496.372734986,147368.99761575166,0.2603531656971438,9
48,657,[0.41800746 0.32852897],[0.14499635 0.03776395],[0.31331145 0.17250589],6.25,48465497.50041359,147950.7242652976,0.25854928003304567,10
49,651,[0.40993986 0.32937579],[0.14335384 0.03736844],[0.31694959 0.17250589],6.75,47697933.31342148,145603.20897491113,0.26179464199167385,11
50,685,[0.41211806 0.32999513],[0.14523243 0.03847039],[0.31563317 0.17021092],8.875,44307339.01688055,135539.9910760102,0.27340894947402744,13
51,664,[0.40146612 0.3306712 ],[0.1417129  0.03688122],[0.31563317 0.17021092],9.75,43603339.439795375,133432.20794882977,0.27572255183944017,13
52,674,[0.39839903 0.32825172],[0.14297818 0.03483048],[0.31563317 0.17021092],11.0,43716774.056762725,133749.48710590185,0.276095392571384,13
53,675,[0.39766498 0.32765028],[0.14134782 0.03413624],[0.32111364 0.17021092],11.625,43749128.560883,133930.8325618951,0.2758658620605437,13
54,675,[0.40100772 0.32633979],[0.14199089 0.03422278],[0.32111364 0.17021092],12.75,43543412.11529372,133451.49334455846,0.27646075168956774,13
55,676,[0.39514917 0.32413101],[0.13921882 0.03148724],[0.32445515 0.17021092],13.875000000000002,43195587.314403236,132543.31036494992,0.2773460742257443,13
56,675,[0.39815369 0.32380905],[0.13909722 0.03166746],[0.32445515 0.17021092],14.875,42708109.28622857,131197.64172962154,0.27962062537815546,14
57,678,[0.39520372 0.32421246],[0.13710599 0.03071672],[0.32755808 0.17021092],19.375,40043612.30762992,123335.69468632879,0.28981765991048614,17
58,666,[0.39994822 0.32498053],[0.13910249 0.03201378],[0.32755808 0.17021092],26.75,37373547.27775493,115394.91977803403,0.3020693524826405,19
59,673,[0.39397099 0.32926465],[0.13391614 0.03156789],[0.32755808 0.17250589],41.0,34591020.98834961,107215.81074297342,0.3144510948343399,25
60,675,[0.39731929 0.3275368 ],[0.13392402 0.03159982],[0.32755808 0.17250589],43.375,34452193.98119179,106835.42814194651,0.31484569220694925,25
61,670,[0.39357491 0.32823557],[0.13176003 0.03023125],[0.33303855 0.17250589],46.5,34177818.22806566,106036.29748198582,0.31597090741030504,26
62,673,[0.39410292 0.32776378],[0.13166797 0.02984409],[0.33587012 0.17250589],50.5,33934679.45964343,105337.00870966614,0.31720238055856576,27
63,699,[0.38920464 0.32958587],[0.12350207 0.02907169],[0.33635385 0.17250589],56.00000000000001,33672851.243616395,104543.77317343268,0.31855951746974925,28
64,673,[0.3928501  0.32883268],[0.12736046 0.02969121],[0.33635385 0.17250589],61.0,33569515.10264374,104264.99256219395,0.3193754192999578,32
65,674,[0.3963059 0.3280813],[0.12985541 0.03017413],[0.33635385 0.17250589],71.5,33064254.86505367,102804.4523131158,0.3218577488413361,37
66,696,[0.36453814 0.33370078],[0.09738343 0.02693299],[0.33635385 0.17250589],100.0,29879006.209483005,93434.90861144621,0.33370077579606433,51
67,660,[0.34123416 0.34104375],[0.03696783 0.01351343],[0.33635385 0.17250589],100.0,28517290.6662401,89569.67324152653,0.3410437529687169,53
68,659,[0.34123874 0.34104292],[0.03696746 0.0135133 ],[0.33635385 0.17250589],100.0,28517632.2743087,89570.22440492852,0.3410429186344072,53
69,675,[0.33913666 0.34164669],[0.0310729  0.01151385],[0.33635385 0.17250589],100.0,28380591.4588387,89261.63800146023,0.3416466934885499,55
70,667,[0.3386482  0.34190356],[0.02953224 0.01034451],[0.33635385 0.17250589],100.0,28352798.322483197,89178.51120459873,0.3419035604855465,56
71,680,[0.3386482  0.34190356],[0.02953224 0.01034451],[0.33635385 0.17250589],100.0,28352798.322483197,89178.51120459873,0.3419035604855465,56
72,679,[0.3386482  0.34190356],[0.02953224 0.01034451],[0.33635385 0.17250589],100.0,28352798.322483197,89178.51120459873,0.3419035604855465,56
73,674,[0.3386482  0.34190356],[0.02953224 0.01034451],[0.33635385 0.17250589],100.0,28352798.322483197,89178.51120459873,0.3419035604855465,56
74,668,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
75,664,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
76,660,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
77,710,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
78,659,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
79,645,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
80,668,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
81,674,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
82,675,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
83,667,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
84,676,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
85,672,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
86,711,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
87,660,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
88,694,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
89,659,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
90,674,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
91,679,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
92,690,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
93,663,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
94,649,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
95,692,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
96,694,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
97,676,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
98,676,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
99,654,[0.33849698 0.34202332],[0.02938629 0.010082  ],[0.33635385 0.17250589],100.0,28343491.89560175,89154.75435939431,0.3420233239871294,56
100,668,[0.33839141 0.34211829],[0.0293417  0.00997475],[0.33635385 0.17250589],100.0,28336249.077230796,89140.27225147182,0.34211828597903804,56
