gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,max_cost,min_cost,std_cost,avg_co2,max_co2,min_co2,std_co2,avg_dcr,max_dcr,min_dcr,std_dcr,best_margins,min_AM_str,min_AM_drift,min_AM_wind,min_AM_defl,min_AM_hier,min_NM_str,min_NM_drift,min_NM_wind,min_NM_defl,min_NM_hier,hof_avg_cost,hof_max_cost,hof_min_cost,hof_std_cost,hof_avg_co2,hof_max_co2,hof_min_co2,hof_std_co2,hof_avg_dcr,hof_max_dcr,hof_min_dcr,hof_std_dcr,hof_size,sep1,sep2,sep3,sep4,sep5
0,100,[0.65572889 0.5075528 ],[1.08640903 1.04401263],[0.31582589 0.2935432 ],[0.13712681 0.15159111],100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S:0.08 D:0.00 W:0.22 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,|,|,|,|,|
1,75,[0.62485441 0.46176145],[1.08640903 0.65146641],[0.35500905 0.2935432 ],[0.13591571 0.07720453],100.0,1.0,52405576.156560056,52405576.156560056,52405576.156560056,0.0,157055.59434080016,157055.59434080016,157055.59434080016,0.0,0.37807387973717804,0.37807387973717804,0.37807387973717804,0.0,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,52405576.156560056,52405576.156560056,52405576.156560056,0.0,157055.59434080016,157055.59434080016,157055.59434080016,0.0,0.37807387973717804,0.37807387973717804,0.37807387973717804,0.0,1,|,|,|,|,|
2,95,[0.59820727 0.45659061],[1.08640903 0.57653566],[0.36937304 0.2935432 ],[0.13890615 0.06639016],100.0,1.0,52405576.156560056,52405576.156560056,52405576.156560056,0.0,157055.59434080016,157055.59434080016,157055.59434080016,0.0,0.37807387973717804,0.37807387973717804,0.37807387973717804,0.0,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,52405576.156560056,52405576.156560056,52405576.156560056,0.0,157055.59434080016,157055.59434080016,157055.59434080016,0.0,0.37807387973717804,0.37807387973717804,0.37807387973717804,0.0,1,|,|,|,|,|
3,90,[0.5689221  0.46154575],[1.08640903 0.58344679],[0.37531136 0.2935432 ],[0.13686195 0.06622721],100.0,1.0,52405576.156560056,52405576.156560056,52405576.156560056,0.0,157055.59434080016,157055.59434080016,157055.59434080016,0.0,0.37807387973717804,0.37807387973717804,0.37807387973717804,0.0,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,52405576.156560056,52405576.156560056,52405576.156560056,0.0,157055.59434080016,157055.59434080016,157055.59434080016,0.0,0.37807387973717804,0.37807387973717804,0.37807387973717804,0.0,1,|,|,|,|,|
4,80,[0.48065504 0.49610836],[1.08640903 0.59382495],[0.35085765 0.33372484],[0.1230631  0.05578353],100.0,1.0,52405576.156560056,52405576.156560056,52405576.156560056,0.0,157055.59434080016,157055.59434080016,157055.59434080016,0.0,0.37807387973717804,0.37807387973717804,0.37807387973717804,0.0,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,52405576.156560056,52405576.156560056,52405576.156560056,0.0,157055.59434080016,157055.59434080016,157055.59434080016,0.0,0.37807387973717804,0.37807387973717804,0.37807387973717804,0.0,1,|,|,|,|,|
5,85,[0.43396265 0.52222063],[0.74907971 0.60826394],[0.35108201 0.37807388],[0.07247117 0.04808946],100.0,1.0,52405576.156560056,52405576.156560056,52405576.156560056,0.0,157055.59434080016,157055.59434080016,157055.59434080016,0.0,0.37807387973717804,0.37807387973717804,0.37807387973717804,0.0,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,52405576.156560056,52405576.156560056,52405576.156560056,0.0,157055.59434080016,157055.59434080016,157055.59434080016,0.0,0.37807387973717804,0.37807387973717804,0.37807387973717804,0.0,1,|,|,|,|,|
6,87,[0.4223326  0.53806802],[0.74907971 0.60826394],[0.35108201 0.37807388],[0.07630787 0.05432073],100.0,1.0,52405576.156560056,52405576.156560056,52405576.156560056,0.0,157055.59434080016,157055.59434080016,157055.59434080016,0.0,0.37807387973717804,0.37807387973717804,0.37807387973717804,0.0,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,52405576.156560056,52405576.156560056,52405576.156560056,0.0,157055.59434080016,157055.59434080016,157055.59434080016,0.0,0.37807387973717804,0.37807387973717804,0.37807387973717804,0.0,1,|,|,|,|,|
7,78,[0.37479402 0.57934492],[0.74907971 0.62577502],[0.32861529 0.37807388],[0.05222131 0.03571987],100.0,1.0,52405576.156560056,52405576.156560056,52405576.156560056,0.0,157055.59434080016,157055.59434080016,157055.59434080016,0.0,0.37807387973717804,0.37807387973717804,0.37807387973717804,0.0,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,52405576.156560056,52405576.156560056,52405576.156560056,0.0,157055.59434080016,157055.59434080016,157055.59434080016,0.0,0.37807387973717804,0.37807387973717804,0.37807387973717804,0.0,1,|,|,|,|,|
8,83,[0.37364742 0.58130533],[0.74907971 0.62577502],[0.32861529 0.37807388],[0.05345867 0.03879097],100.0,1.0,52405576.156560056,52405576.156560056,52405576.156560056,0.0,157055.59434080016,157055.59434080016,157055.59434080016,0.0,0.37807387973717804,0.37807387973717804,0.37807387973717804,0.0,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,52405576.156560056,52405576.156560056,52405576.156560056,0.0,157055.59434080016,157055.59434080016,157055.59434080016,0.0,0.37807387973717804,0.37807387973717804,0.37807387973717804,0.0,1,|,|,|,|,|
9,78,[0.37559456 0.58354169],[0.74907971 0.62577502],[0.32861529 0.37807388],[0.05528528 0.03912633],100.0,2.0,44154179.21432002,52405576.156560056,35902782.272079974,8251396.942240041,132895.52698820012,157055.59434080016,108735.45963560007,24160.067352600046,0.467743780551667,0.557413681366156,0.37807387973717804,0.08966990081448897,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,44154179.21432002,52405576.156560056,35902782.272079974,8251396.942240041,132895.52698820012,157055.59434080016,108735.45963560007,24160.067352600046,0.467743780551667,0.557413681366156,0.37807387973717804,0.08966990081448897,2,|,|,|,|,|
10,81,[0.3787557  0.58003324],[0.74907971 0.61170638],[0.34299851 0.37807388],[0.05486999 0.03660367],100.0,2.0,44154179.21432002,52405576.156560056,35902782.272079974,8251396.942240041,132895.52698820012,157055.59434080016,108735.45963560007,24160.067352600046,0.467743780551667,0.557413681366156,0.37807387973717804,0.08966990081448897,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,44154179.21432002,52405576.156560056,35902782.272079974,8251396.942240041,132895.52698820012,157055.59434080016,108735.45963560007,24160.067352600046,0.467743780551667,0.557413681366156,0.37807387973717804,0.08966990081448897,2,|,|,|,|,|
11,89,[0.37274113 0.58200242],[0.74907971 0.61170638],[0.34299851 0.37807388],[0.06016458 0.03875231],100.0,3.0,42944893.60482668,52405576.156560056,35902782.272079974,6950907.209585011,127439.79842160009,157055.59434080016,108735.45963560007,21181.812592558694,0.4803490690698218,0.557413681366156,0.37807387973717804,0.07535414612772617,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42944893.60482668,52405576.156560056,35902782.272079974,6950907.209585012,127439.79842160009,157055.59434080016,108735.45963560007,21181.812592558694,0.48034906906982183,0.557413681366156,0.37807387973717804,0.07535414612772617,3,|,|,|,|,|
12,80,[0.38040424 0.57906957],[0.79849975 0.61170638],[0.34299851 0.37807388],[0.07451187 0.04204027],100.0,5.0,44599259.17928,54586378.014079966,35902782.272079974,7458410.692195032,132997.95633264008,167245.9219172,108735.45963560007,24167.902990308576,0.48311915960598767,0.557413681366156,0.37807387973717804,0.0631632146416135,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42102479.470580004,52405576.156560056,35902782.272079974,6193974.329776592,124435.9649365001,157055.59434080016,108735.45963560007,19067.53616355119,0.4915270448621735,0.557413681366156,0.37807387973717804,0.0680700149289115,4,|,|,|,|,|
