Solution_ID,col_sec_grp_0,col_sec_grp_1,col_sec_grp_2,col_sec_grp_3,col_sec_grp_4,col_sec_grp_5,col_rot_grp_0,col_rot_grp_1,col_rot_grp_2,col_rot_grp_3,col_rot_grp_4,col_rot_grp_5,beam_sec_grp_0,beam_sec_grp_1,beam_sec_grp_2,beam_sec_grp_3
Sol #1,284,560,526,43,361,284,0,1,0,1,0,0,231,176,222,171
Sol #2,284,557,526,43,361,284,0,1,0,1,1,0,231,176,222,171
Sol #3,284,592,526,43,361,284,0,1,1,0,1,0,231,176,222,171
Sol #4,284,592,526,43,361,324,0,1,0,1,0,0,231,176,222,171
Sol #5,284,592,526,43,361,434,0,1,0,1,0,0,231,176,222,171
Sol #6,284,592,526,43,361,474,0,1,0,1,0,0,231,176,222,171
Sol #7,284,592,526,43,361,283,0,0,0,1,1,0,231,239,222,171
Sol #8,284,592,526,43,361,283,0,0,0,1,0,1,231,239,231,171
Sol #9,284,592,526,393,361,283,1,0,0,1,1,0,231,185,222,171
Sol #10,284,592,619,43,361,283,0,0,0,1,0,0,231,239,222,171
Sol #11,458,592,526,43,361,283,0,0,0,1,0,1,231,239,222,171
Sol #12,284,527,842,43,361,283,1,0,1,1,0,0,231,239,222,171
Sol #13,284,560,526,43,361,284,0,1,0,1,1,0,231,176,222,388
Sol #14,284,592,526,43,361,283,0,1,0,1,0,0,231,514,222,171
Sol #15,284,592,526,43,361,283,0,0,0,1,1,1,231,425,222,263
Sol #16,284,592,526,43,361,283,0,0,0,1,1,0,231,607,222,171
Sol #17,627,592,526,43,361,283,0,0,0,1,1,0,231,680,222,171
Sol #18,284,592,526,43,361,284,0,1,1,1,0,0,231,404,222,503
Sol #19,284,461,842,4,361,179,0,1,1,1,0,1,231,327,234,744
Sol #20,284,592,782,43,361,284,0,1,0,1,0,0,231,805,222,795
Sol #21,335,978,620,186,514,111,1,1,1,1,1,0,337,559,508,360
Sol #22,980,956,700,87,365,267,0,0,0,1,1,1,513,648,651,654
Sol #23,947,988,962,278,366,303,1,1,1,0,1,0,862,461,383,897
