gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,max_cost,min_cost,std_cost,avg_co2,max_co2,min_co2,std_co2,avg_dcr,max_dcr,min_dcr,std_dcr,best_margins,min_AM_str,min_AM_drift,min_AM_wind,min_AM_defl,min_AM_hier,min_NM_str,min_NM_drift,min_NM_wind,min_NM_defl,min_NM_hier,hof_avg_cost,hof_max_cost,hof_min_cost,hof_std_cost,hof_avg_co2,hof_max_co2,hof_min_co2,hof_std_co2,hof_avg_dcr,hof_max_dcr,hof_min_dcr,hof_std_dcr,hof_size
0,600,[0.64138524 0.3450874 ],[1.16615217 0.74571385],[0.32414501 0.18424632],[0.14136073 0.09181576],100.0,0.6666666666666667,49685350.14009005,52752857.251320064,47781024.11576011,2006458.220949692,145479.66460249992,152651.68517640012,135514.66247239994,6287.803989876135,0.2747277812657297,0.3219183322948756,0.24132915291130824,0.02969712006296887,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,49514754.71276007,52752857.251320064,47781024.11576011,2291598.042979006,144572.80636639995,152651.68517640012,135514.66247239994,7030.344082044646,0.25899759758934776,0.2745456382240016,0.24132915291130824,0.013643210988436658,3
1,510,[0.62416552 0.31698729],[1.16615217 0.65758508],[0.33351857 0.18424632],[0.14535922 0.05894211],100.0,0.8333333333333334,49098888.55495204,52752857.251320064,46753042.214400016,2143932.9367551617,144439.08998095995,152651.68517640012,135514.66247239994,5996.696205749797,0.28281222316534504,0.3219183322948756,0.24132915291130824,0.031096108363274845,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,49514754.71276007,52752857.251320064,47781024.11576011,2291598.042979006,144572.80636639995,152651.68517640012,135514.66247239994,7030.344082044646,0.25899759758934776,0.2745456382240016,0.24132915291130824,0.013643210988436658,3
2,492,[0.5896966 0.3190748],[1.16615217 0.60322891],[0.32500669 0.18424632],[0.15920631 0.06003592],100.0,0.8333333333333334,49098888.55495204,52752857.251320064,46753042.214400016,2143932.9367551617,144439.08998095995,152651.68517640012,135514.66247239994,5996.696205749797,0.28281222316534504,0.3219183322948756,0.24132915291130824,0.031096108363274845,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,49514754.71276007,52752857.251320064,47781024.11576011,2291598.042979006,144572.80636639995,152651.68517640012,135514.66247239994,7030.344082044646,0.25899759758934776,0.2745456382240016,0.24132915291130824,0.013643210988436658,3
3,504,[0.48175784 0.34905114],[1.07259986 0.48762923],[0.30661124 0.18424632],[0.1499117  0.05509365],100.0,1.0,47665110.52708003,52752857.251320064,40496220.38771996,3756191.004700881,140383.30954619998,152651.68517640012,120104.40737240003,10593.098971891457,0.28204338098089426,0.3219183322948756,0.24132915291130824,0.02843874506678166,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,47260121.13150004,52752857.251320064,40496220.38771996,4380489.0081103,138455.70661789997,152651.68517640012,120104.40737240003,12219.903086082579,0.263797990706671,0.2781991700586406,0.24132915291130824,0.014447637412351569,4
4,492,[0.41986299 0.36888456],[1.06999619 0.48762923],[0.30363677 0.22201606],[0.09823213 0.04461407],100.0,1.0,47665110.52708003,52752857.251320064,40496220.38771996,3756191.004700881,140383.30954619998,152651.68517640012,120104.40737240003,10593.098971891457,0.28204338098089426,0.3219183322948756,0.24132915291130824,0.02843874506678166,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,47260121.13150004,52752857.251320064,40496220.38771996,4380489.0081103,138455.70661789997,152651.68517640012,120104.40737240003,12219.903086082579,0.263797990706671,0.2781991700586406,0.24132915291130824,0.014447637412351569,4
5,474,[0.4075764  0.37643061],[1.06999619 0.46528525],[0.31230491 0.2224687 ],[0.09369402 0.04692594],100.0,1.1666666666666667,46523732.0751486,52752857.251320064,39675461.36356001,4462047.985033285,136649.3827791771,152651.68517640012,114245.82217703991,13410.311902371992,0.28650907260807834,0.3219183322948756,0.24132915291130824,0.028511035952573715,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,45743189.17791204,52752857.251320064,39675461.36356001,4955328.179586638,133613.72972972793,152651.68517640012,114245.82217703991,14602.73213782161,0.2736990370395733,0.3133032223711826,0.24132915291130824,0.023645512373051635,5
6,501,[0.40075703 0.37899973],[0.8467509  0.46233322],[0.31884857 0.23705509],[0.0823076  0.04387823],100.0,1.1666666666666667,46523732.0751486,52752857.251320064,39675461.36356001,4462047.985033285,136649.3827791771,152651.68517640012,114245.82217703991,13410.311902371992,0.28650907260807834,0.3219183322948756,0.24132915291130824,0.028511035952573715,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,45743189.17791204,52752857.251320064,39675461.36356001,4955328.179586638,133613.72972972793,152651.68517640012,114245.82217703991,14602.73213782161,0.2736990370395733,0.3133032223711826,0.24132915291130824,0.023645512373051635,5
7,491,[0.3981505  0.38701815],[0.8467509  0.45214598],[0.3052449  0.23705509],[0.08402174 0.04298248],100.0,1.1666666666666667,46523732.0751486,52752857.251320064,39675461.36356001,4462047.985033285,136649.3827791771,152651.68517640012,114245.82217703991,13410.311902371992,0.28650907260807834,0.3219183322948756,0.24132915291130824,0.028511035952573715,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,45743189.17791204,52752857.251320064,39675461.36356001,4955328.179586638,133613.72972972793,152651.68517640012,114245.82217703991,14602.73213782161,0.2736990370395733,0.3133032223711826,0.24132915291130824,0.023645512373051635,5
8,484,[0.39300707 0.39042614],[0.8467509  0.44831555],[0.31291707 0.23705509],[0.08309976 0.03950865],100.0,1.1666666666666667,46523732.0751486,52752857.251320064,39675461.36356001,4462047.985033285,136649.3827791771,152651.68517640012,114245.82217703991,13410.311902371992,0.28650907260807834,0.3219183322948756,0.24132915291130824,0.028511035952573715,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,45743189.17791204,52752857.251320064,39675461.36356001,4955328.179586638,133613.72972972793,152651.68517640012,114245.82217703991,14602.73213782161,0.2736990370395733,0.3133032223711826,0.24132915291130824,0.023645512373051635,5
9,507,[0.38897487 0.39151131],[0.8467509  0.43605404],[0.30304886 0.23705509],[0.0828902  0.03769777],100.0,1.1666666666666667,46523732.0751486,52752857.251320064,39675461.36356001,4462047.985033285,136649.3827791771,152651.68517640012,114245.82217703991,13410.311902371992,0.28650907260807834,0.3219183322948756,0.24132915291130824,0.028511035952573715,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,45743189.17791204,52752857.251320064,39675461.36356001,4955328.179586638,133613.72972972793,152651.68517640012,114245.82217703991,14602.73213782161,0.2736990370395733,0.3133032223711826,0.24132915291130824,0.023645512373051635,5
10,495,[0.38102243 0.39245445],[0.8467509  0.43617749],[0.31505894 0.23705509],[0.08383972 0.03624505],100.0,1.1666666666666667,46523732.0751486,52752857.251320064,39675461.36356001,4462047.985033285,136649.3827791771,152651.68517640012,114245.82217703991,13410.311902371992,0.28650907260807834,0.3219183322948756,0.24132915291130824,0.028511035952573715,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,45743189.17791204,52752857.251320064,39675461.36356001,4955328.179586638,133613.72972972793,152651.68517640012,114245.82217703991,14602.73213782161,0.2736990370395733,0.3133032223711826,0.24132915291130824,0.023645512373051635,5
11,525,[0.37703772 0.39229794],[0.8467509  0.43617749],[0.31448234 0.23705509],[0.08374487 0.03562083],100.0,1.1666666666666667,46523732.0751486,52752857.251320064,39675461.36356001,4462047.985033285,136649.3827791771,152651.68517640012,114245.82217703991,13410.311902371992,0.28650907260807834,0.3219183322948756,0.24132915291130824,0.028511035952573715,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,45743189.17791204,52752857.251320064,39675461.36356001,4955328.179586638,133613.72972972793,152651.68517640012,114245.82217703991,14602.73213782161,0.2736990370395733,0.3133032223711826,0.24132915291130824,0.023645512373051635,5
12,517,[0.37864057 0.39051747],[0.8467509  0.43077373],[0.31412133 0.23705509],[0.08292168 0.0344943 ],100.0,1.1666666666666667,46523732.0751486,52752857.251320064,39675461.36356001,4462047.985033285,136649.3827791771,152651.68517640012,114245.82217703991,13410.311902371992,0.28650907260807834,0.3219183322948756,0.24132915291130824,0.028511035952573715,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,45743189.17791204,52752857.251320064,39675461.36356001,4955328.179586638,133613.72972972793,152651.68517640012,114245.82217703991,14602.73213782161,0.2736990370395733,0.3133032223711826,0.24132915291130824,0.023645512373051635,5
13,485,[0.37731883 0.38866828],[0.8467509  0.43270357],[0.31530669 0.23705509],[0.0817714  0.03339431],100.0,1.5,45690732.91598669,52752857.251320064,35291338.36731998,5510031.339378627,134332.07114074664,152651.68517640012,104152.06056023984,16337.165328181145,0.2917842538720604,0.3460329801456897,0.24132915291130824,0.031846748992943555,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,44001214.04281336,52752857.251320064,35291338.36731998,5969515.725418166,128703.45153481327,152651.68517640012,104152.06056023984,17270.03130661358,0.2857546942239261,0.3460329801456897,0.24132915291130824,0.034534324425899696,6
14,515,[0.37593058 0.38836731],[0.8467509  0.42639717],[0.31943006 0.23705509],[0.08143523 0.03086862],100.0,1.6666666666666667,44512079.545648016,52752857.251320064,33904199.21260002,6310896.507750498,131150.97026169597,152651.68517640012,102521.06235023997,18201.29937912577,0.29769923777960206,0.3509340929474768,0.24132915291130824,0.03503822471124764,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42558783.35278288,52752857.251320064,33904199.21260002,6559575.034022992,124963.11022273137,152651.68517640012,102521.06235023997,18427.891591222233,0.2950660368987191,0.3509340929474768,0.24132915291130824,0.03927406211016451,7
15,485,[0.37060316 0.38886133],[0.8467509  0.42049882],[0.31955744 0.23705509],[0.07743919 0.02847004],100.0,1.6666666666666667,44512079.545648016,52752857.251320064,33904199.21260002,6310896.507750498,131150.97026169597,152651.68517640012,102521.06235023997,18201.29937912577,0.29769923777960206,0.3509340929474768,0.24132915291130824,0.03503822471124764,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42558783.35278288,52752857.251320064,33904199.21260002,6559575.034022992,124963.11022273137,152651.68517640012,102521.06235023997,18427.891591222233,0.2950660368987191,0.3509340929474768,0.24132915291130824,0.03927406211016451,7
