ID,Cost,CO2,Mean_DCR,Fit1(NormCost+CO2),Fit2(Mean_DCR)
Sol #1,"27,131,978","83,108",0.3871,0.3099,0.3871
Sol #2,"27,488,362","83,951",0.3869,0.3155,0.3869
Sol #3,"27,547,591","84,109",0.3865,0.3164,0.3865
Sol #4,"27,572,626","84,343",0.3864,0.3174,0.3864
Sol #5,"27,860,820","84,681",0.3821,0.3208,0.3821
Sol #6,"27,986,462","85,563",0.3782,0.3246,0.3782
Sol #7,"28,353,637","86,465",0.3659,0.3304,0.3659
Sol #8,"29,234,608","87,983",0.3602,0.3426,0.3602
Sol #9,"29,244,233","89,457",0.3524,0.3471,0.3524
Sol #10,"29,814,316","91,155",0.3512,0.3571,0.3512
Sol #11,"30,436,409","93,620",0.3430,0.3699,0.3430
Sol #12,"30,650,518","94,423",0.3374,0.3741,0.3374
Sol #13,"32,039,002","96,659",0.3275,0.3927,0.3275
Sol #14,"34,491,480","102,369",0.3253,0.4309,0.3253
Sol #15,"34,686,109","105,665",0.3188,0.4425,0.3188
Sol #16,"34,761,744","106,342",0.3182,0.4452,0.3182
Sol #17,"36,088,039","109,886",0.3135,0.4672,0.3135
Sol #18,"37,320,610","113,957",0.3083,0.4901,0.3083
Sol #19,"40,566,013","123,679",0.2866,0.5472,0.2866
Sol #20,"41,751,349","123,517",0.2864,0.5568,0.2864
Sol #21,"43,791,507","132,112",0.2693,0.6002,0.2693
Sol #22,"47,276,755","142,323",0.2624,0.6608,0.2624
Sol #23,"51,010,063","150,272",0.2471,0.7167,0.2471
Sol #24,"60,038,854","178,841",0.2272,0.8801,0.2272
Sol #25,"62,720,652","181,419",0.2269,0.9107,0.2269
