gen,nevals,avg,std,min,valid_ratio,avg_cost,avg_co2,avg_dcr,hof_size
0,100,[0.64795905 0.29996618],[0.18193691 0.12305992],[0.34013548 0.15751821],0.0,0.0,0.0,0.0,0
1,88,[0.68799734 0.24971033],[0.15194566 0.04608487],[0.44476685 0.15751821],1.0,46403034.11664004,134265.74847919997,0.25173007036817513,1
2,89,[0.68146872 0.2471015 ],[0.15548157 0.04298007],[0.44476685 0.15751821],1.0,46403034.11664004,134265.74847919997,0.25173007036817513,1
3,79,[0.65931492 0.24770477],[0.15296574 0.04066659],[0.38510217 0.15751821],3.0,48853027.89124005,144145.28176319998,0.24340057173259697,2
4,85,[0.57745906 0.26204155],[0.13094624 0.04515683],[0.38510217 0.15751821],8.0,46754877.26217501,138019.72038434993,0.23677552454632766,4
5,89,[0.54810307 0.26207431],[0.09590317 0.0400727 ],[0.38510217 0.17154696],10.0,45231737.10995601,133983.26429539992,0.2454346550488661,5
6,81,[0.53612723 0.26462789],[0.08156471 0.03501904],[0.38510217 0.19123927],15.0,43513526.78101335,129167.80405021322,0.2534913272140955,9
7,84,[0.53838202 0.26716569],[0.07870438 0.03188344],[0.42096885 0.19123927],20.0,42989990.54464002,127800.84496799992,0.25476732102145483,12
8,87,[0.52699904 0.27051963],[0.07323427 0.02656372],[0.4149476  0.19123927],31.0,41900325.21085677,124616.11181196889,0.2590330269742703,13
9,74,[0.51895981 0.27389409],[0.06305133 0.02238994],[0.42941063 0.19123927],48.0,40831334.05197668,121475.81402540486,0.26421757469893575,16
10,86,[0.52067061 0.27318811],[0.0643719 0.0217725],[0.44049142 0.19123927],77.0,39914270.00388366,119091.45058076145,0.27022160090547664,19
11,88,[0.50931894 0.27180785],[0.05849163 0.01977834],[0.43696267 0.19123927],100.0,38916159.66825363,115820.87553797184,0.27180785477121366,21
12,86,[0.50434786 0.27120823],[0.0604575  0.02014353],[0.43696267 0.19123927],100.0,38682400.17291042,114836.44338921586,0.2712082264902184,23
13,77,[0.48889007 0.27677458],[0.07038202 0.02268368],[0.43696267 0.19123927],100.0,37750791.14130362,112352.57996231591,0.2767745807461457,22
14,87,[0.48602126 0.27788548],[0.07252547 0.02294302],[0.43216615 0.19123927],100.0,37524647.68989122,112041.74201073186,0.27788547545530096,26
15,83,[0.48333594 0.27934191],[0.07393157 0.02420963],[0.43216615 0.19123927],100.0,37358668.50960923,111621.92135005989,0.2793419123253152,25
16,81,[0.48139718 0.27846672],[0.07111608 0.02306119],[0.43216615 0.19123927],100.0,37224147.10724642,111360.22995609183,0.27846672350317225,24
17,83,[0.48243432 0.27647072],[0.07151757 0.02203215],[0.43216615 0.19123927],100.0,37282752.34074483,111537.88657570379,0.27647071679501584,26
18,89,[0.47662646 0.27767516],[0.07430603 0.02277577],[0.43216615 0.19123927],100.0,36934186.67695323,110600.5174941038,0.2776751598595496,23
19,87,[0.45409264 0.28399157],[0.05046373 0.02030848],[0.43216615 0.19123927],100.0,35602492.222476825,106905.26351263579,0.28399156612072024,23
20,78,[0.45409264 0.28399157],[0.05046373 0.02030848],[0.43216615 0.19123927],100.0,35602492.222476825,106905.26351263579,0.28399156612072024,23
21,89,[0.45352133 0.28430428],[0.05038528 0.02021141],[0.43216615 0.19123927],100.0,35560362.43661723,106835.17057829577,0.2843042833224994,23
22,90,[0.45352133 0.28430428],[0.05038528 0.02021141],[0.43216615 0.19123927],100.0,35560362.43661723,106835.17057829577,0.2843042833224994,23
23,85,[0.4539498  0.28403306],[0.05038404 0.02026816],[0.43216615 0.19123927],100.0,35592612.870291226,106885.89671147178,0.28403306472220957,23
24,84,[0.4539498  0.28403306],[0.05038404 0.02026816],[0.43216615 0.19123927],100.0,35592612.870291226,106885.89671147178,0.28403306472220957,23
25,90,[0.4539498  0.28403306],[0.05038404 0.02026816],[0.43216615 0.19123927],100.0,35592612.870291226,106885.89671147178,0.28403306472220957,23
26,82,[0.4539498  0.28403306],[0.05038404 0.02026816],[0.43216615 0.19123927],100.0,35592612.870291226,106885.89671147178,0.28403306472220957,23
27,83,[0.4539498  0.28403306],[0.05038404 0.02026816],[0.43216615 0.19123927],100.0,35592612.870291226,106885.89671147178,0.28403306472220957,23
28,86,[0.45573721 0.28345572],[0.05269692 0.02080557],[0.43216615 0.19123927],100.0,35695243.69874443,107187.46838684779,0.28345572149784176,23
29,71,[0.45573721 0.28345572],[0.05269692 0.02080557],[0.43216615 0.19123927],100.0,35695243.69874443,107187.46838684779,0.28345572149784176,23
30,82,[0.45573721 0.28345572],[0.05269692 0.02080557],[0.43216615 0.19123927],100.0,35695243.69874443,107187.46838684779,0.28345572149784176,23
31,76,[0.45638537 0.28303755],[0.05262295 0.02082825],[0.43216615 0.19123927],100.0,35740845.98842962,107273.18098571978,0.28303754892200467,24
