gen,nevals,avg,std,min,valid_ratio,avg_cost,avg_co2,avg_dcr,hof_size
0,100,[0.64795905 0.29996618],[0.18193691 0.12305992],[0.34013548 0.15751821],0.0,0.0,0.0,0.0,0
1,87,[0.75930409 0.23662704],[0.16680303 0.0400006 ],[0.38662266 0.15751821],0.0,0.0,0.0,0.0,0
2,87,[0.82542551 0.2192597 ],[0.17380211 0.03021885],[0.38662266 0.14539272],0.0,0.0,0.0,0.0,0
3,89,[0.78239769 0.22328753],[0.1751916  0.03044402],[0.38662266 0.15751821],3.0,55453601.189826675,164701.6070894401,0.20885831557779885,2
4,80,[0.73692526 0.22818326],[0.19010449 0.03349192],[0.38662266 0.15751821],9.0,53401272.77584002,159933.02784408003,0.21038729991423297,2
5,81,[0.7146658  0.23126051],[0.18533538 0.03586251],[0.42539011 0.16682892],16.0,53869389.978032514,161189.90076331506,0.21014511352267362,4
6,88,[0.68636285 0.22441253],[0.14839488 0.02469624],[0.49038901 0.16682892],28.999999999999996,53626333.97881931,160683.33462066491,0.21183110852604806,6
7,79,[0.7297355  0.21438753],[0.1394572  0.01748178],[0.53836811 0.16682892],60.0,54216653.37455201,162470.86799091604,0.21229701101815585,8
8,84,[0.77781979 0.20826222],[0.15223887 0.01762984],[0.55529422 0.16682892],100.0,54125696.3545656,161707.54102927688,0.20826221608379408,12
9,89,[0.77590322 0.19952442],[0.15763318 0.01731039],[0.55529422 0.16682892],100.0,54303797.20859637,160571.66206652726,0.19952441572918758,11
10,84,[0.7975594  0.19166092],[0.16843496 0.01887292],[0.55529422 0.16682892],100.0,55645766.10687358,163947.76652912964,0.1916609233132148,11
11,74,[0.75316387 0.19147364],[0.15380385 0.02322934],[0.55529422 0.16682892],100.0,53174427.619291976,156237.9424587247,0.1914736398802566,14
12,91,[0.63312922 0.20960227],[0.09007059 0.01508224],[0.55529422 0.16637704],100.0,46000603.522311956,136779.5934318784,0.20960226615737793,14
13,80,[0.60363689 0.2124571 ],[0.08109644 0.0151651 ],[0.55529422 0.1640736 ],100.0,44354209.095094375,131671.0379762895,0.2124571020127647,16
14,85,[0.56338782 0.22069099],[0.00542498 0.00107051],[0.55529422 0.21997345],100.0,42064258.21418397,124820.6776345599,0.22069099289143082,17
15,80,[0.56702407 0.21997345],[2.22044605e-16 3.88578059e-16],[0.56702407 0.21997345],100.0,42316936.022919975,125310.43323759988,0.21997345373136595,17
16,81,[0.57148168 0.21962072],[0.03196226 0.00333866],[0.56404315 0.18642315],100.0,42576376.18570317,126052.68421762789,0.21962072140879368,15
17,93,[0.5723126  0.21929354],[0.03723382 0.00469661],[0.56404315 0.18642315],100.0,42628885.07569517,126179.34813335989,0.2192935364249918,15
18,88,[0.57760113 0.21861362],[0.05212272 0.00657204],[0.56404315 0.18642315],100.0,42940834.128470376,127048.26302911989,0.21861361911861762,15
19,85,[0.58817819 0.21725378],[0.07217899 0.00909313],[0.56404315 0.18642315],100.0,43564732.234020755,128786.09282063991,0.2172537845058693,15
20,85,[0.60670457 0.21484217],[0.09509045 0.01195498],[0.54715117 0.18642315],100.0,44655133.08995955,131836.76215290395,0.21484217023527039,17
