gen,nevals,avg,std,min,valid_ratio,avg_cost,avg_co2,avg_dcr,hof_size
0,100,[0.64795905 0.29996618],[0.18193691 0.12305992],[0.34013548 0.15751821],0.0,0.0,0.0,0.0,0
1,96,[0.76168597 0.24221034],[0.14411593 0.04379085],[0.44476685 0.15751821],0.0,0.0,0.0,0.0,0
2,77,[0.79343323 0.22764069],[0.1378152  0.03865191],[0.44476685 0.15751821],1.0,64717998.21216002,185263.2158948003,0.16994813920122678,1
3,87,[0.82708324 0.22146437],[0.14417494 0.03850426],[0.44476685 0.15751821],4.0,66299747.58731,197973.4483585801,0.20284627548303294,3
4,84,[0.80997268 0.22576446],[0.14909956 0.04296268],[0.42815864 0.14552627],12.0,61292895.21533999,183191.44404410676,0.2086498682006596,5
5,80,[0.79221996 0.23028988],[0.14536974 0.04328146],[0.42815864 0.14552627],22.0,57889727.61359453,173396.01049669457,0.2174100730803806,4
6,76,[0.73847074 0.24156289],[0.13717695 0.0444551 ],[0.42815864 0.14668342],35.0,57236945.30041714,171461.121649616,0.21460178714026193,9
7,76,[0.77085011 0.23087119],[0.11650464 0.03490764],[0.5162752  0.16994814],69.0,55153925.23089681,164825.9665469137,0.22186167563082754,13
8,82,[0.78897585 0.21374321],[0.12721039 0.02590814],[0.5162752  0.16263136],100.0,54691845.06016959,163799.6445861976,0.21374320652452208,8
9,82,[0.79069899 0.2003777 ],[0.13341992 0.0300656 ],[0.5162752  0.16090478],100.0,55316975.506101586,162606.634503764,0.2003777042987239,12
10,78,[0.75028227 0.20462881],[0.12871291 0.03590852],[0.5162752  0.15576589],100.0,52920470.995728776,156001.30370445282,0.204628812389566,14
11,88,[0.71665192 0.21306633],[0.13367128 0.04235915],[0.5162752  0.15426131],100.0,50937060.374982774,150474.91059850567,0.21306633064049246,18
12,86,[0.70570112 0.2180672 ],[0.15259948 0.04952293],[0.5162752  0.15426131],100.0,50370795.096893184,148450.99825238166,0.21806720046240083,16
13,90,[0.70528983 0.21519749],[0.15519121 0.04976192],[0.5162752 0.1404205],100.0,50213267.82205758,148759.20847359762,0.21519748617872816,22
14,80,[0.72407223 0.20415364],[0.14893285 0.04304496],[0.49085306 0.1404205 ],100.0,51321159.12763637,151845.20797265123,0.20415364417511309,18
15,87,[0.69948629 0.20442534],[0.14132076 0.04599484],[0.49085306 0.1404205 ],100.0,49741349.53469078,148171.09476842885,0.20442534181399785,21
16,85,[0.66211655 0.21232565],[0.1223647  0.04535226],[0.49085306 0.1404205 ],100.0,47453596.44138117,142266.52898690724,0.21232565049043228,23
17,87,[0.64973732 0.21751367],[0.13429426 0.045275  ],[0.49085306 0.1404205 ],100.0,46755152.866885185,140143.05169888245,0.21751366992114407,24
18,80,[0.71550936 0.1891105 ],[0.14978671 0.0318085 ],[0.49085306 0.13924839],100.0,50572810.11237237,151124.2540262169,0.18911049717359632,23
19,92,[0.69421835 0.19239326],[0.15168225 0.03256728],[0.48798034 0.13924839],100.0,49298416.498427175,147678.33367990487,0.19239325954885664,32
20,77,[0.6884602  0.19561504],[0.16717744 0.03616668],[0.48025344 0.13924839],100.0,48944759.38869759,146771.7560233705,0.19561504297950022,36
21,69,[0.65929118 0.19658885],[0.12830626 0.03506551],[0.48025344 0.13562525],100.0,47152674.220354386,142180.91450586246,0.1965888482909358,39
22,92,[0.63778721 0.19886834],[0.11002667 0.03294933],[0.48025344 0.15026494],100.0,45909831.05526237,138575.62162968246,0.198868339851337,44
23,84,[0.6583867  0.19083953],[0.11811771 0.03276679],[0.48025344 0.14985749],100.0,47085086.22988197,142072.45240960972,0.19083952533119214,35
24,88,[0.65057634 0.18646704],[0.07989246 0.02420293],[0.48025344 0.14961974],100.0,46528806.88019675,141058.70376899536,0.1864670371465915,39
25,93,[0.64376919 0.18554589],[0.05017265 0.01798385],[0.48025344 0.16318369],100.0,46095166.01729996,140030.83390150015,0.18554588755810253,40
26,82,[0.65090993 0.18736605],[0.07108991 0.02446079],[0.48025344 0.16035842],100.0,46527044.549760744,141173.96954335214,0.1873660456884121,44
27,82,[0.65860441 0.18857613],[0.08866508 0.03039627],[0.48025344 0.15409755],100.0,46946853.827619575,142534.21670866007,0.18857612703918097,47
28,87,[0.63226768 0.19708978],[0.09744662 0.03553221],[0.48025344 0.16035842],100.0,45472641.29935919,137983.48047248807,0.19708978442641972,50
29,76,[0.56918419 0.21891379],[0.08628195 0.03361278],[0.48025344 0.15590085],100.0,42021927.11615797,126856.49335819924,0.2189137878975232,50
30,92,[0.53968188 0.23099931],[0.08503327 0.03426205],[0.48025344 0.16035842],100.0,40294175.587757565,121974.05063735774,0.2309993057413947,52
31,84,[0.48805491 0.25209218],[0.04436106 0.01613259],[0.48025344 0.16035842],100.0,37419557.462006785,113010.45887264969,0.25209218183768106,52
32,80,[0.48025344 0.25492931],[2.22044605e-16 1.11022302e-16],[0.48025344 0.25492931],100.0,36988384.46175999,111646.87687280009,0.25492930856116214,52
33,87,[0.48025344 0.25492931],[2.22044605e-16 1.11022302e-16],[0.48025344 0.25492931],100.0,36988384.46175999,111646.87687280009,0.25492930856116214,52
34,79,[0.48025344 0.25492931],[2.22044605e-16 1.11022302e-16],[0.48025344 0.25492931],100.0,36988384.46175999,111646.87687280009,0.25492930856116214,52
35,82,[0.48025344 0.25492931],[2.22044605e-16 1.11022302e-16],[0.48025344 0.25492931],100.0,36988384.46175999,111646.87687280009,0.25492930856116214,52
36,83,[0.48025344 0.25492931],[2.22044605e-16 1.11022302e-16],[0.48025344 0.25492931],100.0,36988384.46175999,111646.87687280009,0.25492930856116214,52
37,83,[0.4811548 0.254806 ],[0.00583259 0.0007223 ],[0.47799804 0.24870469],100.0,37042667.38451439,111791.82621700008,0.25480599512102786,52
38,89,[0.48300644 0.25458966],[0.01045803 0.00107223],[0.47799804 0.24870469],100.0,37150117.59747999,112101.04754004808,0.25458965560506824,53
39,82,[0.48566572 0.2539846 ],[0.03209467 0.00365038],[0.47799804 0.22210638],100.0,37314923.64301359,112515.56513648808,0.25398460424066405,54
40,85,[0.49434513 0.2529711 ],[0.05645462 0.00907123],[0.46641176 0.21237123],100.0,37811265.91228879,113985.65554115208,0.2529710978344904,56
41,85,[0.51139    0.25137279],[0.08366088 0.01444858],[0.44107228 0.21237123],100.0,38810105.37186878,116804.67864278007,0.25137278650803035,58
42,80,[0.55516434 0.24626061],[0.11748636 0.02069984],[0.44107228 0.20917206],100.0,41347174.50634478,124123.77684066404,0.2462606074505275,60
43,88,[0.50944509 0.25073175],[0.04934181 0.02218749],[0.44107228 0.20917206],100.0,38696326.42165599,116482.46860443208,0.25073175199723535,63
44,70,[0.50796519 0.24873711],[0.0460006  0.01811389],[0.43881688 0.20057431],100.0,38596006.22480239,116276.05190514408,0.24873710540557176,61
45,91,[0.50599555 0.24802138],[0.04972471 0.01806742],[0.43881688 0.19380844],100.0,38449940.13720399,116036.70579700406,0.24802137838088753,64
46,79,[0.50478376 0.24866686],[0.05309915 0.0200784 ],[0.43881688 0.19915429],100.0,38373233.535016,115852.3470258841,0.24866686274261882,64
47,88,[0.47799804 0.25366471],[7.77156117e-16 2.77555756e-16],[0.47799804 0.25366471],100.0,36866484.657919995,111244.90783280008,0.25366470534315994,65
48,80,[0.47799804 0.25366471],[7.77156117e-16 2.77555756e-16],[0.47799804 0.25366471],100.0,36866484.657919995,111244.90783280008,0.25366470534315994,65
49,80,[0.47799804 0.25366471],[7.77156117e-16 2.77555756e-16],[0.47799804 0.25366471],100.0,36866484.657919995,111244.90783280008,0.25366470534315994,65
50,83,[0.47799804 0.25366471],[7.77156117e-16 2.77555756e-16],[0.47799804 0.25366471],100.0,36866484.657919995,111244.90783280008,0.25366470534315994,65
51,84,[0.47799804 0.25366471],[7.77156117e-16 2.77555756e-16],[0.47799804 0.25366471],100.0,36866484.657919995,111244.90783280008,0.25366470534315994,65
52,84,[0.47799804 0.25366471],[7.77156117e-16 2.77555756e-16],[0.47799804 0.25366471],100.0,36866484.657919995,111244.90783280008,0.25366470534315994,65
53,95,[0.47799804 0.25366471],[7.77156117e-16 2.77555756e-16],[0.47799804 0.25366471],100.0,36866484.657919995,111244.90783280008,0.25366470534315994,65
54,90,[0.47799804 0.25366471],[7.77156117e-16 2.77555756e-16],[0.47799804 0.25366471],100.0,36866484.657919995,111244.90783280008,0.25366470534315994,65
55,83,[0.47799804 0.25366471],[7.77156117e-16 2.77555756e-16],[0.47799804 0.25366471],100.0,36866484.657919995,111244.90783280008,0.25366470534315994,65
56,83,[0.47799804 0.25366471],[7.77156117e-16 2.77555756e-16],[0.47799804 0.25366471],100.0,36866484.657919995,111244.90783280008,0.25366470534315994,65
57,85,[0.47799804 0.25366471],[7.77156117e-16 2.77555756e-16],[0.47799804 0.25366471],100.0,36866484.657919995,111244.90783280008,0.25366470534315994,65
58,75,[0.47799804 0.25366471],[7.77156117e-16 2.77555756e-16],[0.47799804 0.25366471],100.0,36866484.657919995,111244.90783280008,0.25366470534315994,65
59,84,[0.48003652 0.25298953],[0.01902645 0.00593632],[0.47228388 0.19414778],100.0,36979290.48363879,111600.80178045208,0.2529895252099222,62
60,94,[0.4841355  0.25184381],[0.03081006 0.00955216],[0.47140613 0.19414778],100.0,37199495.372668,112335.11316109609,0.2518438068048048,65
61,81,[0.48838318 0.25112161],[0.03836939 0.01087536],[0.47140613 0.19414778],100.0,37437430.032443196,113068.59617564808,0.25112161376948905,66
62,90,[0.4977274  0.24854721],[0.05101004 0.01496032],[0.47140613 0.19414778],100.0,37947318.94178319,114720.29411196009,0.24854720940990913,67
63,82,[0.51698644 0.24547471],[0.07342045 0.01739226],[0.47140613 0.19414778],100.0,39000886.48355518,118117.06692893608,0.24547471078565195,69
64,77,[0.51544511 0.24004638],[0.06836104 0.02250504],[0.47140613 0.18862616],100.0,38934986.56550398,117793.28117538408,0.24004638483955845,74
65,81,[0.51811803 0.23850186],[0.07278253 0.02324929],[0.45612131 0.18862616],100.0,39089647.823789574,118240.91637740009,0.23850186255875683,77
66,85,[0.48066678 0.2503775 ],[0.02801671 0.0092613 ],[0.47228388 0.18862616],100.0,37024447.090135194,111681.85130060007,0.2503775041994771,82
67,81,[0.47228388 0.25297155],[3.88578059e-16 3.88578059e-16],[0.47228388 0.25297155],100.0,36517251.72800001,110340.39804560006,0.25297154788879156,82
68,80,[0.47228388 0.25297155],[3.88578059e-16 3.88578059e-16],[0.47228388 0.25297155],100.0,36517251.72800001,110340.39804560006,0.25297154788879156,82
69,82,[0.47228388 0.25297155],[3.88578059e-16 3.88578059e-16],[0.47228388 0.25297155],100.0,36517251.72800001,110340.39804560006,0.25297154788879156,82
70,92,[0.47228388 0.25297155],[3.88578059e-16 3.88578059e-16],[0.47228388 0.25297155],100.0,36517251.72800001,110340.39804560006,0.25297154788879156,82
71,80,[0.47228388 0.25297155],[3.88578059e-16 3.88578059e-16],[0.47228388 0.25297155],100.0,36517251.72800001,110340.39804560006,0.25297154788879156,82
72,76,[0.47228388 0.25297155],[3.88578059e-16 3.88578059e-16],[0.47228388 0.25297155],100.0,36517251.72800001,110340.39804560006,0.25297154788879156,82
73,79,[0.47228388 0.25297155],[3.88578059e-16 3.88578059e-16],[0.47228388 0.25297155],100.0,36517251.72800001,110340.39804560006,0.25297154788879156,82
74,80,[0.47228388 0.25297155],[3.88578059e-16 3.88578059e-16],[0.47228388 0.25297155],100.0,36517251.72800001,110340.39804560006,0.25297154788879156,82
75,82,[0.47228388 0.25297155],[3.88578059e-16 3.88578059e-16],[0.47228388 0.25297155],100.0,36517251.72800001,110340.39804560006,0.25297154788879156,82
76,89,[0.47228388 0.25297155],[3.88578059e-16 3.88578059e-16],[0.47228388 0.25297155],100.0,36517251.72800001,110340.39804560006,0.25297154788879156,82
77,92,[0.47228388 0.25297155],[3.88578059e-16 3.88578059e-16],[0.47228388 0.25297155],100.0,36517251.72800001,110340.39804560006,0.25297154788879156,82
78,81,[0.47228388 0.25297155],[3.88578059e-16 3.88578059e-16],[0.47228388 0.25297155],100.0,36517251.72800001,110340.39804560006,0.25297154788879156,82
79,83,[0.47228388 0.25297155],[3.88578059e-16 3.88578059e-16],[0.47228388 0.25297155],100.0,36517251.72800001,110340.39804560006,0.25297154788879156,82
80,85,[0.47228388 0.25297155],[3.88578059e-16 3.88578059e-16],[0.47228388 0.25297155],100.0,36517251.72800001,110340.39804560006,0.25297154788879156,82
81,80,[0.47228388 0.25297155],[3.88578059e-16 3.88578059e-16],[0.47228388 0.25297155],100.0,36517251.72800001,110340.39804560006,0.25297154788879156,82
82,79,[0.47228388 0.25297155],[3.88578059e-16 3.88578059e-16],[0.47228388 0.25297155],100.0,36517251.72800001,110340.39804560006,0.25297154788879156,82
83,85,[0.47228388 0.25297155],[3.88578059e-16 3.88578059e-16],[0.47228388 0.25297155],100.0,36517251.72800001,110340.39804560006,0.25297154788879156,82
84,80,[0.47228388 0.25297155],[3.88578059e-16 3.88578059e-16],[0.47228388 0.25297155],100.0,36517251.72800001,110340.39804560006,0.25297154788879156,82
