gen,nevals,avg,std,min,valid_ratio,avg_cost,avg_co2,avg_dcr,hof_size
0,100,[0.64795905 0.29996618],[0.18193691 0.12305992],[0.34013548 0.15751821],0.0,0.0,0.0,0.0,0
1,90,[0.70422895 0.2522804 ],[0.14975365 0.04560748],[0.42587122 0.15751821],0.0,0.0,0.0,0.0,0
2,87,[0.70413753 0.24124353],[0.15971161 0.04276904],[0.35428585 0.15751821],1.0,54735806.67856011,164555.8946448001,0.18496669386397455,1
3,78,[0.71010797 0.23216675],[0.15153275 0.04145528],[0.38740875 0.15751821],3.0,53931728.488079995,158824.44171080008,0.19495152596187162,2
4,86,[0.61578176 0.24648969],[0.11323439 0.05190926],[0.38252681 0.17865679],12.0,51650921.58636335,153125.2579457334,0.20457078499010659,4
5,88,[0.62361551 0.23038045],[0.08644348 0.03193591],[0.47630281 0.18425056],18.0,50264302.91762448,149151.9904858889,0.21151416209331309,6
6,90,[0.63250715 0.2220078 ],[0.08114507 0.02923882],[0.47630281 0.17006016],25.0,49780764.98009762,147287.8589876448,0.20977462692879142,7
7,88,[0.63603794 0.22139852],[0.07992098 0.03016074],[0.47327271 0.17612856],42.0,48617536.211620964,143832.97404444194,0.21262060590043763,7
8,94,[0.62601958 0.2304546 ],[0.09534843 0.03406979],[0.47327271 0.17612856],61.0,47462479.549398035,140097.55781165374,0.2196119162475377,8
9,85,[0.6331476 0.2266116],[0.09285154 0.02986829],[0.47756959 0.17612856],100.0,46210424.38995161,136194.02073548795,0.2266115962259523,10
10,83,[0.59984382 0.22740064],[0.09024758 0.02876747],[0.47640662 0.17612856],100.0,44450172.19378121,130146.34327675513,0.22740063779813205,13
11,84,[0.55834455 0.2390826 ],[0.08048988 0.02902789],[0.47327271 0.17612856],100.0,42119856.12704362,122996.45303562711,0.23908259777865912,18
12,82,[0.56306324 0.23743516],[0.07965332 0.02869167],[0.42644249 0.17612856],100.0,42429753.030352026,123682.74687131908,0.23743516357493813,21
13,79,[0.55861721 0.23684319],[0.08662421 0.03141239],[0.42644249 0.17612856],100.0,42075715.33415282,123211.0673008711,0.23684318953824884,24
14,80,[0.53320763 0.24405109],[0.08351047 0.03225458],[0.42644249 0.17612856],100.0,40574684.20003042,119042.49872177825,0.24405109210928075,24
15,85,[0.5225273  0.24544662],[0.06687708 0.03007205],[0.42644249 0.17612856],100.0,40013489.95791242,117093.71499867985,0.24544662493953173,34
16,85,[0.50932678 0.25115797],[0.07249191 0.02957695],[0.42644249 0.17563697],100.0,39197786.848694846,115029.34125512381,0.25115797262111017,42
17,91,[0.50431562 0.25346938],[0.0714708  0.02979242],[0.42644249 0.17563697],100.0,38920769.57711485,114153.63328313181,0.25346937510941414,45
18,80,[0.48640774 0.26197039],[0.06011999 0.02884467],[0.42644249 0.17612856],100.0,37852100.33622206,111246.17811139587,0.261970393284451,46
19,74,[0.4503172  0.28211158],[0.05971002 0.0279743 ],[0.42644249 0.17612856],100.0,35588462.917945646,105696.5541390919,0.28211158000768366,46
20,88,[0.44350148 0.28606225],[0.05975071 0.02744266],[0.42644249 0.17612856],100.0,35152199.25443963,104673.24574599587,0.2860622470816081,47
21,91,[0.44538051 0.28513105],[0.06209332 0.02870434],[0.42644249 0.17612856],100.0,35264815.82541123,104976.95174530787,0.2851310491812151,47
22,86,[0.44538051 0.28513105],[0.06209332 0.02870434],[0.42644249 0.17612856],100.0,35264815.82541123,104976.95174530787,0.2851310491812151,47
23,79,[0.44600117 0.28482176],[0.06204168 0.02867835],[0.42644249 0.17612856],100.0,35303364.69212563,105073.46244717189,0.28482175853695585,48
24,87,[0.42994289 0.29293971],[0.0348285  0.01173996],[0.42644249 0.17612856],100.0,34344084.30521804,102469.08500624787,0.29293970670712377,48
25,85,[0.42994289 0.29293971],[0.0348285  0.01173996],[0.42644249 0.17612856],100.0,34344084.30521804,102469.08500624787,0.29293970670712377,48
26,73,[0.42994289 0.29293971],[0.0348285  0.01173996],[0.42644249 0.17612856],100.0,34344084.30521804,102469.08500624787,0.29293970670712377,48
27,82,[0.42994289 0.29293971],[0.0348285  0.01173996],[0.42644249 0.17612856],100.0,34344084.30521804,102469.08500624787,0.29293970670712377,48
28,89,[0.42994289 0.29293971],[0.0348285  0.01173996],[0.42644249 0.17612856],100.0,34344084.30521804,102469.08500624787,0.29293970670712377,48
29,88,[0.42994289 0.29293971],[0.0348285  0.01173996],[0.42644249 0.17612856],100.0,34344084.30521804,102469.08500624787,0.29293970670712377,48
30,84,[0.42994289 0.29293971],[0.0348285  0.01173996],[0.42644249 0.17612856],100.0,34344084.30521804,102469.08500624787,0.29293970670712377,48
31,92,[0.42994289 0.29293971],[0.0348285  0.01173996],[0.42644249 0.17612856],100.0,34344084.30521804,102469.08500624787,0.29293970670712377,48
32,75,[0.42994289 0.29293971],[0.0348285  0.01173996],[0.42644249 0.17612856],100.0,34344084.30521804,102469.08500624787,0.29293970670712377,48
33,82,[0.42994289 0.29293971],[0.0348285  0.01173996],[0.42644249 0.17612856],100.0,34344084.30521804,102469.08500624787,0.29293970670712377,48
34,85,[0.43044623 0.29290058],[0.03513663 0.01174248],[0.42644249 0.17612856],100.0,34372305.30195004,102555.92884764787,0.2929005833818771,48
35,91,[0.42994289 0.29293971],[0.0348285  0.01173996],[0.42644249 0.17612856],100.0,34344084.30521804,102469.08500624787,0.29293970670712377,48
36,80,[0.4303221  0.29277601],[0.03491413 0.0118012 ],[0.42644249 0.17612856],100.0,34363970.41211084,102538.39084419988,0.292776007003979,48
37,92,[0.42994289 0.29293971],[0.0348285  0.01173996],[0.42644249 0.17612856],100.0,34344084.30521804,102469.08500624787,0.29293970670712377,48
38,83,[0.42994289 0.29293971],[0.0348285  0.01173996],[0.42644249 0.17612856],100.0,34344084.30521804,102469.08500624787,0.29293970670712377,48
