gen,nevals,avg,std,min,valid_ratio,avg_cost,avg_co2,avg_dcr,hof_size
0,900,[0.63390845 0.29913971],[0.18432693 0.10923858],[0.1961468  0.14968675],0.5555555555555556,61609429.31697599,183447.15270856008,0.2143631886255705,3
1,757,[0.63708178 0.27051076],[0.17568174 0.0593026 ],[0.28354649 0.14968675],0.5555555555555556,61609429.31697599,183447.15270856008,0.21436318862557052,3
2,746,[0.60091389 0.27923421],[0.18480677 0.0668542 ],[0.29561389 0.14968675],0.6666666666666667,58793861.71714,175371.52422173342,0.2089846670254816,2
3,754,[0.52626502 0.31008064],[0.19535031 0.07914354],[0.28836165 0.15362668],1.0,52760023.19044889,157254.79614320004,0.2231915474507676,4
4,740,[0.41528167 0.35578468],[0.11075379 0.07530967],[0.27471106 0.17250589],1.0,52760023.19044889,157254.79614320004,0.2231915474507676,4
5,742,[0.40181393 0.35688784],[0.10846079 0.06841451],[0.27460242 0.17250589],1.0,52760023.19044889,157254.79614320004,0.2231915474507676,4
6,762,[0.38536285 0.35440864],[0.1103104  0.05192906],[0.27364559 0.17250589],1.0,52760023.19044889,157254.79614320004,0.2231915474507676,4
7,736,[0.37448397 0.35673471],[0.10996837 0.0448342 ],[0.27967542 0.17250589],1.0,52760023.19044889,157254.79614320004,0.2231915474507676,4
8,761,[0.37137959 0.35871785],[0.10949523 0.04300039],[0.2889718  0.17250589],1.0,52760023.19044889,157254.79614320004,0.2231915474507676,4
9,767,[0.36425177 0.36003555],[0.11140154 0.03922491],[0.29043784 0.17250589],1.0,52760023.19044889,157254.79614320004,0.2231915474507676,4
10,787,[0.36259158 0.36115385],[0.11501783 0.03777125],[0.28757017 0.17250589],1.1111111111111112,54282694.295068,162207.23936436,0.22400481787459622,4
11,770,[0.36488255 0.36034487],[0.11742924 0.03796215],[0.28757017 0.17250589],1.1111111111111112,54282694.295068,162207.23936436,0.22400481787459622,4
12,748,[0.36568353 0.35979263],[0.11867904 0.03819389],[0.28750183 0.17250589],1.1111111111111112,54282694.295068,162207.23936436,0.22400481787459622,4
13,750,[0.36573629 0.36003868],[0.1207624  0.03879838],[0.28750183 0.17250589],1.1111111111111112,54282694.295068,162207.23936436,0.22400481787459622,4
14,758,[0.36368366 0.3599821 ],[0.12260209 0.03849229],[0.29197986 0.17250589],1.1111111111111112,54282694.295068,162207.23936436,0.22400481787459622,4
15,735,[0.35830272 0.36079593],[0.12412853 0.03821724],[0.29197986 0.17250589],1.1111111111111112,54282694.295068,162207.23936436,0.22400481787459622,4
16,753,[0.36148668 0.35965255],[0.12707809 0.03925977],[0.29197986 0.17250589],1.2222222222222223,52919082.55782545,158258.0891157091,0.22988989890840533,4
17,728,[0.35998258 0.36012867],[0.1284644  0.03932377],[0.29197986 0.17250589],1.2222222222222223,52919082.55782545,158258.0891157091,0.22988989890840533,4
18,760,[0.3638744  0.35923035],[0.13108505 0.03976868],[0.29197986 0.17250589],1.3333333333333335,52695281.231510006,158235.2927916,0.23429074986474574,4
