gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,max_cost,min_cost,std_cost,avg_co2,max_co2,min_co2,std_co2,avg_dcr,max_dcr,min_dcr,std_dcr,best_margins,min_AM_str,min_AM_drift,min_AM_wind,min_AM_defl,min_AM_hier,min_NM_str,min_NM_drift,min_NM_wind,min_NM_defl,min_NM_hier,hof_avg_cost,hof_max_cost,hof_min_cost,hof_std_cost,hof_avg_co2,hof_max_co2,hof_min_co2,hof_std_co2,hof_avg_dcr,hof_max_dcr,hof_min_dcr,hof_std_dcr,hof_size,sep1,sep2,sep3,sep4,sep5
0,100,[0.65561916 0.50935277],[1.08640903 1.04384294],[0.31582589 0.29604448],[0.13715427 0.15123024],100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S:0.08 D:0.00 W:0.26 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,|,|,|,|,|
1,75,[0.63195674 0.45669017],[1.08640903 0.66177201],[0.35682699 0.29604448],[0.13626703 0.06909148],100.0,1.0,52405576.156560056,52405576.156560056,52405576.156560056,0.0,157055.59434080016,157055.59434080016,157055.59434080016,0.0,0.3767638402831517,0.3767638402831517,0.3767638402831517,0.0,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,52405576.156560056,52405576.156560056,52405576.156560056,0.0,157055.59434080016,157055.59434080016,157055.59434080016,0.0,0.3767638402831517,0.3767638402831517,0.3767638402831517,0.0,1,|,|,|,|,|
2,93,[0.59873861 0.45531094],[1.08640903 0.57305005],[0.3929605  0.29604448],[0.1324621  0.06257475],100.0,1.0,52405576.156560056,52405576.156560056,52405576.156560056,0.0,157055.59434080016,157055.59434080016,157055.59434080016,0.0,0.3767638402831517,0.3767638402831517,0.3767638402831517,0.0,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,52405576.156560056,52405576.156560056,52405576.156560056,0.0,157055.59434080016,157055.59434080016,157055.59434080016,0.0,0.3767638402831517,0.3767638402831517,0.3767638402831517,0.0,1,|,|,|,|,|
3,85,[0.55860551 0.46545406],[1.08640903 0.57957613],[0.35958177 0.29604448],[0.13947063 0.06691988],100.0,2.0,47210804.75206001,52405576.156560056,42016033.34755996,5194771.404500049,142450.2986863001,157055.59434080016,127845.00303180006,14605.295654500049,0.3937654978084322,0.4107671553337127,0.3767638402831517,0.017001657525280517,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,47210804.75206001,52405576.156560056,42016033.34755996,5194771.404500049,142450.2986863001,157055.59434080016,127845.00303180006,14605.295654500049,0.3937654978084322,0.4107671553337127,0.3767638402831517,0.017001657525280517,2,|,|,|,|,|
4,79,[0.5360566  0.47339255],[1.08640903 0.58367059],[0.35150168 0.29604448],[0.14232402 0.06806819],100.0,2.0,47210804.75206001,52405576.156560056,42016033.34755996,5194771.404500049,142450.2986863001,157055.59434080016,127845.00303180006,14605.295654500049,0.3937654978084322,0.4107671553337127,0.3767638402831517,0.017001657525280517,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,47210804.75206001,52405576.156560056,42016033.34755996,5194771.404500049,142450.2986863001,157055.59434080016,127845.00303180006,14605.295654500049,0.3937654978084322,0.4107671553337127,0.3767638402831517,0.017001657525280517,2,|,|,|,|,|
5,88,[0.44844785 0.5148056 ],[0.74907971 0.59495761],[0.3599373  0.37676384],[0.07568683 0.04457579],100.0,2.0,47210804.75206001,52405576.156560056,42016033.34755996,5194771.404500049,142450.2986863001,157055.59434080016,127845.00303180006,14605.295654500049,0.3937654978084322,0.4107671553337127,0.3767638402831517,0.017001657525280517,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,47210804.75206001,52405576.156560056,42016033.34755996,5194771.404500049,142450.2986863001,157055.59434080016,127845.00303180006,14605.295654500049,0.3937654978084322,0.4107671553337127,0.3767638402831517,0.017001657525280517,2,|,|,|,|,|
6,82,[0.43065028 0.5201328 ],[0.74907971 0.61187667],[0.33386513 0.37676384],[0.07712632 0.04119514],100.0,2.0,47210804.75206001,52405576.156560056,42016033.34755996,5194771.404500049,142450.2986863001,157055.59434080016,127845.00303180006,14605.295654500049,0.3937654978084322,0.4107671553337127,0.3767638402831517,0.017001657525280517,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,47210804.75206001,52405576.156560056,42016033.34755996,5194771.404500049,142450.2986863001,157055.59434080016,127845.00303180006,14605.295654500049,0.3937654978084322,0.4107671553337127,0.3767638402831517,0.017001657525280517,2,|,|,|,|,|
7,83,[0.41951457 0.52849283],[0.74907971 0.61187667],[0.33386513 0.37676384],[0.07794587 0.04355866],100.0,2.0,47210804.75206001,52405576.156560056,42016033.34755996,5194771.404500049,142450.2986863001,157055.59434080016,127845.00303180006,14605.295654500049,0.3937654978084322,0.4107671553337127,0.3767638402831517,0.017001657525280517,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,47210804.75206001,52405576.156560056,42016033.34755996,5194771.404500049,142450.2986863001,157055.59434080016,127845.00303180006,14605.295654500049,0.3937654978084322,0.4107671553337127,0.3767638402831517,0.017001657525280517,2,|,|,|,|,|
8,90,[0.382806   0.55184545],[0.74907971 0.58378283],[0.34124135 0.37676384],[0.0646848  0.03926531],100.0,2.0,47210804.75206001,52405576.156560056,42016033.34755996,5194771.404500049,142450.2986863001,157055.59434080016,127845.00303180006,14605.295654500049,0.3937654978084322,0.4107671553337127,0.3767638402831517,0.017001657525280517,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,47210804.75206001,52405576.156560056,42016033.34755996,5194771.404500049,142450.2986863001,157055.59434080016,127845.00303180006,14605.295654500049,0.3937654978084322,0.4107671553337127,0.3767638402831517,0.017001657525280517,2,|,|,|,|,|
9,84,[0.38481102 0.54828207],[0.74907971 0.58041839],[0.34124135 0.37676384],[0.07142303 0.03895415],100.0,2.0,47210804.75206001,52405576.156560056,42016033.34755996,5194771.404500049,142450.2986863001,157055.59434080016,127845.00303180006,14605.295654500049,0.3937654978084322,0.4107671553337127,0.3767638402831517,0.017001657525280517,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,47210804.75206001,52405576.156560056,42016033.34755996,5194771.404500049,142450.2986863001,157055.59434080016,127845.00303180006,14605.295654500049,0.3937654978084322,0.4107671553337127,0.3767638402831517,0.017001657525280517,2,|,|,|,|,|
10,85,[0.37946349 0.54923071],[0.74907971 0.58136952],[0.33439632 0.37676384],[0.07122779 0.039504  ],100.0,2.0,47210804.75206001,52405576.156560056,42016033.34755996,5194771.404500049,142450.2986863001,157055.59434080016,127845.00303180006,14605.295654500049,0.3937654978084322,0.4107671553337127,0.3767638402831517,0.017001657525280517,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,47210804.75206001,52405576.156560056,42016033.34755996,5194771.404500049,142450.2986863001,157055.59434080016,127845.00303180006,14605.295654500049,0.3937654978084322,0.4107671553337127,0.3767638402831517,0.017001657525280517,2,|,|,|,|,|
11,84,[0.37836183 0.55194545],[0.74907971 0.58008073],[0.34029431 0.37676384],[0.07080301 0.03776201],100.0,2.0,47210804.75206001,52405576.156560056,42016033.34755996,5194771.404500049,142450.2986863001,157055.59434080016,127845.00303180006,14605.295654500049,0.3937654978084322,0.4107671553337127,0.3767638402831517,0.017001657525280517,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,47210804.75206001,52405576.156560056,42016033.34755996,5194771.404500049,142450.2986863001,157055.59434080016,127845.00303180006,14605.295654500049,0.3937654978084322,0.4107671553337127,0.3767638402831517,0.017001657525280517,2,|,|,|,|,|
12,82,[0.38118644 0.5494911 ],[0.74907971 0.58008073],[0.34005326 0.37676384],[0.07196264 0.03709709],100.0,2.0,47210804.75206001,52405576.156560056,42016033.34755996,5194771.404500049,142450.2986863001,157055.59434080016,127845.00303180006,14605.295654500049,0.3937654978084322,0.4107671553337127,0.3767638402831517,0.017001657525280517,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,47210804.75206001,52405576.156560056,42016033.34755996,5194771.404500049,142450.2986863001,157055.59434080016,127845.00303180006,14605.295654500049,0.3937654978084322,0.4107671553337127,0.3767638402831517,0.017001657525280517,2,|,|,|,|,|
13,87,[0.3694433  0.55570612],[0.74907971 0.57181158],[0.34029431 0.37676384],[0.06802788 0.03673813],100.0,3.0,41889655.40129333,52405576.156560056,31247356.699759983,8638269.162453985,126326.16061933343,157055.59434080016,94077.88448540005,25732.963896698344,0.443583500746275,0.5432195066219607,0.3767638402831517,0.07180787611746445,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,41889655.40129334,52405576.156560056,31247356.699759983,8638269.162453985,126326.16061933343,157055.59434080016,94077.88448540005,25732.963896698344,0.443583500746275,0.5432195066219607,0.3767638402831517,0.07180787611746445,3,|,|,|,|,|
14,87,[0.37680177 0.55280452],[0.74907971 0.57181158],[0.34029431 0.37676384],[0.07234155 0.0374919 ],100.0,4.0,40910909.93020999,52405576.156560056,31247356.699759983,7670632.221906555,123529.46155835006,157055.59434080016,94077.88448540005,22805.78106741142,0.46176543436450984,0.5432195066219607,0.3767638402831517,0.06970671728513352,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40910909.93020999,52405576.156560056,31247356.699759983,7670632.221906554,123529.46155835007,157055.59434080016,94077.88448540005,22805.78106741142,0.46176543436450984,0.5432195066219607,0.3767638402831517,0.06970671728513352,4,|,|,|,|,|
15,94,[0.3768566  0.55279194],[0.74907971 0.57181158],[0.34029431 0.37676384],[0.07231593 0.03748573],100.0,4.0,40910909.93020999,52405576.156560056,31247356.699759983,7670632.221906555,123529.46155835006,157055.59434080016,94077.88448540005,22805.78106741142,0.46176543436450984,0.5432195066219607,0.3767638402831517,0.06970671728513352,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40910909.93020999,52405576.156560056,31247356.699759983,7670632.221906554,123529.46155835007,157055.59434080016,94077.88448540005,22805.78106741142,0.46176543436450984,0.5432195066219607,0.3767638402831517,0.06970671728513352,4,|,|,|,|,|
16,85,[0.3809291  0.55174545],[0.74907971 0.57181158],[0.34029431 0.37676384],[0.07421605 0.03759954],100.0,5.0,39136386.62015998,52405576.156560056,31247356.699759983,7724416.538395907,118153.21327576003,157055.59434080016,94077.88448540005,23058.601485345305,0.4704519046304016,0.5432195066219607,0.3767638402831517,0.0647227951378532,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,39426814.89595999,52405576.156560056,31247356.699759983,8611708.347150665,118906.67550085008,157055.59434080016,94077.88448540005,25725.189045987066,0.45898707198319844,0.5432195066219607,0.3767638402831517,0.06766896131114149,4,|,|,|,|,|
17,84,[0.38720489 0.54882246],[0.74907971 0.57181158],[0.34029431 0.37676384],[0.07684479 0.03903697],100.0,8.0,38823270.427309975,52405576.156560056,31247356.699759983,6266052.37402113,117552.46884575005,157055.59434080016,94077.88448540005,18855.52659705525,0.47701954328889273,0.5432195066219607,0.3767638402831517,0.053650449898886315,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38872500.453919984,52405576.156560056,31247356.699759983,7781919.719948544,116780.53361616007,157055.59434080016,94077.88448540005,23398.935839408405,0.45951520513182154,0.5432195066219607,0.3767638402831517,0.06053417512805233,5,|,|,|,|,|
