gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,avg_co2,avg_dcr,best_margins,hof_avg_cost,hof_min_cost,hof_avg_co2,hof_min_co2,hof_avg_dcr,hof_size,sep1,sep2,sep3,sep4
1,78,[0.6266518  0.46818788],[1.0414239  0.90609087],[0.36813607 0.33563893],[0.13214111 0.09589246],100.0,3.0,42093723.32041333,125077.73739026661,0.41382764424350044,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,42093723.32041333,36927416.16063999,125077.73739026661,109754.76437839997,0.41382764424350044,3,|,|,|,|
2,86,[0.58214265 0.46418355],[1.0414239  0.71920423],[0.39047582 0.33563893],[0.11394789 0.08144274],100.0,12.0,41570904.40685,123233.3542260166,0.43344134412146595,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,40811181.98658399,36927416.16063999,120782.62744791992,109754.76437839997,0.42444722278300856,5,|,|,|,|
3,74,[0.50458069 0.48156407],[0.77389971 0.57621501],[0.39047582 0.35963247],[0.07515827 0.05489216],100.0,23.0,40379628.84603305,119517.60506357384,0.44553894952648493,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,39808297.49393331,35282132.96636001,118046.00589086663,106440.75149519995,0.4155585509010425,6,|,|,|,|
4,96,[0.51083228 0.46672519],[0.73995829 0.56143886],[0.39165648 0.35963247],[0.06722004 0.04741404],100.0,35.0,40050896.80431885,118404.73102025708,0.4482658869573436,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,38765696.71152444,33627492.86256002,114809.9775927777,99447.06318919992,0.43938639939851065,9,|,|,|,|
5,82,[0.49507942 0.47857717],[0.73995829 0.54936844],[0.40071373 0.36630922],[0.06571122 0.04570034],100.0,61.0,38889068.08712196,114760.12859023928,0.4628651587598909,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,39205334.645436354,32933763.560800005,116206.5098943454,97371.02101680005,0.43228193505733786,11,|,|,|,|
6,89,[0.48812724 0.4746757 ],[0.73995829 0.53755249],[0.40249565 0.36630922],[0.06109551 0.04135499],100.0,98.0,37948988.60396979,111857.0625342836,0.4745979943320182,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,38361251.237968564,32933763.560800005,113676.7972391571,97371.02101680005,0.43867702102793593,14,|,|,|,|
7,90,[0.46798808 0.46931586],[0.73995829 0.54197176],[0.38302994 0.36630922],[0.06669246 0.04203938],100.0,100.0,36662943.163957596,108509.26366473995,0.4693158579289189,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,37264989.44094286,31573314.939560007,110838.76676938566,94771.25790219985,0.44799045237676555,14,|,|,|,|
8,84,[0.43973002 0.48293948],[0.73995829 0.54402828],[0.377419   0.36630922],[0.05873398 0.04348726],100.0,100.0,34980541.68114162,103910.32651561793,0.48293948396969993,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,36861125.65334134,31249288.18396001,109917.80739670664,93829.79926219986,0.45300860051730785,15,|,|,|,|
9,91,[0.42988311 0.48638466],[0.73995829 0.54402828],[0.377419   0.36630922],[0.05375646 0.0441881 ],100.0,100.0,34369544.2065676,102377.52988751393,0.4863846587761773,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,36599111.231345,31249288.18396001,109220.01358627496,93829.79926219986,0.4544627263418677,16,|,|,|,|
10,79,[0.43725974 0.47356651],[0.73995829 0.5269817 ],[0.3604592  0.36630922],[0.04962149 0.03446803],100.0,100.0,34809197.169559605,103576.73474093396,0.47356650997063254,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,36867280.505490676,30246031.00436,109998.03480481333,91051.3618562,0.4474923518767418,15,|,|,|,|
11,81,[0.43912515 0.46419617],[0.73995829 0.5269817 ],[0.3604592  0.36630922],[0.05012666 0.02900695],100.0,100.0,34842740.202634014,104098.90872669398,0.46419616674063996,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35891908.19374106,30246031.00436,107215.85569133684,91051.3618562,0.4573423035493252,19,|,|,|,|
12,80,[0.43000606 0.46939596],[0.73995829 0.48009026],[0.40570701 0.36630922],[0.04045375 0.02110987],100.0,100.0,34299710.8374764,102615.09379104205,0.4693959647364953,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35891908.19374106,30246031.00436,107215.85569133684,91051.3618562,0.4573423035493252,19,|,|,|,|
13,85,[0.42411575 0.47072652],[0.73995829 0.48009026],[0.40570701 0.36630922],[0.04101832 0.02091679],100.0,100.0,33857860.3865196,101913.50981223803,0.47072652012949784,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35891908.19374106,30246031.00436,107215.85569133684,91051.3618562,0.4573423035493252,19,|,|,|,|
14,86,[0.42541267 0.47057018],[0.73995829 0.48009026],[0.40570701 0.36630922],[0.04065605 0.020902  ],100.0,100.0,33971755.11117521,102021.15089634006,0.47057017513277655,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35891908.19374106,30246031.00436,107215.85569133684,91051.3618562,0.4573423035493252,19,|,|,|,|
15,88,[0.43166488 0.4679704 ],[0.73995829 0.48203047],[0.40009607 0.36630922],[0.04196686 0.0218767 ],100.0,100.0,34418583.091135226,102828.35592404,0.4679704044142866,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35835423.457471125,30246031.00436,107552.11806905553,91051.3618562,0.45516017554005805,18,|,|,|,|
16,87,[0.43494239 0.46586754],[0.73995829 0.48203047],[0.40009607 0.36630922],[0.04651312 0.0220094 ],100.0,100.0,34580366.75279162,103455.80068464403,0.4658675431130852,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35824179.10085779,30246031.00436,107545.25680789998,91051.3618562,0.4549431067134388,18,|,|,|,|
17,81,[0.43637615 0.46357272],[0.73995829 0.48203047],[0.40009607 0.36630922],[0.05043626 0.02158985],100.0,100.0,34583149.80224522,103921.99707801001,0.46357271774139264,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35834117.32358667,30246031.00436,107515.16648007775,91051.3618562,0.45469733504926946,18,|,|,|,|
18,86,[0.42637817 0.46488881],[0.73995829 0.48994177],[0.40009607 0.36630922],[0.04460637 0.02100151],100.0,100.0,33880010.82551963,102599.07198141796,0.46488880912874514,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35678606.63476843,30246031.00436,107104.35600978945,91051.3618562,0.45548747487487856,19,|,|,|,|
19,85,[0.42218911 0.46640214],[0.73995829 0.48904733],[0.39352759 0.36630922],[0.04760061 0.0223401 ],100.0,100.0,33611782.92983962,101970.38881998397,0.4664021379717369,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35641957.11736001,30246031.00436,107150.58113654284,91051.3618562,0.4557190396261041,21,|,|,|,|
20,83,[0.40919377 0.47605167],[0.73995829 0.48203047],[0.40009607 0.36630922],[0.04252688 0.02001148],100.0,100.0,32803951.031302422,99951.66115204598,0.47605166692773454,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35641957.11736001,30246031.00436,107150.58113654284,91051.3618562,0.4557190396261041,21,|,|,|,|
21,92,[0.4081114  0.47770055],[0.73995829 0.48203047],[0.40009607 0.36630922],[0.04249068 0.01978219],100.0,100.0,32735428.06849682,99787.01645776202,0.47770054693851555,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35641957.11736001,30246031.00436,107150.58113654284,91051.3618562,0.4557190396261041,21,|,|,|,|
22,78,[0.40746733 0.47830537],[0.73995829 0.48203047],[0.40009607 0.36630922],[0.04236303 0.01944007],100.0,100.0,32692578.558964815,99694.896401438,0.47830536975585347,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35641957.11736001,30246031.00436,107150.58113654284,91051.3618562,0.4557190396261041,21,|,|,|,|
23,79,[0.40746733 0.47830537],[0.73995829 0.48203047],[0.40009607 0.36630922],[0.04236303 0.01944007],100.0,100.0,32692578.558964815,99694.896401438,0.47830536975585347,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35641957.11736001,30246031.00436,107150.58113654284,91051.3618562,0.4557190396261041,21,|,|,|,|
24,95,[0.40746733 0.47830537],[0.73995829 0.48203047],[0.40009607 0.36630922],[0.04236303 0.01944007],100.0,100.0,32692578.558964815,99694.896401438,0.47830536975585347,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35641957.11736001,30246031.00436,107150.58113654284,91051.3618562,0.4557190396261041,21,|,|,|,|
25,77,[0.40746733 0.47830537],[0.73995829 0.48203047],[0.40009607 0.36630922],[0.04236303 0.01944007],100.0,100.0,32692578.558964815,99694.896401438,0.47830536975585347,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35641957.11736001,30246031.00436,107150.58113654284,91051.3618562,0.4557190396261041,21,|,|,|,|
26,84,[0.40746733 0.47830537],[0.73995829 0.48203047],[0.40009607 0.36630922],[0.04236303 0.01944007],100.0,100.0,32692578.558964815,99694.896401438,0.47830536975585347,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35641957.11736001,30246031.00436,107150.58113654284,91051.3618562,0.4557190396261041,21,|,|,|,|
27,86,[0.40746733 0.47830537],[0.73995829 0.48203047],[0.40009607 0.36630922],[0.04236303 0.01944007],100.0,100.0,32692578.558964815,99694.896401438,0.47830536975585347,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35641957.11736001,30246031.00436,107150.58113654284,91051.3618562,0.4557190396261041,21,|,|,|,|
28,82,[0.40746733 0.47830537],[0.73995829 0.48203047],[0.40009607 0.36630922],[0.04236303 0.01944007],100.0,100.0,32692578.558964815,99694.896401438,0.47830536975585347,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35641957.11736001,30246031.00436,107150.58113654284,91051.3618562,0.4557190396261041,21,|,|,|,|
29,85,[0.40746733 0.47830537],[0.73995829 0.48203047],[0.40009607 0.36630922],[0.04236303 0.01944007],100.0,100.0,32692578.558964815,99694.896401438,0.47830536975585347,S:0.00 D:0.00 W:0.00 F:0.00 H:0.00,35641957.11736001,30246031.00436,107150.58113654284,91051.3618562,0.4557190396261041,21,|,|,|,|
